id,title,text
1,기능 설명,"전투|소녀 팀을 전투에 파견하여 자동 모드를 시작하거나 전투 미션을 진행합니다. 전투에서는 경험치와, 경험치 드링크, 골드, 장비 등의 보상을 획득할 수 있습니다.||옥상 정복|옥상 정복은 층마다 적들이 점령하고 있습니다. 적을 쓰러뜨리면 많은 도시락과 강력한 장비를 획득할 수 있습니다. 일정 층수까지 오를 경우 5성 소녀도 획득할 수 있습니다. 층수가 높아질수록, 적도 강해집니다.||토너먼트|토너먼트에서 다른 선배들과 경쟁합시다! 승리할 경우 포인트를 받을 수 있으며. 무료로 많은 양의 다이아를 획득할 수 있습니다!||캡슐 뽑기|새로운 소녀를 획득할 수 있는 가장 쉬운 방법입니다. 대량의 캡슐 코인을 모아 무료로 소녀를 소환할 수 있습니다. 소환 에너지가 가득 찰 경우 5성 소녀 한 명을 랜덤으로 소환할 수 있습니다.||졸업|소녀의 레벨을 올리기 위해 반드시 졸업이 필요합니다. 졸업을 통해 소녀의 등급을 올릴 수 있으며, 소녀의 등급은 최대 6성까지 올릴 수 있습니다. 졸업을 원하는 소녀의 재료를 모두 모을 경우, 졸업을 통해 소녀의 업그레이드가 가능하며, 업그레이드 후 재료에 사용된 소녀는 상응하는 경험치 드링크와 도시락이 반환되며, 장착 중인 장비도 가방으로 돌아갑니다. 보유한 소녀의 수가 많을수록, 업그레이드할 수 있는 기회도 더 많아집니다.||전학|사용하지 않는 소녀가 있는 경우, 소녀들을 전학시킬 수 있습니다. 소녀를 전학 보낼 경우 경험치 드링크, 도시락, 크리스탈 검, 교우록 등을 받을 수 있습니다. 전학 보낸 소녀의 장비, 크리스탈과 혼기도 가방으로 돌아갑니다. 전학으로 획득한 교우록은 전학샵에서 사용하여 소녀를 교환할 수 있습니다. 가끔 이벤트로 판매하는 팩을 통해 교우록을 획득할 수 있습니다!||장비 합성|장비 합성으로 낮은 등급의 장비를 높은 등급의 장비로 만들 수 있습니다. 세트 장비를 모두 착용할 경우, 장비 세트 속성이 활성화됩니다. 주의：장착 중인 장비는 장비 합성화면에 나타나지 않습니다.||슬롯 머신|슬롯 머신에서 슬롯 머신 사용권을 사용하면, 일정 확률로 소녀의 조각, 장비, 혼기 및 대량의 골드나 경험치 드링크를 획득할 수 있습니다. 여러분께 행운이 있기를!||매점|매점에서는 경험치 드링크, 도시락, 소녀의 조각, 장비, 캡슐 코인, 경기장 티켓, 도장, 크리스탈 검 등 다양한 아이템이 등장합니다.||학생 모집|신입생 모집으로 특정 학부의 소녀를 소환할 수 있습니다! 도장을 사용하면 일정 확률로 지정된 학부의 4성, 5성 소녀 및 4성, 5성 소녀의 조각을 얻을 수 있습니다. (도장은 아르바이트를 통해 획득할 수 있고, 이벤트에 참여하여 교환할 수 있으며, 일부 이벤트 팩에서도 구매할 수 있습니다.)매번 소환 후에는 서류 봉투를 받을 수 있습니다. 일정 수량의 서류 봉투를 가지고 소녀를 같은 학부의 다른 소녀와 교환할 수 있습니다. 주의：진성 학부 및 수라 학부를 제외한 4성, 5성 소녀만 교환 가능합니다.||아르바이트|24시간마다 다양한 등급의 미션이 업데이트됩니다. 아르바이트 미션을 완료하면, 푸짐한 보상을 받을 수 있습니다! 다이아를 사용해 아르바이트 미션의 레벨을 바꾸거나 완료까지의 시간을 단축할 수 있습니다. 아르바이트 미션권을 사용하면, 소녀의 미션을 추가할 수 있습니다.(갱신 후, 아직 완성하지 않은 미션권 사용을 통해 획득한 아르바이트 미션은 리셋됩니다.) 아르바이트 미션권은 자동 모드를 통해 일정 확률로 획득할 수 있습니다.||사역마|사역마는 전투 시 소녀들의 좋은 파트너입니다. 사역마를 출전시키면 버프 효과 뿐아니라 전투 중 액티브 스킬을 사용할 수 있습니다. 사역마 비스킷과 에센스 비스킷으로 사역마를 사육할 수 있으며, 진화도 가능합니다."
2,스테이지 설명,"개요|전투 지도는 보통, 어려움, 극한, 환상 4개의 난이도로 나누어져 있고 각각의 여러 스테이지가 있습니다. 4개의 난이도가 차례로 활성화됩니다.||스테이지 활성화|새로운 스테이지에 들어가 일정 시간 동안 탐색의 탐색이 끝나면 전투 미션이 활성화됩니다. 전투 미션과 선배님의 레벨이 다음 스테이지로 가는 조건에 충족할 경우, 이벤트를 클리어하면, 다음 스테이지로 넘어갑니다.||지역·지도 활성화|현재 지역의 스테이지를 전부 클리어할 경우, 다음 지역이 활성화됩니다. 현재의 난이도의 스테이지를 모두 클리어 하면 다음 난이도의 모드가 활성화됩니다.||전투 미션|새로운 스테이지에 들어가면 새로운 전투가 일어납니다.전투를 클리어하면 푸짐한 보상을 획득할 수 있습니다.||자동 모드|자동 모드 진행 시간이 길어질수록 보상이 많아집니다. 자동 모드의 최대 지속 시간은 10시간입니다. 10시간을 초과할 경우 보상이 더 이상 적립되지 않으니 반드시 10시간 이내에 수령하세요!|산출&취득|스테이지 클리어는 고정적으로 선배 경험치, 골드와 경험치 드링크를 획득할 수 있으며, 자동 모드를 통해 3가지 보상을 획득할 수 있습니다. 스테이지의 난이도와 진도에 따라, 획득할 수 있는 아이템도 많아집니다. VIP 레벨은 해당 3개의 아이템의 드롭율을 증가합니다.||드롭&전리품|아이템 드롭 정보에서 현재 스테이지에서 획득할 수 있는 아이템을 확인할 수 있습니다. 자동 모드의 경우, 일정 확률로 스테이지의 드롭 아이템을 획득할 수 있습니다. 획득한 아이템은 전리품 화면에서 확인할 수 있습니다."
3,전투,"전투 위치|기본적으로 앞라인 소녀는 뒷라인 소녀보다 더 쉽게 공격을 받게됩니다. 소녀들이 전투에서 더 긴 생존 시간을 보장하기 위해, 각 소녀의 직업을 고려하여 합리적인 위치 설정이 필요합니다.|학부 궁합|소녀 사이에는 학부 궁합이 존재합니다. 전투 전에 적 소녀 학부를 고려하여 아군 소녀 팀을 조정하면 유리하게 싸울 수 있습니다.||학부 시너지|같은 학부 소녀 6명, 혹은 학부가 모두 다른 소녀 6명을 출전시킬 경우 강력한 학부 시너지 효과가 발동됩니다.||전투의 승패|전투가 15라운드를 넘어갈 경우, 공격자의 패배로 판정됩니다. 15 라운드 이내에 적 소녀를 모두 쓰러뜨릴 경우, 공격자의 승리, 아군의 소녀가 전원 쓰러졌을 경우 패배로 판정됩니다.||공격력|소녀의 공격력이 높을수록 공격할 때 적에게 입히는 대미지가 많아집니다.||HP|소녀의 HP가 높을수록, 전투에서의 생존시간이 더 길어집니다.||방어력|소녀의 방어력이 높을수록 적으로부터 받는 대미지가 적어집니다.||속도|속도는 매 라운드 소녀가 공격하는 순서를 결정합니다. 속도가 빠를수록 선제공격합니다. 조합의 소녀들의 속도가 같을 경우 앞줄에(진영 배치 순서에 따라) 배치되어 있는 소녀가 먼저 움직입니다.||추가 스킬 대미지|추가 스킬 대미지는 스킬 대미지 증가 버프로 대미지율이 높을수록, 스킬 대미지가 커집니다. 추가 스킬 대미지는 공격하는 소녀 본인의 공격력을 바탕으로 계산됩니다.||가드|가드 발동 시, 대미지가 30% 감소합니다. 치명타 공격의 경우 대미지가 20% 감소합니다. 대미지 감소는 공격하는 소녀 본인의 대미지에 한정됩니다.||정밀|정밀은 상대방의 가드 확률을 감소시킵니다. 정밀이 1% 증가할 때마다 대미지가 0.3% 증가하며, 최대 45%까지 증가할 수 있습니다. 대미지 증가 효과는 소녀 본인의 공격력을 바탕으로 계산됩니다.||치명타 확률|치명타 확률은 공격 시 치명타가 발동할 확률로, 치명타 확률이 높을수록 적에게 치명타 공격을 더 자주 가합니다. 기본 치명타 공격은 150%의 대미지를 줍니다. 패시브 스킬은 치명타 효과가 적용되지 않습니다.||치명타 저항|치명타 촉발 확률 감소, 소녀의 치명타 저항이 높을수록 공격에 의한 치명타 확률이 작아집니다.||치명타 대미지|치명타 발동 시의 대미지로, 치명타 대미지가 높을수록 치명타 공격 대미지가 높아집니다. 최대 150%까지 증가할 수 있습니다.||돌파력|공격 목표의 일정 정도의 방어력을 무시할 수 있습니다. 돌파력이 높을수록 무시할 수 있는 방어력 수치가 높아집니다. 돌파력은 최대 100%까지 증가할 수 있습니다.||구속 내성|적의 구속 스킬(기절, 동결 및 석화 등)을 회피할 확률로, 구속 스킬의 성공률과 별도로 계산되며, 구속 확률이 50%일 경우에도 면역력 70%의 적에 상대 시 구속이 가능합니다.||구속 강화율|적이 구속될 확률을 상승시키며, 상대의 구속 내성을 무시할 수 있습니다.||대미지 감소|받은 대미지를 감소시키며, 최대 70%까지 감소할 수 있습니다. 대미지 감소 효과는 공격한 소녀 본인의 대미지만을 계산합니다.||신성 대미지|이 대미지는 적의 방어력에 영향을 받지 않지만, 대미지 감소 효과는 적용됩니다.||받은 모든 대미지 감소|받은 모든 종류의 대미지를 감소시키고, 대미지 감소와 별개로 계산되며 최대 70%까지 감소할 수 있습니다.||회피|적의 액티브 스킬과 일반 공격의 효과 및 대미지를 회피할 수 있는 확률입니다.(사역마의 스킬 효과와 대미지는 회피 불가.)||에너지|전투 시작 시의 에너지는 50pt, 일반 공격을 할 때마다 50pt 회복, 공격을 당할 때마다 10pt, 치명타 대미지는 20pt를 회복합니다. 에너지가 100pt일 경우 액티브 스킬을 발동할 수 있습니다. 100pt를 초과할 경우, 1pt 초과할 때마다 1%의 스킬 대미지 증가율로 계산되어 액티브 스킬 대미지를 1% 증가시킵니다.||전투 중 숫자 색상|흰색은 치명타가 발동하지 않고, 진영 상성에 유리하지 않을 때의 대미지를 말합니다. 노란색은 치명타가 발동하지 않고 진영 상성이 유리할 때의 대미지를 말합니다. 빨간색은 치명타가 발동한 대미지이며(학부 궁합 상관 없음), 초록색은 회복 효과의 양입니다.||스킬 특수 효과|특수 효과 마크의 버프는 잠재 능력 세례, 비비안의 달빛 그림자 스킬, 직업 세트 정화 스킬 등과 같은 것으로 제거할 수 없습니다. 스킬 특수 효과가 포함된 소녀: 반헬싱(흡혈, 블러드 파티, 고정), 비비안(달빛 그림자, 달의 마크), 미카(폭주), 용마(무경), 은월(추격), 스카이(바람과 함께, 바람 방패), 베라(꿈나라, 자장가), 유비(여향), 크리스(수정), 아파테(음파, 두려움, 에페, 사이렌 소리), 이자나미(치유 저주), 우리엘(베르누스 흔적), 여포(검기 실드)."
4,소녀 획득 방법,"전투 드롭|전투 중 자동 모드, 전투 미션 클리어, 챌린지 및 옥상 정복에 참여할 경우 일정 확률로 소녀의 조각을 받을 수 있습니다.||상점 구매|매점, 슬롯 머신 상점, 전학 상점에서 소녀의 조각이 판매되고 있습니다.||캡슐 뽑기|캡슐 뽑기 화면에서 하트, 캡슐 뽑기 코인, 다이아 등을 사용하여 새로운 소녀를 얻을 수 있습니다.||입학|입학중 도장을 사용해 소환하여 소녀의 조각을 얻을 수 있습니다.||슬롯 머신|슬롯 머신에서 슬롯 머신 사용권을 사용하면 일정 확률로 소녀의 조각을 얻을 수 있습니다.||아르바이트 미션|아르바이트로 일정 확률로 소녀의 조각을 받는 소녀 미션이 나타납니다. 소녀 미션을 완성하면 일정 수량의 소녀 조각을 얻을 수 있습니다.||친구 찾기|친구 찾기로 일정 확률로 소녀의 조각을 얻을 수 있습니다."
5,소녀 훈련 방법,"소녀 레벨업|경험치 드링크를 사용하여 소녀를 레벨업 시킬 수 있습니다.||소녀 업그레이드|소녀 레벨이 상한에 이르면, 소녀의 도시락으로 소녀를 업그레이드 할 수 있습니다.||소녀 스타업|소녀 레벨이 상한에 도달한 경우 졸업을 통해서 소녀의 별 등급을 업그레이드 시킬수 있습니다. 별 등급이 상승하면 소녀의 속성이 올라가고 레벨, 장비와 순위는 그대로 유지됩니다.||소녀 각성|재료 소녀를 사용해 6성 및 그 이상의 소녀를 각성시킵니다. 각성은 소녀의 스타 등급과 속성을 끌어올리는 패시브 스킬을 강화할 수 있습니다. 사용된 재료 소녀에 상응하는 경험치 드링크는 반환됩니다.||장비 장착 및 혼기 장착|소녀에게 장비와 혼기를 장착하면 전투력이 상승합니다. 단 장비와 혼기의 별 등급과 품질이 높을수록, 소녀의 전투력이 높아집니다.||크리스탈 레벨|소녀의 크리스탈을 업그레이드 또는 변환하는 것으로 소녀의 능력을 강화할 수 있습니다. 크리스탈을 업그레이드 또는 변환하려면 크리스탈 검과 골드가 일정 수 필요합니다.||엘리트 스킬|소녀가 10성을 달성한 후, 엘리트 스킬 업그레이드를 통하여 소녀의 전투력을 증가시킬 수 있습니다. 엘리트 스킬은 입문 수업자료와 비밀 수업자료를 소모하여 업그레이드시킬 수 있습니다."
6,소녀 특징,"직업|소녀의 직업은 전사, 법사, 레인저, 어쌔신, 목사로 총 5개가 있습니다. 전사는 HP와 방어력이 높아 전투 시 앞줄에서 대미지를 흡수하는 것이 주특기입니다. 법사와 레인저는 HP와 방어력이 낮지만 공격력이 높고 복수의 공격 기술도 많아 뒷줄에서 복수의 적의 체력을 감소시키는 것이 주특기입니다. 어쌔신은 HP와 방어력이 낮지만 공격력이 높은 단독 공격 기술도 많아 뒷줄에서 적 단체에 대미지를 입히는 것이 주특기입니다. 목사는 HP, 방어력과 공격력이 낮지만 회복 스킬과 구속 스킬이 많아 뒷줄 다른 소녀를 지원하는 것이 주특기입니다.||별 등급|소녀는 최대 5성으로 등급이 있습니다. 등급이 높을수록, 기본 특성이 높고 스킬이 강해집니다. 소녀 졸업과 소녀 각성에서 등급을 높일 수 있습니다.||학부|소녀의 학부는 수라, 엔젤, 요정, 고스트, 신위, 몬스터로 총 6종류가 있습니다. 학부 사이에는 궁합이 존재합니다. 요정은 고스트에, 고스트는 신위에, 신위는 몬스터에, 몬스터는 요정에 유리하고 수라와 엔젤은 서로에게 유리합니다. 유리한 학부와 전투한 소녀는 대미지가 30%, 브레이크가 15% 증가합니다."
7,장비와 혼기,"장비와 혼기의 품질|장비와 혼기의 품질은 파란색, 금색, 보라색, 초록색, 빨간색, 주황색 6개의 등급이 있습니다. 장비와 혼기의 품질이 높을수록, 버프 효과가 많아집니다.||장비와 혼기의 등급|파란색, 금색 품질의 장비는 1-2성, 보라색 품질 장비는 1-3성, 초록색 품질 이상의 장비는 1-4성까지 있습니다; 파란색, 금색 품질의 혼기는 1-4성, 보라색, 초록 혼기는 1-5성, 삘간색 이상의 혼기는 1-6성의 등급이 있습니다. 같은 품질의 장비와 혼기 등급이 높을수록, 버프도 많아집니다. ||장비 합성과 혼기 합성|저품질 장비로 고품질 장비를 합성할 수 있습니다. 일정 수의 혼기 조각을 모을 경우 그에 대응하는 품질의 혼기를 합성할 수 있습니다.||장비 획득|자동 모드, 옥상 정복, 전투 미션 등을 클리어함으로써 장비가 드롭됩니다. 매점, 소풍 상점, 동아리 상점과 슬롯머신 상점에서 장비가 판매되고 있습니다. 슬롯 머신을 이용하면 일정한 확률로 장비를 획득할 수 있습니다.||장비 세트 장착|3성 이상, 초록색 품질 이상의 장비는 장비 세트의 효과가 있습니다. 같은 세트의 장비를 일정 수량 장착할 경우, 장비 세트의 효과가 확성화됩니다.||혼기 레벨업|필요없는 혼기를 융합하면, 현재 장착중인 혼기를 레벨업할 수 있습니다. 혼기를 레벨업하면, 혼기의 별 등급이 올라갑니다.|혼기 획득|오토 모드로 획득한 혼기의 파편으로 혼기를 합성할 수 있습니다. 동아리 상점에서 혼기 파편을 구매할 수 있습니다. 슬롯 머신에서 뽑기을 통해 일정 확률로 혼기를 획득할 수 있습니다."
8,친구,"친구 추가|친구 화면에서 아이디를 검색하고 친구 신청 전송, 추천 친구를 선택해서 친구 신청 전송, 채팅에서 플레이어 아이콘을 클릭하여 친구 신청 전송, 동아리에서 부원의 아이콘을 클릭하여 친구 신청 전송 등 여러가지 방법으로 친구를 추가할 수 있습니다.||친구 신청|신청 목록에서 도착한 친구 신청을 체크하고, 동의를 클릭하면 친구 추가가 완료됩니다.||하트|친구 사이에서는 서로 하트를 보낼 수 있습니다. 하트는 우정 캡슐 뽑기에서 사용할 수 있습니다.||친구 삭제|친구 화면에서 친구의 아이콘을 클릭해 상세 정보를 체크할 수 있습니다. 상세 화면에서 삭제를 클릭하여 친구를 삭제할 수 있습니다.||친구 보스|8시간마다 1회의 검색 찬스를 통해 일정 확률로 친구 보스와 골드, 소녀의 조각 등의 보상을 획득할 수 있습니다. 친구 보스 공격에 협력하면 랜덤으로 보상과 포인트를 받을 수 있습니다. 매주 포인트 랭킹에 따라 보상이 발송됩니다."
9,동아리,"동아리 가입|동아리 화면에서 동아리 아이디 혹은 동아리명을 검색하고 '신청'을 클릭하여 신청 메시지를 발송합니다. 신청이 허가 되면 가입할 수 있습니다.||동아리 설립|동아리 화면에서 동아리를 설립할 수 있습니다. 동아리를 설립하려면 다이아와 플레이어 레벨이 일정 조건을 충족해야 합니다. 설립 후, 다른 플레이어의 신청을 받아 동아리에 가입시킬 수 있습니다.||회장 임명|회장은 부원 리스트에서 '회장 임명'을 탭하면, 다른 부원을 동아리 회장으로 임명할 수 있습니다.||동아리 해산|회장은 동아리 화면에서 '동아리 해산'을 클릭해 동아리를 해산할 수 있습니다. 해산 결정 2시간 후, 동아리는 해산됩니다.||동아리 레벨|동아리원의 일일 로그인이 조건을 충족하면 레벨업 할 수 있습니다.||동아리 상점|동아리 코인을 사용하여 동아리 상점에서 소녀 조각, 장비, 혼기 조각 등의 아이템을 구입할 수 있습니다.||실험실|실험실에서 동아리 코인과 골드를 사용하여 동아리 스킬을 레벨업 할 수 있습니다. 동아리 직업 스킬을 레벨업 하면, 대응하는 직업의 소녀를 강화할 수 있습니다.||동아리 기능|동아리원의 일일 로그인을 통해 서클을 레벨업 할 수 있습니다. 동아리원의 데일리 로그인으로 동아리 경험치를 획득할 수 있는 횟수는 동아리 인원 수를 초과할 수 없습니다. 동아리원은 체육관, 식당, 운동장 등에 참여하여 동아리 코인과 다른 보상을 획득할 수 있습니다. 동아리 상점에서 상품을 구입하거나 실험실에서 동아리 스킬을 레벨업하거나 할 수도 있습니다."
10,자주하는 질문,"질문1. 다른 디바이스에서 게임을 계속하는 방법|답: 게임을 다운로드하고 게임을 시작합니다. 등록 페이지 오른쪽 위에 있는 설정 버튼을 클릭하여 계정 전환을 선택하고, 계정과 패스워드를 입력해 로그인해 주세요.|질문2. 계정을 잊어버렸거나 계정이 도용되어 패스워드가 변경된 경우|답:계정의 보안 문제는 바로 고객 센터로 연락 주세요.|질문3. 네트워크 연결 시간이 초과해 로그인할 수 없는 경우|답: 다시 한 번 확인해보시고 게임을 일단 중지하고 재시작해주세요|질문4. 게임이 계속 업데이트 중(check updates)으로 로그인할 수 없는 경우|답: 게임이 계속 업데이트 중(check updates)으로 로그인하지 못할 경우 게임을 일단 중지하고 재부팅 하세요. 혹은, 네트워크 환경을 확인해 주세요. 그래도 해결할 수 없을 경우 고객 센터로 연락해 주시기 바랍니다.|질문5. 데이터나 계정을 잃어버렸을 경우||답: 데이터는 다른 서버에 공유되지 않습니다. 서버가 맞는지 확인해 주세요. 로그인한 서버가 잘못되지 않았을 경우, 고객 센터로 연락주시기 바랍니다. 연락시, 게임 아이디와 등록 메일주소 등의 정보를 함께 제공해주세요.|질문6. 플레이 중 항상 접속이 끊길 경우||답: 게임 접속 이상 현상이 생길 경우, 우선 인터넷 접속 상황을 확인하세요. 이상이 없을 경우, 고객 센터로 연락 주시기 바랍니다.|질문7. 게임이 강제 종료된 경우|답: 먼저 사용 중인 앱을 모두 정지시킨 후 다시 한번 게임을 시작해 보세요. 다시 강제 종료한 경우 기기를 재시작하고 다시 한번 시도하세요. 혹은 디바이스의 기기 정보와 강제 종료 문제를 고객 센터에 보고해 주세요.|질문8. 부정행위를 저지른 플레이어에게 당한 경우|답: 공평 공정한 게임 환경을 지키기 위해 게임의 BUG를 이용하는 등의 부정 행위로 게임 환경의 균형을 파괴하는 것을 강력히 금지하고 있습니다. 부정행위를 저지른 플레이어를 발견할 경우, 즉시 연락주세요. 바로 해당 유저에 대해 제재를 가하겠습니다."
