id,next_id,select_next_ids,select,plot,name,image_path,is_memory,res_path,image_xy,image_move,dialog_type,partner_avatar,picture,picture_xy,picture_scale,scale,partner_picture_xy,type,show_type,disappear_type,show_time,disappear_time,position_move,swap_overlap,map_swap,image_mirror,cg_show,cg_path,cg_scale,cg_layer,cg_show_type,cg_start_xy,cg_show_time,cg_show_xy,cg_disappear_type,cg_disappear_xy,cg_disappear_time,sound,music,ambient_sound,bubble_mirror,bubble_xy,bubble_expression,no_click_time,effect,effect_sound,effect_scale,effect_xy,effect_layer,effect_count,jitter
1,2,,0,1-3a,-1,yingxinhuichang,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,7001,,,,,,,,,,,,
2,1000001,,0,,-1,yingxinhuichang,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000001,3,,0,,-1,yingxinhuichang,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,,0,,*,yingxinhuichang,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,,0,,*,yingxinhuichang,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,,0,,,yingxinhuichang,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,,0,,*,yingxinhuichang,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,plot_hit#texiao01,2150,,360#640,2,1,1
7,8,,0,,-1,yingxinhuichang,,partner_picture_56003,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,60273,,,,,,,,,,,,,
8,9,,0,,-1,yingxinhuichang,,partner_picture_56003,,,,,,,,1,0|0,0,10,6,1,1,0|0,,,,,,,,,,,,,,,60274,,,,,,,,,,,,,
9,10,,0,,-1,yingxinhuichang,,partner_picture_56003,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,60016,,,,,,,,,,,,,
10,11,,0,,*,yingxinhuichang,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,13,,0,,*,yingxinhuichang,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,,0,,,yingxinhuichang,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,,0,,*,yingxinhuichang,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,plot_hit#texiao01,2150,,360#640,2,1,1
14,16,,0,,-1,yingxinhuichang,,partner_picture_56003,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,60013,,,,,,,,,,,,,
15,16,,0,,,new_school,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,,0,,-1,new_school,,partner_picture_54007,,,,,,,,1,0|0,0,1,6,1,1,0|0,,1,,,,,,,,,,,,,60023,,,,,,,,,,,,,
17,18,,0,,-1,new_school,,partner_picture_54007,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,60278,,,,,,,,,,,,,
18,19,,0,,-1,new_school,,partner_picture_54007,,,,,,,,1,0|0,0,1,6,1,1,0|0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,,0,,-1,new_school,,partner_picture_54007,,,,,,,,1,0|0,0,10,6,1,1,0|0,,,,,,,,,,,,,,,60279,,,,,,,,,,,,,
20,21,,0,,-1,new_school,,partner_picture_4300704,,,,,,,,1,0|0,0,10,6,1,1,0|0,,,,,,,,,,,,,,,60039,,,,,,,,,,,,,
21,22,,0,,-1,new_school,,partner_picture_54007,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,60020,,,,,,,,,,,,,
22,23,,0,,-1,new_school,,partner_picture_54007,,,,,,,,1,0|0,0,1,6,1,1,0|-1000,,,,,,,,,,,,,,,60280,,,,,,,,,,,,,
23,-1,,0,,*,new_school,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
24,25,,0,1-4a,,new_school,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,7001,,,,,,,,,,,,
25,26,,0,,*,new_school,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,,0,,-1,new_school,,partner_picture_54007,,,,,,,,1,0|0,0,1,6,1,1,0|-1000,,,,,,,,,,,,,,,60280,,,,,,,,,,,,,
27,28,,0,,*,new_school,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,,0,,-1,new_school,,partner_picture_4300704,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,60039,,,,,,,,,,,,,1
29,30,,0,,*,new_school,,partner_picture_4300704,,,,,,,,1,0|0,2,10,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31,,0,,*,new_school,,partner_picture_4300704,,,,,,,,1,0|0,2,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
31,32,,0,,-1,new_school,,partner_picture_4300704,,,,,,,,1,0|0,0,10,6,1,1,0|0,,,,,,,,,,,,,,,60047,,,,,,,,,,,,,
32,33,,0,,*,new_school,,partner_picture_4300704,,,,,,,,1,0|0,2,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,,0,,-1,new_school,,partner_picture_4300704,,,,,,,,1,0|0,0,10,6,1,1,0|0,,,,,,,,,,,,,,,60038,,,,,,,,,,,,,
34,35,,0,,*,new_school,,partner_picture_4300704,,,,,,,,1,0|0,2,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36,,0,,-1,new_school,,partner_picture_54007,,,,,,,,1,0|0,0,10,6,1,1,0|0,,,,,,,,,,,,,,,60281,,,,,,,,,,,,,
36,37,,0,,*,new_school,,partner_picture_54007,,,,,,,,1,0|0,2,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38,,0,,*,small_garden,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39,,0,,-1,small_garden,,partner_picture_54007,,,,,,,,1,0|0,0,1,6,1,1,0|-1000,,,,,,,,,,,,,,,60018,,,,,,,,,,,,,
39,40,,0,,*,small_garden,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40,41,,0,,-1,small_garden,,partner_picture_54002,,,,,,,,1,0|0,0,1,6,1,1,1000|0,,,,,,,,,,,,,,,60053,,,,,,,,,,,,,
41,42,,0,1-4b,-1,small_garden,,partner_picture_54007,,,,,,,,1,0|0,0,10,6,1,1,0|0,,,,,,,,,,,,,,,,7001,,,,,,,,,,,,
42,-1,,0,,*,small_garden,,partner_picture_54007,,,,,,,,1,0|0,2,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,44,,0,1-4c,*,small_garden,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,7001,,,,,,,,,,,,
44,45,,0,,-1,small_garden,,partner_picture_54007,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,60025,,,,,,,,,,,,,
45,46,,0,,*,small_garden,,partner_picture_54007,,,,,,,,1,0|0,2,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,,0,,*,small_garden,,partner_picture_54007,,,,,,,,1,0|0,2,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,-1,,0,,-1,small_garden,,partner_picture_54007,,,,,,,,1,0|0,0,10,6,1,1,0|0,,,,,,,,,,,,,,,60021,,,,,,,,,,,,,
48,49,,0,1-5a,-1,new_school,,partner_picture_4300704,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,60288,7001,,,,,,,,,,,,
49,50,,0,,-1,new_school,,partner_picture_4300704,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,51,,0,,*,new_school,,partner_picture_4300704,,,,,,,,1,0|0,2,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52,,0,,*,new_school,,partner_picture_4300704,,,,,,,,1,0|0,2,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,53,,0,,*,new_school,,partner_picture_4300704,,,,,,,,1,0|0,2,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,54,,0,,-1,new_school,,partner_picture_4300704,,,,,,,,1,0|0,0,10,6,1,1,0|0,,,,,,,,,,,,,,,60038,,,,,,,,,,,,,
54,55,,0,,-1,new_school,,partner_picture_54007,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,60282,,,,,,,,,,,,,
55,56,,0,,*,new_school,,partner_picture_54007,,,,,,,,1,0|0,2,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,57,,0,,*,new_school,,partner_picture_54007,,,,,,,,1,0|0,2,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,58,,0,,-1,new_school,,partner_picture_54007,,,,,,,,1,0|0,0,10,6,1,1,0|0,,,,,,,,,,,,,,,60031,,,,,,,,,,,,,
58,59,,0,,-1,new_school,,partner_picture_54007,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,60,,0,,*,new_school,,partner_picture_54007,,,,,,,,1,0|0,2,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,61,,0,,*,new_school,,partner_picture_54007,,,,,,,,1,0|0,2,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,62,,0,,-1,new_school,,partner_picture_4300704,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,60035,,,,,,,,,,,,,
62,63,,0,,-1,new_school,,partner_picture_54007,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,60018,,,,,,,,,,,,,
63,64,,0,,*,new_school,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,65,,0,,*,new_school,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,67,,0,,-1,new_student_stage,,partner_picture_54007,,,,,,,,1,0|0,0,1,6,1,1,0|0,,1,,,,,,,,,,,,,60282,,,,,,,,,,,,,
66,67,,0,,,new_student_stage,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,68,,0,,-1,new_student_stage,,partner_picture_4300704,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,60040,,,,,,,,,,,,,1
68,69,,0,,-1,new_student_stage,,partner_picture_42007,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,60226,,,,,,,,,,,,,
69,70,,0,,-1,new_student_stage,,partner_picture_5200404,,,,,,,,1,0|0,0,10,6,1,1,0|0,,,,,,,,,,,,,,,60301,,,,,,,,,,,,,
70,71,,0,,-1,new_student_stage,,partner_picture_54007,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,72,,0,,*,new_student_stage,,partner_picture_54007,,,,,,,,1,0|0,2,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,73,,0,,*,new_student_stage,,partner_picture_5200404,,,,,,,,1,0|0,2,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,74,,0,,-1,new_student_stage,,partner_picture_5200404,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,60071,,,,,,,,,,,,,
74,75,,0,,-1,new_student_stage,,partner_picture_54007,,,,,,,,1,0|0,0,10,6,1,1,0|0,,,,,,,,,,,,,,,60285,,,,,,,,,,,,,
75,-1,,0,,-1,new_student_stage,,partner_picture_5200404,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,60084,,,,,,,,,,,,,
76,77,,0,1-5c,-1,new_student_stage,,partner_picture_5200404,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,60285,7001,,,,,,,,,,,,
77,78,,0,,-1,new_student_stage,,partner_picture_5200404,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,60082,,,,,,,,,,,,,
78,79,,0,,-1,new_student_stage,,partner_picture_5200404,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,60302,,,,,,,,,,,,,
79,80,,0,,-1,new_student_stage,,partner_picture_54007,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,60278,,,,,,,,,,,,,
80,81,,0,,-1,new_student_stage,,partner_picture_4300704,,,,,,,,1,0|0,0,10,6,1,1,0|0,,,,,,,,,,,,,,,60296,,,,,,,,,,,,,
81,82,,0,,*,new_student_stage,,partner_picture_4300704,,,,,,,,1,0|0,2,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,83,,0,,*,new_student_stage,,partner_picture_4300704,,,,,,,,1,0|0,2,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,-1,,0,,*,new_student_stage,,partner_picture_4300704,,,,,,,,1,0|0,2,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,85,,0,1-6a,*,new_student_stage,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,7001,,,,,,,,,,,,
85,86,,0,,-1,new_student_stage,,partner_picture_5300502,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,60086,,,,,,,,,,,,,
86,87,,0,,-1,new_student_stage,,partner_picture_5300502,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,88,,0,,-1,new_student_stage,,partner_picture_4300704,,,,,,,,1,0|0,0,1,6,1,1,0|0,,,,,,,,,,,,,,,60040,,,,,,,,,,,,,
