id,stage_id,fort_id,plot_id,memory_plot_id,chapter_icon,plot_fort_id,unlock,unlock_plot_list_id,activity_plot_list_id,plot_text_table
1,3,1-3,#1#,1,main_plot_img_3,1,208#2,0,,2
2,4,1-4,#24#43,24|43,main_plot_img_27,1,208#2,1,,2
3,5,1-5,#48#76,48|76,main_plot_img_25,1,208#2,2,,2
4,6,1-6,#84#97,84|97,main_plot_img_25,1,208#2,3,,2
5,7,1-7,#102#,102,main_plot_img_25,1,208#2,4,,2
6,8,1-8,#110#116,110|116,main_plot_img_25,1,208#2,5,,2
7,9,1-9,#123#133,123|133,main_plot_img_25,1,208#2,6,,2
8,10,1-10,#141#151,141|151,main_plot_img_25,1,208#2,7,,2
9,11,1-11,#164#171,164|171,main_plot_img_22,1,208#2,8,,2
10,12,1-12,#173#187,173|187,main_plot_img_22,1,208#2,9,,2
11,13,2-1,#190#213,190|213,main_plot_img_21,2,208#2,10,,2
12,14,2-2,#224#253,224|253,main_plot_img_27,2,208#2,11,,2
13,15,2-3,#258#279,258|279,main_plot_img_27,2,208#2,12,,2
14,16,2-4,#290#308,290|308,main_plot_img_15,2,208#2,13,,2
15,17,2-5,#316#344,316|344,main_plot_img_15,2,208#2,14,,2
16,18,2-6,#352#384,352|384,main_plot_img_2,2,208#2,15,,2
17,19,2-7,#397#,397,main_plot_img_15,2,208#2,16,,2
18,20,2-8,#422#,422,main_plot_img_9,2,208#2,17,,2
19,21,2-9,#439#463,439|463,main_plot_img_9,2,208#2,18,,2
20,22,2-10,#467#481,467|481,main_plot_img_9,2,208#2,19,,2
21,23,3-1,#493#515,493|515,main_plot_img_4,3,208#2,20,,2
22,24,3-2,#521#554,521|554,main_plot_img_27,3,208#2,21,,2
23,25,3-3,#565#,565,main_plot_img_15,3,208#2,22,,2
24,26,3-4,#590#604,590|604,main_plot_img_15,3,208#2,23,,2
25,27,3-5,#614#,614,main_plot_img_24,3,208#2,24,,2
26,28,3-6,#647#,647,main_plot_img_23,3,208#2,25,,2
27,29,3-7,#669#681,669|681,main_plot_img_24,3,208#2,26,,2
28,30,3-8,#686#,686,main_plot_img_24,3,208#2,27,,2
29,31,3-9,#694#698,694|698,main_plot_img_24,3,208#2,28,,2
30,32,3-10,#707#714,707|714,main_plot_img_23,3,208#2,29,,2
31,33,4-1,#719#747,719|747,main_plot_img_27,4,208#2,30,,2
32,34,4-2,#751#760,751|760,main_plot_img_19,4,208#2,31,,2
33,35,4-3,#765#771,765|771,main_plot_img_19,4,208#2,32,,2
34,36,4-4,#792#814,792|814,main_plot_img_19,4,208#2,33,,2
35,37,4-5,#820#828,820|828,main_plot_img_19,4,208#2,34,,2
36,38,4-6,#830#847,830|847,main_plot_img_19,4,208#2,35,,2
37,39,4-7,#856#857,856|857,main_plot_img_27,4,208#2,36,,2
38,40,4-8,#866#873,866|873,main_plot_img_27,4,208#2,37,,2
39,41,4-9,#883#890,883|890,main_plot_img_27,4,208#2,38,,2
40,42,4-10,#893#897,893|897,main_plot_img_27,4,208#2,39,,2
41,43,5-1,#915#939,915|939,main_plot_img_27,5,208#2,40,,2
42,44,5-2,#943#945,943|945,main_plot_img_1,5,208#2,41,,2
43,45,5-3,#960#969,960|969,main_plot_img_1,5,208#2,42,,2
44,46,5-4,#985#1003,985|1003,main_plot_img_10,5,208#2,43,,2
45,47,5-5,#1007#1009,1007|1009,main_plot_img_10,5,208#2,44,,2
46,48,5-6,#1020#,1020,main_plot_img_1,5,208#2,45,,2
47,49,5-7,#1041#1062,1041|1062,main_plot_img_11,5,208#2,46,,2
48,50,5-8,#1069#1090,1069|1090,main_plot_img_27,5,208#2,47,,2
49,51,5-9,#1099#1110,1099|1110,main_plot_img_26,5,208#2,48,,2
50,52,5-10,#1118#1133,1118|1133,main_plot_img_10,5,208#2,49,,2
51,53,6-1,#1151#1172,1151|1172,main_plot_img_18,6,208#2,50,,2
52,54,6-2,#1182#1196,1182|1196,main_plot_img_16,6,208#2,51,,2
53,55,6-3,#1202#1231,1202|1231,main_plot_img_13,6,208#2,52,,2
54,56,6-4,#1235#,1235,main_plot_img_13,6,208#2,53,,2
55,57,6-5,#1253#,1253,main_plot_img_14,6,208#2,54,,2
56,58,6-6,#1264#1275,1264|1275,main_plot_img_18,6,208#2,55,,2
57,59,6-7,#1277#1285,1277|1285,main_plot_img_18,6,208#2,56,,2
58,60,6-8,#1298#,1298,main_plot_img_4,6,208#2,57,,2
