id,title_1,contents_1,title_2,contents_2,title_4,contents_4,title_5,contents_5,title_6,contents_6,title_11,contents_11,go_to_id,delay_time,switch,priority,special_treatment,remark
1,“Limit Event”Unlock!,"Senpai, new events are begun, hurry up to finish them!",“Limit Event”Unlock!,"Senpai, des nouveaux événements ont commencés, dépêche-toi de les finir !",-1,-1,-1,-1,한정 이벤트' 잠금 해제!,"선배님,새로운 이벤트가 시작되었습니다. 어서 시간 내에 완료하세요!",“Limitierte Events”freigeschaltet!,Senpai! Neue Veranstaltungen haben gerade begonnen! Beeil dich!,32,,,,,
2,You have unfinished daily quizzes!,"Senpai, don’t miss your daily mission~",You have unfinished daily quizzes!,Senpai! N'oublie pas tes missions quotidiennes~,-1,-1,-1,-1,클리어하지 않은 일일 퀴즈가 있습니다!,"일일 퀴즈를 클리어하지 않았습니다. 선배님, 클리어 잊지마세요!",Tägliches Quiz nicht abgeschlossen!,Senpai! Du hast noch Zeit dein tägliches Quiz abzuschließen! Vergiss es nicht!,25,21600,-1,5,1,
3,This world needs you!,"Senpai, come to see new change in campus!",Ce monde à besoin de toi !,"Senpai, viens voir les changements sur le campus !",-1,-1,-1,-1,유몽학원은 선배가 필요합니다!,"선배, 학원에 여러가지 변화가 생겼어요! 어서 확인하세요!",Die Welt braucht dich!,Senpai! Komm und sehe dir den neuen Campus an!,32,,,,,
4,This world needs you!,"Senpai, your girls are miss you badly, hurry back!",Ce monde à besoin de toi !,"Senpai! Tu manques terriblement à tes Filles, reviens vite !",-1,-1,-1,-1,유몽학원은 선배가 필요합니다!,"선배, 소녀들이 기다리고 있어요! 빨리 돌아오세요!",Die Welt braucht dich!,Senpai! Deine Mädchen vermissen dich sehr! Beeil dich und komm zurück!,32,,,,,-1
5,This world needs you!,"Senpai, your girls cannot fight without you, hurry back~",Ce monde à besoin de toi !,"Senpai, vos Filles ne peuvent pas se battre sans toi, reviens~",-1,-1,-1,-1,유몽학원은 선배가 필요합니다!,선배가 없으면 소녀들의 전투력이 크게 떨어집니다. 어서 돌아가서 함께 싸웁시다!,Die Welt braucht dich!,Senpai! Deine Mädchen können nicht ohne dich kämpfen. Beeil dich und komm zurück~!,32,,,,,
6,This world needs you!,"Senpai, campus will be full of devils if you don’t come back!",This world needs you!,"Senpai, le campus va être rempli de démon si tu ne reviens pas !",-1,-1,-1,-1,유몽학원은 선배가 필요합니다!,"선배, 빨리 돌아오지 않으면 학원은 악마에게 점령당하고 말거에요!",Die Welt braucht dich!,"Senpai! Der Campus wird voller Dämonen sein, wenn du nicht zurückkommst!",32,,,,,
7,This world needs you!,"Senpai, you truly want to abandon your battle girls?",This world needs you!,"Senpai, veux-tu vraiment abandonner tes Filles?",-1,-1,-1,-1,유몽학원은 선배가 필요합니다!,선배님 돌아오지 않을거에요? 소녀들은 항상 선배를 기다리고 있습니다.,Die Welt braucht dich!,Senpai! Willst du deine Mädchen wirklich verlassen?,32,,,,,
8,You have unfinished internship!,"Senpai, you have uninitiated internship task, hurry to finish!",Tu as un stage non terminé,"Senpai, tu n'as pas commencé de tâche de stage, dépêche toi d'y aller",-1,-1,-1,-1,미완료한 아르바이트 미션이 있어요!,"선배, 아직 진행하지 않은 아르바이트 미션이 있습니다. 빨리 소녀들을 파견합시다!",Keine Jobaufgabe begonnen!,Senpai! Du hast keine Jobaufgabe begonnen. Beeile dich und lege los!,3,,-1,,1,
9,League Rank Decline,Senpai! Your team was defeated in Junior Varsity! Revenge now!,Baisse du Rang de l'Arène,Senpai ! Your team was defeated in campus league! Revenge now!,-1,-1,-1,-1,학원 리그의 랭킹이 하락했습니다!,"선배, 학원 리그의 랭킹이 하락했습니다, 빨리 복수합시다!",Arenaniederlage,Senpai! Dein Team in der Arena wurde besiegt. Komm zurück und räche dich!,5,,,,,
10,Guild Notice Revise,Guild Notice changed: {1},Guild Notice Revise,Guild Notice changed: {1},-1,-1,-1,-1,동아리 공지 변경,동아리 공지 변경: {1},Gildenhinweis geändert,Der Gildentext wurde geändert: {1},15,,-1,2,,-1
11,A message to guild leader,Leader! We need your help of building guild! Come back!,A message to guild leader,Leader! We need your help of building guild! Reviens !,-1,-1,-1,-1,선배님께,"회장님, 동아리에 문제가 발생한 것 같습니다. 어서 돌아가서 해결합시다!",Nachricht für den Gildenleiter,Senpai! Die Gilde ist auf ein Entwicklungsproblem gestoßen und braucht deine Hilfe!,15,,,,,
12,A message to guild leader,Leader! Our guild can't move on without you! Please come back!,A message to guild leader,Leader! Our guild can't move on without you! Please come back!,-1,-1,-1,-1,선배님께,"회장님, 동아리는 회장님의 지도가 필요합니다! 어서 돌아오세요!",Nachricht für den Gildenleiter,"Senpai, die Gilde braucht dich, komm bald zurück!",15,,,,,
13,A message to guild leader,Leader! Where are you? We have something serous happened in guild!,A message to guild leader,Leader! Where are you? We have something serous happened in guild!,-1,-1,-1,-1,선배님께,회장님이 없는 동안 동아리가 발전하지 못했어요. 어서 돌아오세요!,Nachricht für den Gildenleiter,"Senpai, da du gegangen bist, hat die Gilde große Probleme, komm schnell, hilf das Problem zu lösen!",15,,,,,
14,A message to guild leader,Leader! Do you really want to leave your guild? Please come back!,A message to guild leader,Leader! Do you really want to leave your guild? Please come back!,-1,-1,-1,-1,선배님께,"회장님, 동아리원들과  모두가 당신을 기다리고 있어요.",Nachricht für den Gildenleiter,Senpai! Möchtest du deine Gilde wirklich aufgeben? Komm bald zurück!,15,,,,,
15,Regarding to battle girls!,Senpai! How was your first day in campus? Was it great?,Regarding to battle girls!,Senpai! How was your first day in campus? Was it great?,-1,-1,-1,-1,후배로부터의 안부 인사,"선배, 학원 생활은 어떠세요? 한가하시죠?",Nachricht zu den Mädchen!,"Senpai, wie war dein erster Tag auf dem Campus?",32,,,,,
16,Regarding to battle girls!,Senpai! Girls were all talking about you these days!,Regarding to battle girls!,Senpai! Girls were all talking about you these days!,-1,-1,-1,-1,후배로부터의 안부 인사,"선배, 이틀 동안 모든 소녀들이 선배를 좋은 선배라고 칭찬했습니다!",Nachricht zu den Mädchen!,Senpai! Die Mädchen haben die Tage nur von dir geredet!,32,,,,,
17,Regarding to battle girls!,Senpai! You and your girls are working better and better! Fight!,Regarding to battle girls!,Senpai! You and your girls are working better and better! Fight!,-1,-1,-1,-1,후배로부터의 안부 인사,"선배, 소녀들과의 궁합이 좋아졌네요! 계속해서 힘냅시다!",Nachricht zu den Mädchen!,"Senpai! Deine Mädchen und du haben enorme Fortschritte gemacht, kämpfe weiter!",32,,,,,
18,Regarding to battle girls!,Senpai! You are the chosen one to help us defeat demons!,Regarding to battle girls!,Senpai! You are the chosen one to help us defeat demons!,-1,-1,-1,-1,후배로부터의 안부 인사,선배 덕분에 악마 학원을 쓰러뜨릴 수 있었습니다. 역시 선택 받은 자는 다르군요!,Nachricht zu den Mädchen!,Senpai! Mit deiner Hilfe können wir die Dämonen des Campus zurückdrängen!,32,,,,,
19,Regarding to battle girls!,Senpai! Many girls are sending your letters! Come and see!,Regarding to battle girls!,Senpai! Many girls are sending your letters! Come and see!,-1,-1,-1,-1,후배로부터의 안부 인사,"선배, 선배님을 좋아하는 소녀들이 많이 있답니다! 사이좋게 지내요!",Nachricht zu den Mädchen!,"Senpai! Viele Mädchen haben dir Nachrichten geschickt, komm schnell und schau nach!",32,,,,,
20,Available Canteen Order!,Senpai! Please select your orders in Canteen!,Available Canteen Order!,Senpai! Please select your orders in Canteen!,-1,-1,-1,-1,미완성 주문이 있습니다!,"선배, 오늘 식당 주문을 잊어버린 것 같아요. 빨리 만듭시다!",Cafeteriabestellung verfügbar!,"Senpai! Es scheint, dass du vergessen hast, dir was in der Cafeteria zu bestellen.",15,,-1,3,,
21,Go to challenge Guild Boss!,Senpai! You still have boss fight in guild! Come join the fight!,Go to challenge Guild Boss!,Senpai! You still have boss fight in guild! Come join the fight!,-1,-1,-1,-1,동아리 보스에 도전합시다!,"선배, 오늘은 아직 동아리 보스에 도전하지 않으신 것 같군요. 어서 참전합시다!",Gildenboss herausfordern!,"Senpai! Du hast noch nicht gegen den Gildenboss gekämpft, komm und kämpfe schnell!",15,,-1,4,,
