key,value,desc
awake_add_level_limit,20,-1
awake_open_need_grade,6,-1
awake_time_limit,3,-1
treasure_open_level,40,-1
treasure_max_level,23,-1
decompose_grade_coin_return_ratio,0.7,-1
decompose_partner_exp_return_ratio,0.65,-1
decompose_treasure_return_base,14#3,-1
decompose_treasure_return_ratio,0.6,-1
herobag_buy_cost,2#100,-1
herobag_buy_num,5,-1
herobag_buy_limit,32,-1
artifact_upgrade_excess_return,6000#10,-1
equip_type_max,7,-1
daily_mission_all_complete_id,11,-1
quiz_free_time,2,-1
quiz_buy_cost,2#50,-1
pub_mission_refresh_cost,2#10,-1
midas_interval_time,28800,-1
midas_cost,0#0|2#20|2#50,-1
midas_award_multiple,1|2|5,-1
arena_teach_num,2,-1
arena_default_point,1000,-1
arena_ticket_free,2,-1
arena_ticket_cost,20,-1
arena_season_time,15,-1
checkin_turn,30,-1
initial_avatar,11001|11002|11003|12001|12002|12003|13001|13002|13003|14001|14002|14003|21001|21002|21003|21004|22001|22002|22003|22004|23001|23002|23003|23004|24001|24002|24003|24004|31001|31002|31003|31004|31005|32001|32002|32003|32004|32005|33001|33002|33003|33004|33005|34001|34002|34003|34004|34005|35001|36001|42004|652002|27030,-1
edit_name_cost,2#200,-1
edit_name_length_limit,4|12,-1
tower_drip_cost,13#1,-1
tower_init_water,13#10,-1
tower_water_cd,1800,-1
tower_water_max,10,-1
shop_black_init_id,5,-1
arena_init_score,1000,-1
arena_free_times,2,-1
first_charge_awards,930146#50|1#200000|1042#1|3042#1,-1
talk_level,4,-1
talk_cd,10,-1
qa_content_length,500,-1
tower_top,1000,-1
dungeon_top,600,-1
activity_gacha_partner_awards,53012#20002,-1
activity_gacha_partners,55011|56009,-1
activity_gacha_partner_show,55011|56009,-1
gacha_ensure_dropbox_id,10006,-1
gacha_ensure_weight_ini_total,1000000,-1
gacha_ensure_weight_ini_get,180,-1
gacha_ensure_weight_add,7,-1
gacha_ensure_is_wish,1,-1
gacha_ensure_weight_wish_total,1000000,-1
gacha_ensure_weight_wish_get,198,-1
gacha_ensure_weight_wish_add,198,-1
