id,name,desc,buff_type,skill_ids,icon
1,-1,-1,1,11101,blessing_icon_11
2,-1,-1,1,10301|10302,blessing_icon_3
3,-1,-1,1,11001|11002,blessing_icon_10
4,-1,-1,1,10101,blessing_icon_1
5,-1,-1,1,10801,blessing_icon_8
6,-1,-1,2,11201,skill_icon_5200103
7,-1,-1,2,10701|10703,blessing_icon_7
8,-1,-1,2,10901|10902,blessing_icon_9
9,-1,-1,2,11301,skill_icon_134
10,-1,-1,2,11401,skill_icon_40
11,-1,-1,2,11501|11502,blessing_icon_12
12,-1,-1,3,11601,blessing_icon_14
13,-1,-1,3,10201,blessing_icon_2
14,-1,-1,3,11701,skill_icon_29
15,-1,-1,3,11801,skill_icon_69
