id,item,desc,num,point,cost,buy_time
1,198#1000,,1,500,1#445000,1
2,198#1500,,1,500,2#300,1
3,199#600,,1,500,2#600,1
4,198#2000,,2,500,1#890000,1
5,198#3000,,2,500,2#600,1
6,199#1200,,2,500,2#1200,1
7,198#3000,,2,800,1#1335000,1
8,198#4500,,2,800,2#900,1
9,199#1800,,2,800,2#1800,1
10,198#4000,,2,1200,1#1780000,1
11,198#6000,,2,1200,2#1200,1
12,199#2500,,2,1200,2#2500,1
13,198#5000,,3,800,1#2225000,1
14,198#7500,,3,800,2#1500,1
15,199#3200,,3,800,2#3200,1
16,198#6000,,3,1200,1#2670000,1
17,198#9000,,3,1200,2#1800,1
18,199#3600,,3,1200,2#3600,1
19,198#7000,,5,1200,1#3115000,1
20,198#10500,,5,1200,2#2100,1
21,199#4200,,5,1200,2#4200,1
22,198#8000,,7,1200,1#3560000,1
23,198#12000,,7,1200,2#2400,1
24,199#5000,,7,1200,2#5000,1
25,198#9000,,10,1200,1#4000000,1
26,198#13500,,10,1200,2#2700,1
27,199#5500,,10,1200,2#5500,1
28,198#10000,,15,1200,1#4445000,1
29,198#15000,,15,1200,2#3000,1
30,199#6500,,15,1200,2#6500,1
31,198#11000,,20,1200,1#4890000,1
32,198#16500,,20,1200,2#3300,1
33,199#7000,,20,1200,2#7000,1
34,198#12000,,25,1200,1#5335000,1
35,198#18000,,25,1200,2#3600,1
36,199#8000,,25,1200,2#8000,1
