id,name,name2,ver,group,job,max_grade,max_star,max_lv,base_atk,base_hp,base_arm,base_spd,grow_atk,grow_hp,grow_arm,grow_spd,energy_base,decompose,grade_lv1,grade_exp1,grade_lv2,grade_exp2,grade_lv3,grade_exp3,grade_lv4,grade_exp4,grade_lv5,grade_exp5,grade_lv6,grade_exp6,ex_skill,atk_id,act_skill_id,pas_skill1_id,pas_skill2_id,pas_skill3_id,pas_tier1,pas_tier2,pas_tier3,host,material,avatar,partner_model,show_in_guide,show_in_forge,show_in_guide_auditing,show_in_forge_auditing,awake_material,awake_grow,awake_skill,stone_material,potential,n_id,star_10,skin_ids,wedding_skin_id,comment_id,show_ids,hero_list,achievement_id,partner_data_id,gift_type1,gift_type2,shenxue_table_id,partner_shard,click_dialog1,click_dialog2,click_dialog3,click_dialog4,click_dialog5,dialogs,click_sound1,click_sound2,click_sound3,click_sound4,click_sound5,battle_sound,start_sound,dead_sound,skill_sound,lvlup_sound,gradeup_sound,shengxue_sound,awake_sound,equip_sound1,equip_sound2,hangteam_sound,victory_sound,failed_sound,love_point_sound1,love_point_sound2,love_point_sound3,love_point_sound4,vow_sound,house_sound,house_set_sound,idle_sound,dagong_sound,daily_mission_sound,new_stage_sound,gift_sound1,gift_sound2,gift_sound3,login_sound
11001,-1,-1,0,1,1,1,1,40,28,282,49,127,2.8,28.2,4.9,2,50,9#50|10#2,30,10#50|1#10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,1100100,1100101,,,,,,,,,partner_avatar_11001,1100101,1,,1,,,,,,,,,,,811001,11001,11001,,178,1000027|1000033,1000025|1000029,0,930000,-1,-1,-1,-1,-1,110010201|110010202|110010203|110010204|110010205|110010301|110010401|110010501|110010601|110010701|110010801|110011101|110011102|110012801|110011301|110011401|110011501|110011502|110011503|110011504|110011601|110011701|110011801|110011901|110012001|110012101|110012201|110012301|110012401|110012501|110012601,110010201,110010202,110010203,110010204,110010205,110010301,110010401,110010501,110010601,110010701,110010801,,,110011101,110011102,110012801,110011301,110011401,110011501,110011502,110011503,110011504,110011601,110011701,110011801,110011901,110012001,110012101,110012201,110012301,110012401,110012501,110012601
11002,-1,-1,0,1,2,1,1,40,48,161,46,109,4.8,16.1,4.6,2,50,9#50|10#2,30,10#50|1#10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,1100200,1100201,,,,,,,,,partner_avatar_11002,1100201,1,,1,,,,,,,,,,,811002,11002,11002,,181,1000004|1000038,1000003|1000023,0,930001,-1,-1,-1,-1,-1,110020201|110020202|110020203|110020204|110020205|110020301|110020401|110020501|110020601|110020701|110020801|110021101|110021102|110022801|110021301|110021401|110021501|110021502|110021503|110021504|110021601|110021701|110021801|110021901|110022001|110022101|110022201|110022301|110022401|110022501|110022601,110020201,110020202,110020203,110020204,110020205,110020301,110020401,110020501,110020601,110020701,110020801,,,110021101,110021102,110022801,110021301,110021401,110021501,110021502,110021503,110021504,110021601,110021701,110021801,110021901,110022001,110022101,110022201,110022301,110022401,110022501,110022601
11003,-1,-1,0,1,4,1,1,40,45,163,48,136,4.5,16.3,4.8,2,50,9#50|10#2,30,10#50|1#10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,1100300,1100301,,,,,,,,,partner_avatar_11003,1100301,1,,0,,,,,,,,,,,811003,11003,11003,,183,1000004|1000031,1000003|1000011,0,930002,-1,-1,-1,-1,-1,110030201|110030202|110030203|110030204|110030205|110030301|110030401|110030501|110030601|110030701|110030801|110031101|110031102|110032801|110031301|110031401|110031501|110031502|110031503|110031504|110031601|110031701|110031801|110031901|110032001|110032101|110032201|110032301|110032401|110032501|110032601,110030201,110030202,110030203,110030204,110030205,110030301,110030401,110030501,110030601,110030701,110030801,,,110031101,110031102,110032801,110031301,110031401,110031501,110031502,110031503,110031504,110031601,110031701,110031801,110031901,110032001,110032101,110032201,110032301,110032401,110032501,110032601
12001,-1,-1,0,2,1,1,1,40,33,176,55,127,3.3,17.6,5.5,2,50,9#50|10#2,30,10#50|1#10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,1200100,1200101,,,,,,,,,partner_avatar_12001,1200101,1,,1,,,,,,,,,,,812001,12001,12001,,195,1000023|1000034,1000002|1000004,0,930003,-1,-1,-1,-1,-1,120010201|120010202|120010203|120010204|120010205|120010301|120010401|120010501|120010601|120010701|120010801|120011101|120011102|120012801|120011301|120011401|120011501|120011502|120011503|120011504|120011601|120011701|120011801|120011901|120012001|120012101|120012201|120012301|120012401|120012501|120012601,120010201,120010202,120010203,120010204,120010205,120010301,120010401,120010501,120010601,120010701,120010801,,,120011101,120011102,120012801,120011301,120011401,120011501,120011502,120011503,120011504,120011601,120011701,120011801,120011901,120012001,120012101,120012201,120012301,120012401,120012501,120012601
12002,-1,-1,0,2,1,1,1,40,33,176,55,127,3.3,17.6,5.5,2,50,9#50|10#2,30,10#50|1#10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,1200200,1200201,,,,,,,,,partner_avatar_12002,1200201,1,,0,,,,,,,,,,,812002,12002,12002,,203,1000039|1000040,1000006|1000018,0,930004,-1,-1,-1,-1,-1,120020201|120020202|120020203|120020204|120020205|120020301|120020401|120020501|120020601|120020701|120020801|120021101|120021102|120022801|120021301|120021401|120021501|120021502|120021503|120021504|120021601|120021701|120021801|120021901|120022001|120022101|120022201|120022301|120022401|120022501|120022601,120020201,120020202,120020203,120020204,120020205,120020301,120020401,120020501,120020601,120020701,120020801,,,120021101,120021102,120022801,120021301,120021401,120021501,120021502,120021503,120021504,120021601,120021701,120021801,120021901,120022001,120022101,120022201,120022301,120022401,120022501,120022601
12003,-1,-1,0,2,3,1,1,40,39,162,53,118,3.9,16.2,5.3,2,50,9#50|10#2,30,10#50|1#10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,1200300,1200301,,,,,,,,,partner_avatar_12003,1200301,1,,0,,,,,,,,,,,812003,12003,12003,,199,1000003|1000005,1000024|1000034,0,930005,-1,-1,-1,-1,-1,120030201|120030202|120030203|120030204|120030205|120030301|120030401|120030501|120030601|120030701|120030801|120031101|120031102|120032801|120031301|120031401|120031501|120031502|120031503|120031504|120031601|120031701|120031801|120031901|120032001|120032101|120032201|120032301|120032401|120032501|120032601,120030201,120030202,120030203,120030204,120030205,120030301,120030401,120030501,120030601,120030701,120030801,,,120031101,120031102,120032801,120031301,120031401,120031501,120031502,120031503,120031504,120031601,120031701,120031801,120031901,120032001,120032101,120032201,120032301,120032401,120032501,120032601
13001,-1,-1,0,3,1,1,1,40,36,176,53,127,3.6,17.6,5.3,2,50,9#50|10#2,30,10#50|1#10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,1300100,1300101,,,,,,,,,partner_avatar_13001,1300101,1,,0,,,,,,,,,,,813001,13001,13001,,216,1000003|1000011,1000012|1000037,0,930006,-1,-1,-1,-1,【hello world】,130010201|130010202|130010203|130010204|130010205|130010301|130010401|130010501|130010601|130010701|130010801|130011101|130011102|130012801|130011301|130011401|130011501|130011502|130011503|130011504|130011601|130011701|130011801|130011901|130012001|130012101|130012201|130012301|130012401|130012501|130012601,130010201,130010202,130010203,130010204,130010205,130010301,130010401,130010501,130010601,130010701,130010801,,,130011101,130011102,130012801,130011301,130011401,130011501,130011502,130011503,130011504,130011601,130011701,130011801,130011901,130012001,130012101,130012201,130012301,130012401,130012501,130012601
13002,-1,-1,0,3,2,1,1,40,51,140,48,109,5.1,14,4.8,2,50,9#50|10#2,30,10#50|1#10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,1300200,1300201,,,,,,,,,partner_avatar_13002,1300201,1,,0,,,,,,,,,,,813002,13002,13002,,222,1000020|1000022,1000007|1000014,0,930007,-1,-1,-1,-1,-1,130020201|130020202|130020203|130020204|130020205|130020301|130020401|130020501|130020601|130020701|130020801|130021101|130021102|130022801|130021301|130021401|130021501|130021502|130021503|130021504|130021601|130021701|130021801|130021901|130022001|130022101|130022201|130022301|130022401|130022501|130022601,130020201,130020202,130020203,130020204,130020205,130020301,130020401,130020501,130020601,130020701,130020801,,,130021101,130021102,130022801,130021301,130021401,130021501,130021502,130021503,130021504,130021601,130021701,130021801,130021901,130022001,130022101,130022201,130022301,130022401,130022501,130022601
13003,-1,-1,0,3,1,1,1,40,30,225,50,127,3,22.5,5,2,50,9#50|10#2,30,10#50|1#10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,1300300,1300301,,,,,,,,,partner_avatar_13003,1300301,1,,1,,,,,,,,,,,813003,13003,13003,,218,1000017|1000031,1000021|1000033,0,930008,-1,-1,-1,-1,-1,130030201|130030202|130030203|130030204|130030205|130030301|130030401|130030501|130030601|130030701|130030801|130031101|130031102|130032801|130031301|130031401|130031501|130031502|130031503|130031504|130031601|130031701|130031801|130031901|130032001|130032101|130032201|130032301|130032401|130032501|130032601,130030201,130030202,130030203,130030204,130030205,130030301,130030401,130030501,130030601,130030701,130030801,,,130031101,130031102,130032801,130031301,130031401,130031501,130031502,130031503,130031504,130031601,130031701,130031801,130031901,130032001,130032101,130032201,130032301,130032401,130032501,130032601
14001,-1,-1,0,4,4,1,1,40,42,163,50,136,4.2,16.3,5,2,50,9#50|10#2,30,10#50|1#10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,1400100,1400101,,,,,,,,,partner_avatar_14001,1400101,1,,1,,,,,,,,,,,814001,14001,14001,,237,1000014|1000021,1000013|1000040,0,930009,-1,-1,-1,-1,-1,140010201|140010202|140010203|140010204|140010205|140010301|140010401|140010501|140010601|140010701|140010801|140011101|140011102|140012801|140011301|140011401|140011501|140011502|140011503|140011504|140011601|140011701|140011801|140011901|140012001|140012101|140012201|140012301|140012401|140012501|140012601,140010201,140010202,140010203,140010204,140010205,140010301,140010401,140010501,140010601,140010701,140010801,,,140011101,140011102,140012801,140011301,140011401,140011501,140011502,140011503,140011504,140011601,140011701,140011801,140011901,140012001,140012101,140012201,140012301,140012401,140012501,140012601
