id,name,name2,ver,group,job,max_grade,max_star,max_lv,base_atk,base_hp,base_arm,base_spd,grow_atk,grow_hp,grow_arm,grow_spd,energy_base,decompose,grade_lv1,grade_exp1,grade_lv2,grade_exp2,grade_lv3,grade_exp3,grade_lv4,grade_exp4,grade_lv5,grade_exp5,grade_lv6,grade_exp6,ex_skill,atk_id,act_skill_id,pas_skill1_id,pas_skill2_id,pas_skill3_id,pas_tier1,pas_tier2,pas_tier3,host,material,avatar,partner_model,show_in_guide,show_in_forge,show_in_guide_auditing,show_in_forge_auditing,awake_material,awake_grow,awake_skill,stone_material,potential,n_id,star_10,skin_ids,wedding_skin_id,comment_id,show_ids,hero_list,achievement_id,partner_data_id,gift_type1,gift_type2,shenxue_table_id,partner_shard,click_dialog1,click_dialog2,click_dialog3,click_dialog4,click_dialog5,dialogs,click_sound1,click_sound2,click_sound3,click_sound4,click_sound5,battle_sound,start_sound,dead_sound,skill_sound,lvlup_sound,gradeup_sound,shengxue_sound,awake_sound,equip_sound1,equip_sound2,hangteam_sound,victory_sound,failed_sound,love_point_sound1,love_point_sound2,love_point_sound3,love_point_sound4,vow_sound,house_sound,house_set_sound,idle_sound,dagong_sound,daily_mission_sound,new_stage_sound,gift_sound1,gift_sound2,gift_sound3,login_sound
2000007,-1,-1,0,0,0,6,10,250,1200,10000,60,1250,0,0,0,2,50,,,,,,,,,,,,,,,200000701,200000702,200000703,200000704,200000705,2,4,6,,,partner_avatar_33003,3300301,0,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000008,-1,-1,0,3,5,6,10,250,433,7587,63,194.5,43.3,758.7,6.3,2,50,,,,,,,,,,,,,,1,75301600,75301601,75301602,200000803,75301604,2,4,6,,,partner_avatar_753016,75301601,0,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000009,-1,-1,3,1,3,6,10,250,384,7520,61,283.3,38.4,752,6.1,2,50,,,,,,,,,,,,,,1,75101400,75101401,200000902,75101403,75101404,2,4,6,,,partner_avatar_751014,75101401,0,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000010,-1,-1,0,3,1,6,10,250,339.9,8286,63,234.5,33.99,828.6,6.3,2,50,,,,,,,,,,,,,,1,75301700,200001001,75301702,75301703,75301704,2,4,6,,,partner_avatar_753017,75301701,0,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000011,-1,-1,0,0,0,6,10,250,400,8286,60,285,38.4,828.6,6.3,2,50,,,,,,,,,,,,,,,200001104,200001101,200001102,200001103,200001105,2,4,6,,,partner_avatar_2000011,80000009,0,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000012,-1,,0,6,3,1,5,30,600,10000,50,300,60,1000,5,3,50,,,,,,,,,,,,,,,75600800,75600801,75600802,75600803,75600804,1,1,1,,,partner_avatar_756008,75600801,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000013,-1,,0,6,3,1,6,60,750,12500,51,303,75,1250,5.1,3.03,50,,,,,,,,,,,,,,,75600800,75600801,75600802,75600803,75600804,1,1,1,,,partner_avatar_756008,75600801,0,,0,,,75#1250#5.1#3.03|75#1250#5.1#3.03|75#1250#5.1#3.03|75#1250#5.1#3.03,75600801#75600802#75600803#75600804|75600801#75600802#75600803#75600804|75600801#75600802#75600803#75600804|75600801#75600802#75600803#75600804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000014,-1,,0,6,3,2,6,90,937,15625,52,306,93.7,1562.5,5.2,3.06,50,,,,,,,,,,,,,,,75600800,75600801,75600802,75600803,75600804,1,1,1,,,partner_avatar_756008,75600801,0,,0,,,93.7#1562.5#5.2#3.06|93.7#1562.5#5.2#3.06|93.7#1562.5#5.2#3.06|93.7#1562.5#5.2#3.06,75600801#75600802#75600803#75600804|75600801#75600802#75600803#75600804|75600801#75600802#75600803#75600804|75600801#75600802#75600803#75600804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000015,-1,,0,6,3,3,6,120,1171,19531,53,309,117.1,1953.1,5.3,3.09,50,,,,,,,,,,,,,,,75600800,75600801,75600802,75600803,75600804,1,1,1,,,partner_avatar_756008,75600801,0,,0,,,117.1#1953.1#5.3#3.09|117.1#1953.1#5.3#3.09|117.1#1953.1#5.3#3.09|117.1#1953.1#5.3#3.09,75600801#75600802#75600803#75600804|75600801#75600802#75600803#75600804|75600801#75600802#75600803#75600804|75600801#75600802#75600803#75600804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000016,-1,,0,6,3,4,6,150,1463,24413,54,312,146.3,2441.3,5.4,3.12,50,,,,,,,,,,,,,,,75600800,75600801,75600802,75600803,75600804,1,1,1,,,partner_avatar_756008,75600801,0,,0,,,146.3#2441.3#5.4#3.12|146.3#2441.3#5.4#3.12|146.3#2441.3#5.4#3.12|146.3#2441.3#5.4#3.12,75600801#75600802#75600803#75600804|75600801#75600802#75600803#75600804|75600801#75600802#75600803#75600804|75600801#75600802#75600803#75600804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
