id,last_id,desc,type,next_achieve_id,complete_value,plot_id,partner_id,bg_icon
1,0,-1,6,2,52004,1,52004|652014|752009,dates_plot_caocao
2,1,-1,2,3,20,24,52004|652014|752009,dates_plot_caocao
3,2,-1,3,4,52004#40,50,52004|652014|752009,dates_plot_caocao
4,3,-1,5,5,1#50000,77,52004|652014|752009,dates_plot_caocao
5,4,-1,4,6,52004#4000,116,52004|652014|752009,dates_plot_caocao
6,5,-1,5,7,2#500,140,52004|652014|752009,dates_plot_caocao
7,6,-1,3,8,52004#80,168,52004|652014|752009,dates_plot_caocao
8,7,-1,4,9,52004#8000,187,52004|652014|752009,dates_plot_caocao
9,8,-1,3,10,52004#100,209,52004|652014|752009,dates_plot_caocao
10,9,-1,4,-1,52004#10000,241,52004|652014|752009,dates_plot_caocao
11,0,-1,6,12,52007,275,52007|652017|752010,dates_plot_zhangfei
12,11,-1,3,13,52007#40,308,52007|652017|752010,dates_plot_zhangfei
13,12,-1,4,14,52007#8000,355,52007|652017|752010,dates_plot_zhangfei
14,13,-1,3,15,52007#100,376,52007|652017|752010,dates_plot_zhangfei
15,14,-1,4,-1,52007#10000,402,52007|652017|752010,dates_plot_zhangfei
16,0,-1,6,17,51004,430,51004|651003|751002,dates_plot_degula
17,16,-1,2,18,20,448,51004|651003|751002,dates_plot_degula
18,17,-1,3,19,51004#40,477,51004|651003|751002,dates_plot_degula
19,18,-1,5,20,1#50000,505,51004|651003|751002,dates_plot_degula
20,19,-1,4,21,51004#4000,540,51004|651003|751002,dates_plot_degula
21,20,-1,5,22,2#500,555,51004|651003|751002,dates_plot_degula
22,21,-1,3,23,51004#80,566,51004|651003|751002,dates_plot_degula
23,22,-1,4,24,51004#8000,587,51004|651003|751002,dates_plot_degula
24,23,-1,3,25,51004#100,604,51004|651003|751002,dates_plot_degula
25,24,-1,4,-1,51004#10000,632,51004|651003|751002,dates_plot_degula
26,0,-1,6,27,43007,648,43007|543007|653014,dates_plot_weiyan
27,26,-1,2,28,20,670,43007|543007|653014,dates_plot_weiyan
28,27,-1,3,29,43007#40,717,43007|543007|653014,dates_plot_weiyan
29,28,-1,4,30,43007#1000,761,43007|543007|653014,dates_plot_weiyan
30,29,-1,5,31,43#15,813,43007|543007|653014,dates_plot_weiyan
31,30,-1,4,32,43007#3000,828,43007|543007|653014,dates_plot_weiyan
32,31,-1,5,33,44#70,844,43007|543007|653014,dates_plot_weiyan
33,32,-1,4,34,43007#5000,882,43007|543007|653014,dates_plot_weiyan
34,33,-1,3,35,43007#100,899,43007|543007|653014,dates_plot_weiyan
35,34,-1,4,-1,43007#8000,924,43007|543007|653014,dates_plot_weiyan
36,0,-1,6,37,54002,944,54002|652010|754002,dates_plot_xuchu
37,36,-1,3,38,54002#40,962,54002|652010|754002,dates_plot_xuchu
38,37,-1,4,39,54002#3000,998,54002|652010|754002,dates_plot_xuchu
39,38,-1,5,40,43#15,1020,54002|652010|754002,dates_plot_xuchu
40,39,-1,4,-1,54002#6000,1085,54002|652010|754002,dates_plot_xuchu
41,0,-1,6,42,56002,1117,56002|656011|756002,dates_plot_jiabailie
42,41,-1,3,43,56002#40,1179,56002|656011|756002,dates_plot_jiabailie
43,42,-1,4,44,56002#4000,1230,56002|656011|756002,dates_plot_jiabailie
44,43,-1,5,45,2#500,1272,56002|656011|756002,dates_plot_jiabailie
45,44,-1,4,-1,56002#8000,1302,56002|656011|756002,dates_plot_jiabailie
46,0,-1,6,47,54007,1323,54007|654013|754008,dates_plot_lvmeng
47,46,-1,5,48,43#15,1364,54007|654013|754008,dates_plot_lvmeng
48,47,-1,3,49,54007#60,1414,54007|654013|754008,dates_plot_lvmeng
49,48,-1,2,50,40,1456,54007|654013|754008,dates_plot_lvmeng
50,49,-1,4,-1,54007#8000,1497,54007|654013|754008,dates_plot_lvmeng
