id,ex_id,desc_num1,desc_num2,desc_num3,desc_num4,desc_num5
75100101,751001011|751001012|751001013|751001014|751001015,218%%|612%%,222%%|624%%,226%%|636%%,230%%|648%%,234%%|50%%|660%%
75100102,751001021|751001022|751001023|751001024|751001025,42%%|20%%,42%%|22%%,42.5%%|22%%,42.5%%|22.5%%,43%%|23%%
75100103,751001031|751001032|751001033|751001034|751001035,77%%,79%%,81%%,83%%,85%%
75100104,751001041|751001042|751001043|751001044|751001045,114%%,116%%,118%%,120%%,122%%
75100201,751002011|751002012|751002013|751002014|751002015,183%%|183%%,186%%|186%%,189%%|189%%,192%%|192%%,195%%|195%%
75100202,751002021|751002022|751002023|751002024|751002025,27%%|15%%,27%%|17%%,27.5|17%%,27.5%%|17.5%%,28%%|18%%
75100203,751002031|751002032|751002033|751002034|751002035,132.5%%,135%%,137.5%%,140%%,143%%|22%%
75100204,751002041|751002042|751002043|751002044|751002045,408%%,416%%,424%%,432%%,42%%|22%%|440%%
75100301,751003011|751003012|751003013|751003014|751003015,265%%|530%%,270%%|540%%,275%%|550%%,280%%|95%%|560%%,285%%|100%%|570%%
75100302,751003021|751003022|751003023|751003024|751003025,42%%|36%%,42%%|38%%,42.5%%|38%%,42.5%%|38.5%%,43%%|39%%
75100303,751003031|751003032|751003033|751003034|751003035,17.8%%|14%%,17.8%%|15%%,18.8%%|15%%,18.8%%|16%%,19.8%%|17%%
75100304,751003041|751003042|751003043|751003044|751003045,102%%,104%%,106%%,108%%,110%%|22%%
75100401,751004011|751004012|751004013|751004014|751004015,153%%,156%%,159%%,162%%,165%%|33%%
75100402,751004021|751004022|751004023|751004024|751004025,22%%,22%%|38%%,22%%|38%%|14%%,23%%|38%%|14%%,23%%|39%%|15%%
75100403,751004031|751004032|751004033|751004034|751004035,32%%|35%%,32%%|37%%,32.5%%|37%%,32.5%%|37.5%%,33%%|38%%
75100404,751004041|751004042|751004043|751004044|751004045,408%%,416%%,424%%,432%%,440%%
75100501,751005011|751005012|751005013|751005014|751005015,159%%,162%%,165%%,168%%,171%%|40%%
75100502,751005021|751005022|751005023|751005024|751005025,107%%,109%%,111%%,113%%,115%%|22%%
75100503,751005031|751005032|751005033|751005034|751005035,47%%|20%%,47%%|22%%,47.5%%|22%%,47.5%%|22.5%%,48%%|23%%
