id,next_id,select_next_ids,select,plot,name,image_path,type,res_path,map_swap,image_xy,image_move,dialog_type,partner_avatar,picture,picture_xy,picture_scale,is_memory,scale,partner_picture_xy,show_type,disappear_type,show_time,disappear_time,position_move,swap_overlap,image_mirror,cg_show,cg_path,cg_scale,cg_layer,cg_show_type,cg_start_xy,cg_show_time,cg_show_xy,cg_disappear_type,cg_disappear_xy,cg_disappear_time,sound,music,expression,face,face_pos,face_scale,bubble_mirror,bubble_xy,bubble_expression,no_click_time,effect,effect_scale,effect_xy,effect_layer,effect_count,jitter
1,2,,0,-1,,gb_normal_bg,1,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,,0,,,gb_normal_bg,1,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,,0,,,gb_normal_bg,1,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,0,,,gb_normal_bg,1,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,,0,,,gb_normal_bg,1,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,,0,,-1,gb_normal_bg,0,partner_picture_51002,0,,,,,,,,,1,0|0,11,6,1,1,1000|0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,,0,,-1,gb_normal_bg,0,partner_picture_51002,0,,,,,,,,,1,0|0,1,6,1,1,0|0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,,0,,-1,gb_normal_bg,0,partner_picture_51002,0,,,,,,,,,1,0|0,1,12,1,1,1000|0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,,0,,-1,gb_normal_bg,0,partner_picture_52004,0,,,,,,,,,1,0|0,11,6,1,1,1000|0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,,0,,-1,gb_normal_bg,0,partner_picture_52004,0,,,,,,,,,1,0|0,1,8,1,1,1000|0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,,0,,-1,gb_normal_bg,0,partner_picture_51002,0,,,,,,,,,1,0|0,10,6,1,1,0|0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,,0,,-1,gb_normal_bg,0,partner_picture_52004,0,,,,,,,,,1,0|0,11,6,1,1,1000|0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,,0,,-1,gb_normal_bg,0,partner_picture_52004,0,,,,,,,,,1,0|0,1,12,1,1,1000|0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,,0,,,gb_normal_bg,1,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,,0,,-1,gb_normal_bg,0,partner_picture_51002,1,,,,,,,,,1,0|0,1,6,1,1,0|0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,,0,,-1,gb_normal_bg,0,partner_picture_52004,0,,,,,,,,,1,0|0,1,6,1,1,0|0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,,0,,-1,gb_normal_bg,0,partner_picture_52004,0,,,,,,,,,1,0|0,1,6,1,1,0|0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,,0,,-1,gb_normal_bg,0,partner_picture_51002,0,,,,,,,,,1,0|0,1,6,1,1,0|0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,,0,,-1,gb_normal_bg,0,partner_picture_52004,0,,,,,,,,,1,0|0,1,6,1,1,0|0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,,0,,,school_night,1,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,,0,,,school_night,1,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,,0,,,school_night,1,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,-1,,0,,,school_night,1,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,,0,-1,,battle_map_10_1,1,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,,0,,,battle_map_10_1,1,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,,0,,,battle_map_10_1,1,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
