id,award_self,group_1,group_2,group_3,group_4,group_5,group_6,cost,bento_ratio,bento_num,exp,gold_grade,gold_crystal,crystal
1,1,0,0,0,0,0,0,0,1,,1,1,1,1
2,1,0,0,0,0,0,0,0,1,,1,1,1,1
3,1,0,0,0,0,0,0,0,1,,1,1,1,1
4,1,0,0,0,0,0,0,0,1,,1,1,1,1
5,1,0,0,0,0,0,0,0,1,,1,1,1,1
7,2,561001#5,562001#5,563001#5,564001#5,565001#5,566001#5,2#400,,10#1500,0.65,0,0.6,0.6
8,2,561001#7,562001#7,563001#7,564001#7,565001#7,566001#7,2#600,,10#2500,0.65,0,0.6,0.6
9,3,561001#8|661001#1@0,562001#8|662001#1@0,563001#8|663001#1@0,564001#8|664001#1@0,565001#8|665001#1@0,566001#8|666001#1@0,2#800,,10#4000,0.65,0,0.6,0.6
10,5,661001#2@3,662001#2@3,663001#2@3,664001#2@3,665001#2@3,666001#2@3,47#5,,10#8000,0.65,0,0.6,0.6
11,6,661001#3@3,662001#3@3,663001#3@3,664001#3@3,665001#3@3,666001#3@3,47#5,,10#16000,0.65,0,0.6,0.6
12,7,661001#4@3,662001#4@3,663001#4@3,664001#4@3,665001#4@3,666001#4@3,47#5,,10#24000,0.65,0,0.6,0.6
13,7,761001#1|661001#4@3,762001#1|662001#4@3,763001#1|663001#4@3,764001#1|664001#4@3,765001#1|665001#4@3,766001#1|666001#4@3,47#5,,10#36000,0.65,0,0.6,0.6
14,8,761001#2|661001#4@3,762001#2|662001#4@3,763001#2|663001#4@3,764001#2|664001#4@3,765001#2|665001#4@3,766001#2|666001#4@3,47#5,,10#48000,0.65,0,0.6,0.6
15,9,761001#3|661001#4@3,762001#3|662001#4@3,763001#3|663001#4@3,764001#3|664001#4@3,765001#3|665001#4@3,766001#3|666001#4@3,47#5,,10#64000,0.65,0,0.6,0.6
