id,name,level,awards,time,rank_unlocked
1,-1,1,245#50|216#4,7200,15
2,-1,1,245#100|216#8,14400,14
3,-1,1,245#150|216#12,21600,13
4,-1,2,245#200|216#16,28800,12
5,-1,3,245#250|216#20,36000,11
6,-1,4,245#60|216#4,7200,10
7,-1,4,245#120|216#8,14400,9
8,-1,5,245#180|216#12,21600,8
9,-1,5,245#240|216#16,28800,7
10,-1,6,245#300|216#20,36000,6
11,-1,6,245#75|216#4,7200,5
12,-1,7,245#150|216#8,14400,4
13,-1,8,245#225|216#12,21600,3
14,-1,9,245#300|216#16,28800,2
15,-1,10,245#375|216#20,36000,1
