id,type,lv,random_stage,show_award,power,difficulty
1,1,20,111#700|112#250|113#50,1#100000|10#10,3000,1
2,1,35,121#700|122#250|123#50,1#150000|10#15,8000,2
3,1,50,131#700|132#250|133#50,1#200000|10#20,15000,3
4,1,65,141#700|142#250|143#50,1#250000|10#25,30000,4
5,1,80,151#700|152#250|153#50,1#300000|10#30,45000,5
6,1,95,161#700|162#250|163#50,1#350000|10#35,70000,6
7,1,110,171#700|172#250|173#50,1#450000|10#40,95000,7
8,1,130,181#700|182#250|183#50,1#700000|10#50,150000,8
9,2,25,211#700|212#250|213#50,9#25200|10#10,3000,1
10,2,40,221#700|222#250|223#50,9#40000|10#15,8000,2
11,2,55,231#700|232#250|233#50,9#70000|10#20,15000,3
12,2,70,241#700|242#250|243#50,9#120000|10#25,30000,4
13,2,85,251#700|252#250|253#50,9#180000|10#30,45000,5
14,2,100,261#700|262#250|263#50,9#250000|10#35,70000,6
15,2,115,271#700|272#250|273#50,9#350000|10#40,95000,7
16,2,130,281#700|282#250|283#50,9#500000|10#50,150000,8
17,3,30,311#900|312#100,940003#10,3000,1
18,3,45,321#900|322#100,940003#20,8000,2
19,3,60,331#900|332#100,940003#20|940001#5,15000,3
20,3,75,341#900|342#100,940003#20|940001#10,30000,4
21,3,90,351#900|352#100,940003#20|940001#15,45000,5
22,3,105,361#900|362#100,940003#30|940001#20,70000,6
23,3,120,371#900|372#100,940003#30|940001#25,95000,7
24,3,130,381#900|382#100,940003#30|940001#30,150000,8
