id,map,battle_id,awards
111,1,401101,1#100000|10#10
112,1,401102,1#100000|1#100000|10#10|10#10
113,1,401103,1#100000|1#100000|1#100000|10#10|10#10|10#10
121,1,401201,1#150000|10#15
122,1,401202,1#150000|1#150000|10#15|10#15
123,1,401203,1#150000|1#150000|1#150000|10#15|10#15|10#15
131,1,401301,1#200000|10#20
132,1,401302,1#200000|1#200000|10#20|10#20
133,1,401303,1#200000|1#200000|1#200000|10#20|10#20|10#20
141,1,401401,1#250000|10#25
142,1,401402,1#250000|1#250000|10#25|10#25
143,1,401403,1#250000|1#250000|1#250000|10#25|10#25|10#25
151,1,401501,1#300000|10#30
152,1,401502,1#300000|1#300000|10#30|10#30
153,1,401503,1#300000|1#300000|1#300000|10#30|10#30|10#30
161,1,401601,1#350000|10#35
162,1,401602,1#350000|1#350000|10#35|10#35
163,1,401603,1#350000|1#350000|1#350000|10#35|10#35|10#35
171,1,401701,1#450000|10#40
172,1,401702,1#450000|1#450000|10#40|10#40
173,1,401703,1#450000|1#450000|1#450000|10#40|10#40|10#40
181,1,401801,1#700000|10#50
182,1,401802,1#700000|1#700000|10#50|10#50
183,1,401803,1#700000|1#700000|1#700000|10#50|10#50|10#50
211,20,402101,9#25200|10#10
212,20,402102,9#25200|9#25200|10#10|10#10
213,20,402103,9#25200|9#25200|9#25200|10#10|10#10|10#10
221,20,402201,9#40000|10#15
222,20,402202,9#40000|9#40000|10#15|10#15
223,20,402203,9#40000|9#40000|9#40000|10#15|10#15|10#15
231,20,402301,9#70000|10#20
232,20,402302,9#70000|9#70000|10#20|10#20
233,20,402303,9#70000|9#70000|9#70000|10#20|10#20|10#20
241,20,402401,9#120000|10#25
242,20,402402,9#120000|9#120000|10#25|10#25
243,20,402403,9#120000|9#120000|9#120000|10#25|10#25|10#25
251,20,402501,9#180000|10#30
252,20,402502,9#180000|9#180000|10#30|10#30
253,20,402503,9#180000|9#180000|9#180000|10#30|10#30|10#30
261,20,402601,9#250000|10#35
262,20,402602,9#250000|9#250000|10#35|10#35
263,20,402603,9#250000|9#250000|9#250000|10#35|10#35|10#35
271,20,402701,9#350000|10#40
272,20,402702,9#350000|9#350000|10#40|10#40
273,20,402703,9#350000|9#350000|9#350000|10#40|10#40|10#40
281,20,402801,9#500000|10#50
282,20,402802,9#500000|9#500000|10#50|10#50
283,20,402803,9#500000|9#500000|9#500000|10#50|10#50|10#50
311,1,403101,940003#10
312,2,403102,940003#10|940003#10
321,3,403201,940003#20
322,4,403202,940003#20|940003#20
331,5,403301,940003#20|940001#5
332,6,403302,940003#20|940003#20|940001#5|940001#5
341,7,403401,940003#20|940001#10
342,8,403402,940003#20|940003#20|940001#10|940001#10
351,9,403501,940003#20|940001#15
352,10,403502,940003#20|940003#20|940001#15|940001#15
361,1,403601,940003#30|940001#20
362,2,403602,940003#30|940003#30|940001#20|940001#20
371,3,403701,940003#30|940001#25
372,4,403702,940003#30|940003#30|940001#25|940001#25
381,5,403801,940003#30|940001#30
382,6,403802,940003#30|940003#30|940001#30|940001#30|940002#1
