id,name,qlt,star,icon,base1,base2,base3,skill_ids,group,dress_id,next_id,upgrade_cost,upgrade_cost2,dress_shard
3100001,-1,1,1,icon_dress_1000101|icon_dress_1000102,,,,,1,101001,,,,
3100002,-1,1,2,icon_dress_1000101|icon_dress_1000102,,,,,1,101001,,,,
3100003,-1,1,3,icon_dress_1000101|icon_dress_1000102,,,,,1,101001,,,,
3100004,-1,1,4,icon_dress_1000101|icon_dress_1000102,,,,,1,101001,,,,
3100005,-1,1,5,icon_dress_1000101|icon_dress_1000102,,,,,1,101001,,,,
3100006,-1,1,6,icon_dress_1000101|icon_dress_1000102,,,,,1,101001,,,,
3100007,-1,1,1,icon_dress_1000201|icon_dress_1000202,,,,,1,101002,,,,
3100008,-1,1,2,icon_dress_1000201|icon_dress_1000202,,,,,1,101002,,,,
3100009,-1,1,3,icon_dress_1000201|icon_dress_1000202,,,,,1,101002,,,,
3100010,-1,1,4,icon_dress_1000201|icon_dress_1000202,,,,,1,101002,,,,
3100011,-1,1,5,icon_dress_1000201|icon_dress_1000202,,,,,1,101002,,,,
3100012,-1,1,6,icon_dress_1000201|icon_dress_1000202,,,,,1,101002,,,,
3100013,-1,1,1,icon_dress_1000301|icon_dress_1000302,,,,,1,101003,,,,
3100014,-1,1,2,icon_dress_1000301|icon_dress_1000302,,,,,1,101003,,,,
3100015,-1,1,3,icon_dress_1000301|icon_dress_1000302,,,,,1,101003,,,,
3100016,-1,1,4,icon_dress_1000301|icon_dress_1000302,,,,,1,101003,,,,
3100017,-1,1,5,icon_dress_1000301|icon_dress_1000302,,,,,1,101003,,,,
3100018,-1,1,6,icon_dress_1000301|icon_dress_1000302,,,,,1,101003,,,,
3100019,-1,1,1,icon_dress_1000401,,,,,1,101004,,,,
3100020,-1,1,2,icon_dress_1000401,,,,,1,101004,,,,
3100021,-1,1,3,icon_dress_1000401,,,,,1,101004,,,,
3100022,-1,1,4,icon_dress_1000401,,,,,1,101004,,,,
3100023,-1,1,5,icon_dress_1000401,,,,,1,101004,,,,
3100024,-1,1,6,icon_dress_1000401,,,,,1,101004,,,,
3100025,-1,5,1,icon_dress_1000501|icon_dress_1000502,30,22,16,1000707,2,101005,3100026,260#45,,3200025#40
3100026,-1,5,2,icon_dress_1000501|icon_dress_1000502,31,23,17,1000707,2,101005,3100027,260#110,,3200025#40
3100027,-1,5,3,icon_dress_1000501|icon_dress_1000502,34,25,19,1000707,2,101005,3100028,260#240|261#20|3200025#40,4#90|3#100|2#50,3200025#40
3100028,-1,5,4,icon_dress_1000501|icon_dress_1000502,41,30,22,1000707,2,101005,3100029,260#1000|261#80|3200025#80,4#120|3#140|2#70,3200025#40
