id,item,cost,is_refresh,desc
1,930180#50,0#0,0,-1
2,930187#50,0#0,0,-1
3,930195#50,0#0,0,-1
4,930116#50,7#3000,1,-1
5,930100#50,7#3000,1,-1
6,930097#50,7#3000,1,-1
7,930082#50,7#3000,1,-1
8,930106#50,7#2000,1,-1
9,930093#50,7#2000,1,-1
10,930080#50,7#2000,1,-1
11,930110#50,7#2000,1,-1
12,930077#30,7#400,1,-1
13,930075#30,7#400,1,-1
14,930066#30,7#200,1,-1
15,930056#30,7#200,1,-1
16,930051#30,7#200,1,-1
17,930071#30,7#200,1,-1
18,930087#50,7#4000,1,-1
19,930092#50,7#4000,1,-1
20,930107#50,7#4000,1,-1
21,930108#50,7#4000,1,-1
22,930121#50,7#5000,1,-1
23,930119#50,7#5000,1,-1
24,930121#25,7#2500,1,-1
25,930119#25,7#2500,1,-1
26,930080#10,7#400,1,-1
27,930181#50,0#0,0,-1
28,930188#50,0#0,0,-1
29,930194#50,0#0,0,-1
