id,item,cost,weight,limit_num,desc
1,930109#50,6#8000,228,1,-1
2,930081#50,6#8000,228,1,-1
3,930095#50,6#8000,228,1,-1
4,930105#50,6#8000,228,1,-1
5,930078#50,6#10000,92,1,-1
6,930097#50,6#10000,92,1,-1
7,930103#50,6#10000,92,1,-1
8,930114#50,6#10000,92,1,-1
9,6071#1,6#2250,1145,,-1
10,6366#1,6#2250,1145,,-1
11,6096#1,6#5000,687,,-1
12,6097#1,6#5000,687,,-1
13,6098#1,6#5000,687,,-1
14,6099#1,6#5000,687,,-1
15,6100#1,6#5000,687,,-1
16,6101#1,6#6600,343,,-1
17,6102#1,6#6600,343,,-1
18,6103#1,6#6600,343,,-1
19,6371#1,6#6600,343,,-1
20,6377#1,6#6600,343,,-1
21,955001#50,6#6000,869,,-1
22,955099#50,6#10000,411,,-1
