id,last_id,type,unlock_type,unlock_num,add_type,add_num
1101,,1,0,,2,3
1102,1101,1,4,50,2|3,3|3
1103,1102,1,1,300,2|3,4|3
1104,1103,1,4,300,2|3,5|3
1105,1104,1,1,1600,2|3,6|3
1201,,2,0,,2,3
1202,1201,2,4,100,2|3,3|3
1203,1202,2,2,300,2|3,4|3
1204,1203,2,4,350,2|3,5|3
1205,1204,2,2,1600,2|3,6|3
1301,,3,0,,2,3
1302,1301,3,4,150,2|3,3|3
1303,1302,3,3,300,2|3,4|3
1304,1303,3,4,400,2|3,5|3
1305,1304,3,3,1600,2|3,6|3
2101,,1,0,,2,3
2102,2101,1,5,50,2|3,3|3
2103,2102,1,1,350,2|3,4|3
2104,2103,1,5,200,2|3,5|3
2105,2104,1,1,1700,2|3,6|3
2201,,2,0,,2,3
2202,2201,2,5,100,2|3,3|3
2203,2202,2,2,350,2|3,4|3
2204,2203,2,5,250,2|3,5|3
2205,2204,2,2,1700,2|3,6|3
2301,,3,0,,2,3
2302,2301,3,5,150,2|3,3|3
2303,2302,3,3,350,2|3,4|3
2304,2303,3,5,300,2|3,5|3
2305,2304,3,3,1700,2|3,6|3
3101,,1,0,,2,3
3102,3101,1,6,2,2|3,3|3
3103,3102,1,1,400,2|3,4|3
3104,3103,1,6,15,2|3,5|3
3105,3104,1,1,1800,2|3,6|3
3201,,2,0,,2,3
3202,3201,2,6,4,2|3,3|3
3203,3202,2,2,400,2|3,4|3
3204,3203,2,6,20,2|3,5|3
3205,3204,2,2,1800,2|3,6|3
3301,,3,0,,2,3
3302,3301,3,6,6,2|3,3|3
3303,3302,3,3,400,2|3,4|3
3304,3303,3,6,25,2|3,5|3
3305,3304,3,3,1800,2|3,6|3
4101,,1,0,,2,3
4102,4101,1,7,20,2|3,3|3
4103,4102,1,1,500,2|3,4|3
4104,4103,1,7,200,2|3,5|3
4105,4104,1,1,2000,2|3,6|3
4201,,2,0,,2,3
4202,4201,2,7,40,2|3,3|3
4203,4202,2,2,500,2|3,4|3
4204,4203,2,7,300,2|3,5|3
4205,4204,2,2,2000,2|3,6|3
4301,,3,0,,2,3
4302,4301,3,7,60,2|3,3|3
4303,4302,3,3,500,2|3,4|3
4304,4303,3,7,400,2|3,5|3
4305,4304,3,3,2000,2|3,6|3
