id,score_ratio,allDmgRate,atkP,hpP,armP,spdP,miss,free,decDmg,hit,crit,critTime
1,1,1,1,1,1,1,200,100,100,200,200,200
2,2,1,1.25,1.5,1,1,200,100,105,200,200,200
3,3,1,1.5,2,1,1,200,100,110,200,200,200
4,4,1,1.75,2.5,1,1,200,100,115,200,200,200
5,5,1,2,3,1,1,200,100,120,200,200,200
6,6,1,2.25,3.5,1,1,200,100,125,200,200,200
7,7,1,2.5,4,1,1,200,100,130,200,200,200
8,8,1,2.75,4.5,1,1,200,100,135,200,200,200
9,9,1,3,5,1,1,200,100,140,200,200,200
10,10,1,3.25,5.5,1,1,200,100,145,200,200,200
11,11,1,3.5,6,1,1,250,200,150,250,300,300
12,12,1,3.75,6.5,1,1,250,200,155,250,300,300
13,13,1,4,7,1,1,250,200,160,250,300,300
14,14,1,4.25,7.5,1,1,250,200,165,250,300,300
15,15,1,4.5,8,1,1,250,200,170,250,300,300
16,16,1,4.75,8.5,1,1,250,200,175,250,300,300
17,17,1,5,9,1,1,250,200,180,250,300,300
18,18,1,5.25,9.5,1,1,250,200,185,250,300,300
19,19,1,5.5,10,1,1,250,200,190,250,300,300
20,20,1.05,5.75,10.5,1,1,250,200,195,250,300,300
21,21,1.1,6,11,1,1,300,300,200,300,400,400
22,22,1.15,6.25,11.5,1,1,300,300,205,300,400,400
23,23,1.2,6.5,12,1,1,300,300,210,300,400,400
24,24,1.25,6.75,12.5,1,1,300,300,215,300,400,400
25,25,1.3,7,13,1,1,300,300,220,300,400,400
26,26,1.35,7.25,13.5,1,1,300,300,225,300,400,400
27,27,1.4,7.5,14,1,1,300,300,230,300,400,400
28,28,1.45,7.75,14.5,1,1,300,300,235,300,400,400
29,29,1.5,8,15,1,1,300,300,240,300,400,400
30,30,1.55,8.25,15.5,1,1,300,300,245,300,400,400
31,31,1.6,8.5,16,1,1,350,400,250,350,500,500
32,32,1.65,8.75,16.5,1,1,350,400,255,350,500,500
33,33,1.7,9,17,1,1,350,400,260,350,500,500
34,34,1.75,9.25,17.5,1,1,350,400,265,350,500,500
35,35,1.8,9.5,18,1,1,350,400,270,350,500,500
36,36,1.85,9.75,18.5,1,1,350,400,275,350,500,500
37,37,1.9,10,19,1,1,350,400,280,350,500,500
38,38,1.95,10.25,19.5,1,1,350,400,285,350,500,500
39,39,2,10.5,20,1,1,350,400,290,350,500,500
40,40,2.05,10.75,20.5,1,1,350,400,295,350,500,500
41,41,2.1,11,21,1,1,400,500,300,400,600,600
42,42,2.15,11.25,21.5,1,1,400,500,305,400,600,600
43,43,2.2,11.5,22,1,1,400,500,310,400,600,600
44,44,2.25,11.75,22.5,1,1,400,500,315,400,600,600
45,45,2.3,12,23,1,1,400,500,320,400,600,600
46,46,2.35,12.25,23.5,1,1,400,500,325,400,600,600
47,47,2.4,12.5,24,1,1,400,500,330,400,600,600
48,48,2.45,12.75,24.5,1,1,400,500,335,400,600,600
49,49,2.5,13,25,1,1,400,500,340,400,600,600
