id,next_id,select_next_ids,select,plot,name,image_path,type,res_path,spine_path,map_swap,image_xy,image_move,dialog_type,partner_avatar,picture,picture_xy,picture_scale,is_memory,scale,partner_picture_xy,show_type,disappear_type,show_time,disappear_time,position_move,swap_overlap,image_mirror,cg_show,cg_path,cg_scale,cg_show_type,cg_start_xy,cg_show_time,cg_show_xy,cg_disappear_type,cg_disappear_xy,cg_disappear_time,sound,music,expression,face,face_scale,face_pos,bubble_mirror,bubble_xy,bubble_expression,no_click_time,effect,effect_scale,effect_xy,effect_layer,effect_count,jitter
1,2,,,-1,,shrine_main_bg,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,,,,,shrine_main_bg,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,,,,*,shrine_main_bg,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,,,,,shrine_main_bg,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,,,,-1,shrine_main_bg,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,,,,*,shrine_main_bg,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,,,,-1,shrine_main_bg,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,,,,*,shrine_main_bg,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,,,,-1,shrine_main_bg,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,,,,*,shrine_main_bg,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,,,,-1,shrine_main_bg,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,,,,-1,shrine_main_bg,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,,,,*,shrine_main_bg,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,,,,-1,shrine_main_bg,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,,,,*,shrine_main_bg,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,,,,-1,shrine_main_bg,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-1,,,,*,shrine_main_bg,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,,,-1,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,,,,-1,shrine_shenshebaitian,0,56007_noface,,0,,,,,,,,,0.8,240|320,1,6,1,1,,0,,,,,,,,,,,,,,,56007_face_normal,1,869|456,,,,,,,,,,
20,21,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,,,,,shrine_shenshebaitian,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,,,,-1,shrine_shenshebaitian,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
