id,partner,unknown_3,name,desc,is_exskill,sub_skill,trigger,is_pass,is_unseal,is_cost_energy,is_add_energy,target1,rand1,effect1,effect1_add,no_crit1,no_miss1,no_act1,fx1,fx_hurt1,fx_hurt1_add,target2,rand2,effect2,no_crit2,not_miss2,fx_hurt2,target3,rand3,effect3,no_crit3,not_miss3,fx_hurt3,attr_pas,jump,jump_pos_xy,icon_id,level,sound,shake_screen,hero_pos_type,hero_pos_type_xy,shake_screen_time,black_screen,animation,skill_effect,target_no_effect
6010075,-1,-1,-1,-1,,0,1,1,,,,18,4,1104613|1106075,,1,1,,602|603,604|605,,7,4,1057023,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010076,-1,-1,-1,-1,,0,1,1,,,,18,4,1104614|1106076,,1,1,,602|603,604|605,,7,4,1057024,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010077,-1,-1,-1,-1,,0,1,1,,,,18,4,1104615|1106077,,1,1,,602|603,604|605,,7,4,1057025,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010078,-1,-1,-1,-1,,0,1,1,,,,18,4,1104616|1106078,,1,1,,602|603,604|605,,7,4,1057026,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010079,-1,-1,-1,-1,,0,1,1,,,,18,4,1104617|1106079,,1,1,,602|603,604|605,,7,4,1057027,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010080,-1,-1,-1,-1,,0,1,1,,,,18,4,1104618|1106080,,1,1,,602|603,604|605,,7,4,1057028,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010081,-1,-1,-1,-1,,0,1,1,,,,18,4,1104619|1106081,,1,1,,602|603,604|605,,7,4,1057029,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010082,-1,-1,-1,-1,,0,1,1,,,,18,4,1104620|1106082,,1,1,,602|603,604|605,,7,4,1057030,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010083,-1,-1,-1,-1,,0,1,1,,,,18,4,1104621|1106083,,1,1,,602|603,604|605,,7,4,1057031,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010084,-1,-1,-1,-1,,0,1,1,,,,18,4,1104622|1106084,,1,1,,602|603,604|605,,7,4,1057032,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010085,-1,-1,-1,-1,,0,1,1,,,,18,4,1104623|1106085,,1,1,,602|603,604|605,,7,4,1057033,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010086,-1,-1,-1,-1,,0,1,1,,,,18,4,1104624|1106086,,1,1,,602|603,604|605,,7,4,1057034,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010087,-1,-1,-1,-1,,0,1,1,,,,18,4,1104625|1106087,,1,1,,602|603,604|605,,7,4,1057035,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010088,-1,-1,-1,-1,,0,1,1,,,,18,4,1104626|1106088,,1,1,,602|603,604|605,,7,4,1057036,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010089,-1,-1,-1,-1,,0,1,1,,,,18,4,1104627|1106089,,1,1,,602|603,604|605,,7,4,1057037,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010090,-1,-1,-1,-1,,0,1,1,,,,18,4,1104628|1106090,,1,1,,602|603,604|605,,7,4,1057038,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010091,-1,-1,-1,-1,,0,1,1,,,,18,4,1104629|1106091,,1,1,,602|603,604|605,,7,4,1057039,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010092,-1,-1,-1,-1,,0,1,1,,,,18,4,1104630|1106092,,1,1,,602|603,604|605,,7,4,1057040,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010093,-1,-1,-1,-1,,0,1,1,,,,18,4,1104631|1106093,,1,1,,602|603,604|605,,7,4,1057041,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010094,-1,-1,-1,-1,,0,1,1,,,,18,4,1104632|1106094,,1,1,,602|603,604|605,,7,4,1057042,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010095,-1,-1,-1,-1,,0,1,1,,,,18,4,1104633|1106095,,1,1,,602|603,604|605,,7,4,1057043,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010096,-1,-1,-1,-1,,0,1,1,,,,18,4,1104634|1106096,,1,1,,602|603,604|605,,7,4,1057044,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010097,-1,-1,-1,-1,,0,1,1,,,,18,4,1104635|1106097,,1,1,,602|603,604|605,,7,4,1057045,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010098,-1,-1,-1,-1,,0,1,1,,,,18,4,1104636|1106098,,1,1,,602|603,604|605,,7,4,1057046,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010099,-1,-1,-1,-1,,0,1,1,,,,18,4,1104637|1106099,,1,1,,602|603,604|605,,7,4,1057047,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010100,-1,-1,-1,-1,,0,1,1,,,,18,4,1104638|1106100,,1,1,,602|603,604|605,,7,4,1057048,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010101,-1,-1,-1,-1,,0,1,1,,,,18,4,1104639|1106101,,1,1,,602|603,604|605,,7,4,1057049,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010102,-1,-1,-1,-1,,0,1,1,,,,18,4,1104640|1106102,,1,1,,602|603,604|605,,7,4,1057050,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010103,-1,-1,-1,-1,,0,1,1,,,,18,4,1104641|1106103,,1,1,,602|603,604|605,,7,4,1057051,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010104,-1,-1,-1,-1,,0,1,1,,,,18,4,1104642|1106104,,1,1,,602|603,604|605,,7,4,1057052,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010105,-1,-1,-1,-1,,0,1,1,,,,18,4,1104643|1106105,,1,1,,602|603,604|605,,7,4,1057053,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010106,-1,-1,-1,-1,,0,1,1,,,,18,4,1104644|1106106,,1,1,,602|603,604|605,,7,4,1057054,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010107,-1,-1,-1,-1,,0,1,1,,,,18,4,1104645|1106107,,1,1,,602|603,604|605,,7,4,1057055,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010108,-1,-1,-1,-1,,0,1,1,,,,18,4,1104646|1106108,,1,1,,602|603,604|605,,7,4,1057056,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010109,-1,-1,-1,-1,,0,1,1,,,,18,4,1104647|1106109,,1,1,,602|603,604|605,,7,4,1057057,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010110,-1,-1,-1,-1,,0,1,1,,,,18,4,1104648|1106110,,1,1,,602|603,604|605,,7,4,1057058,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010111,-1,-1,-1,-1,,0,1,1,,,,18,4,1104649|1106111,,1,1,,602|603,604|605,,7,4,1057059,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010112,-1,-1,-1,-1,,0,1,1,,,,18,4,1104650|1106112,,1,1,,602|603,604|605,,7,4,1057060,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010113,-1,-1,-1,-1,,0,1,1,,,,18,4,1104651|1106113,,1,1,,602|603,604|605,,7,4,1057061,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010114,-1,-1,-1,-1,,0,1,1,,,,18,4,1104652|1106114,,1,1,,602|603,604|605,,7,4,1057062,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010115,-1,-1,-1,-1,,0,1,1,,,,18,4,1104653|1106115,,1,1,,602|603,604|605,,7,4,1057063,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010116,-1,-1,-1,-1,,0,1,1,,,,18,4,1104654|1106116,,1,1,,602|603,604|605,,7,4,1057064,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010117,-1,-1,-1,-1,,0,1,1,,,,18,4,1104655|1106117,,1,1,,602|603,604|605,,7,4,1057065,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010118,-1,-1,-1,-1,,0,1,1,,,,18,4,1104656|1106118,,1,1,,602|603,604|605,,7,4,1057066,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010119,-1,-1,-1,-1,,0,1,1,,,,18,4,1104657|1106119,,1,1,,602|603,604|605,,7,4,1057067,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010120,-1,-1,-1,-1,,0,1,1,,,,18,4,1104658|1106120,,1,1,,602|603,604|605,,7,4,1057068,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010121,-1,-1,-1,,,0,1,1,,,,18,4,11041500|1106122,,1,1,,602|603,604|605,,7,4,1057076,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010122,-1,-1,-1,,,0,1,1,,,,18,4,11041501|1106123,,1,1,,602|603,604|605,,7,4,1057077,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010123,-1,-1,-1,,,0,1,1,,,,18,4,11041502|1106124,,1,1,,602|603,604|605,,7,4,1057078,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010124,-1,-1,-1,,,0,1,1,,,,18,4,11041503|1106125,,1,1,,602|603,604|605,,7,4,1057079,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010125,-1,-1,-1,,,0,1,1,,,,18,4,11041504|1106126,,1,1,,602|603,604|605,,7,4,1057080,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010126,-1,-1,-1,,,0,1,1,,,,18,4,11041505|1106127,,1,1,,602|603,604|605,,7,4,1057081,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010127,-1,-1,-1,,,0,1,1,,,,18,4,11041506|1106128,,1,1,,602|603,604|605,,7,4,1057082,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010128,-1,-1,-1,,,0,1,1,,,,18,4,11041507|1106129,,1,1,,602|603,604|605,,7,4,1057083,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010129,-1,-1,-1,,,0,1,1,,,,18,4,11041508|1106130,,1,1,,602|603,604|605,,7,4,1057084,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010130,-1,-1,-1,,,0,1,1,,,,18,4,11041509|1106131,,1,1,,602|603,604|605,,7,4,1057085,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010131,-1,-1,-1,,,0,1,1,,,,18,4,11041510|1106132,,1,1,,602|603,604|605,,7,4,1057086,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010132,-1,-1,-1,,,0,1,1,,,,18,4,11041511|1106133,,1,1,,602|603,604|605,,7,4,1057087,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010133,-1,-1,-1,,,0,1,1,,,,18,4,11041512|1106134,,1,1,,602|603,604|605,,7,4,1057088,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010134,-1,-1,-1,,,0,1,1,,,,18,4,11041513|1106135,,1,1,,602|603,604|605,,7,4,1057089,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010135,-1,-1,-1,,,0,1,1,,,,18,4,11041514|1106136,,1,1,,602|603,604|605,,7,4,1057090,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010136,-1,-1,-1,,,0,1,1,,,,18,4,11041515|1106137,,1,1,,602|603,604|605,,7,4,1057091,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010137,-1,-1,-1,,,0,1,1,,,,18,4,11041516|1106138,,1,1,,602|603,604|605,,7,4,1057092,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010138,-1,-1,-1,,,0,1,1,,,,18,4,11041517|1106139,,1,1,,602|603,604|605,,7,4,1057093,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010139,-1,-1,-1,,,0,1,1,,,,18,4,11041518|1106140,,1,1,,602|603,604|605,,7,4,1057094,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010140,-1,-1,-1,,,0,1,1,,,,18,4,11041519|1106141,,1,1,,602|603,604|605,,7,4,1057095,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010141,-1,-1,-1,,,0,1,1,,,,18,4,11041520|1106142,,1,1,,602|603,604|605,,7,4,1057096,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010142,-1,-1,-1,,,0,1,1,,,,18,4,11041521|1106143,,1,1,,602|603,604|605,,7,4,1057097,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010143,-1,-1,-1,,,0,1,1,,,,18,4,11041522|1106144,,1,1,,602|603,604|605,,7,4,1057098,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010144,-1,-1,-1,,,0,1,1,,,,18,4,11041523|1106145,,1,1,,602|603,604|605,,7,4,1057099,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010145,-1,-1,-1,,,0,1,1,,,,18,4,11041524|1106146,,1,1,,602|603,604|605,,7,4,1057100,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010146,-1,-1,-1,,,0,1,1,,,,18,4,11041525|1106147,,1,1,,602|603,604|605,,7,4,1057101,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010147,-1,-1,-1,,,0,1,1,,,,18,4,11041526|1106148,,1,1,,602|603,604|605,,7,4,1057102,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010148,-1,-1,-1,,,0,1,1,,,,18,4,11041527|1106149,,1,1,,602|603,604|605,,7,4,1057103,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010149,-1,-1,-1,,,0,1,1,,,,18,4,11041528|1106150,,1,1,,602|603,604|605,,7,4,1057104,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010150,-1,-1,-1,,,0,1,1,,,,18,4,11041529|1106151,,1,1,,602|603,604|605,,7,4,1057105,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010151,-1,-1,-1,,,0,1,1,,,,18,4,11041530|1106152,,1,1,,602|603,604|605,,7,4,1057106,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010152,-1,-1,-1,,,0,1,1,,,,18,4,11041531|1106153,,1,1,,602|603,604|605,,7,4,1057107,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010153,-1,-1,-1,,,0,1,1,,,,18,4,11041532|1106154,,1,1,,602|603,604|605,,7,4,1057108,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010154,-1,-1,-1,,,0,1,1,,,,18,4,11041533|1106155,,1,1,,602|603,604|605,,7,4,1057109,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010155,-1,-1,-1,,,0,1,1,,,,18,4,11041534|1106156,,1,1,,602|603,604|605,,7,4,1057110,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010156,-1,-1,-1,,,0,1,1,,,,18,4,11041535|1106157,,1,1,,602|603,604|605,,7,4,1057111,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010157,-1,-1,-1,,,0,1,1,,,,18,4,11041536|1106158,,1,1,,602|603,604|605,,7,4,1057112,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010158,-1,-1,-1,,,0,1,1,,,,18,4,11041537|1106159,,1,1,,602|603,604|605,,7,4,1057113,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010159,-1,-1,-1,,,0,1,1,,,,18,4,11041538|1106160,,1,1,,602|603,604|605,,7,4,1057114,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010160,-1,-1,-1,,,0,1,1,,,,18,4,11041539|1106161,,1,1,,602|603,604|605,,7,4,1057115,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010161,-1,-1,-1,,,0,1,1,,,,18,4,11041540|1106162,,1,1,,602|603,604|605,,7,4,1057116,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010162,-1,-1,-1,,,0,1,1,,,,18,4,11041541|1106163,,1,1,,602|603,604|605,,7,4,1057117,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010163,-1,-1,-1,,,0,1,1,,,,18,4,11041542|1106164,,1,1,,602|603,604|605,,7,4,1057118,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
6010164,-1,-1,-1,,,0,1,1,,,,18,4,11041543|1106165,,1,1,,602|603,604|605,,7,4,1057119,1,1,,,,,,,,,,,pet_skill_6010,,1036,1,,,,,,,
