id,res,length,loops,is_play_self,delay,type,desc,volume,destroy,pause_bg,is_ogg
540010203,partner_sound/huangzhong_web/huangzhong_voice3,4,1,0,0,1,0,70,1,0.1,
540010204,partner_sound/huangzhong_web/huangzhong_voice4,5,1,0,0,1,0,70,1,0.1,
540010205,partner_sound/huangzhong_web/huangzhong_voice5,2,1,0,0,1,0,70,1,0.1,
540010301,partner_sound/huangzhong_web/huangzhong_voice6,3,1,0,0,1,0,70,1,0.1,
540010401,partner_sound/huangzhong_web/huangzhong_voice7,6,1,0,0,1,0,70,1,0.1,
540010501,partner_sound/huangzhong_web/huangzhong_voice8,1,1,0,0,1,0,70,1,0.5,
540010601,partner_sound/huangzhong_web/huangzhong_voice9,1,1,0,0,1,0,70,1,0.5,
540010701,partner_sound/huangzhong_web/huangzhong_voice10,5,1,0,0,1,0,70,1,0.2,
540010801,partner_sound/huangzhong_web/huangzhong_voice11,7,1,0,0,1,0,70,1,0.2,
540010901,partner_sound/huangzhong_web/huangzhong_voice12,7,1,0,0,1,0,70,1,0.2,
540011001,partner_sound/huangzhong_web/huangzhong_voice13,4,1,0,0,1,0,70,1,0.2,
540011101,partner_sound/huangzhong_web/huangzhong_voice14,3,1,0,0,1,0,70,1,0.2,
540011102,partner_sound/huangzhong_web/huangzhong_voice15,5,1,0,0,1,0,70,1,0.2,
540011301,partner_sound/huangzhong_web/huangzhong_voice17,2,1,0,0,1,0,70,1,0.2,
540011401,partner_sound/huangzhong_web/huangzhong_voice18,4,1,0,0,1,0,70,1,0.2,
540011501,partner_sound/huangzhong_web/huangzhong_voice19,6,1,0,0,1,0,70,1,0.2,
540011502,partner_sound/huangzhong_web/huangzhong_voice20,12,1,0,0,1,0,70,1,0.2,
540011503,partner_sound/huangzhong_web/huangzhong_voice21,7,1,0,0,1,0,70,1,0.2,
540011504,partner_sound/huangzhong_web/huangzhong_voice22,14,1,0,0,1,0,70,1,0.2,
540011601,partner_sound/huangzhong_web/huangzhong_voice23,11,1,0,0,1,0,70,1,0.2,
540011701,partner_sound/huangzhong_web/huangzhong_voice25,8,1,0,0,1,0,70,1,0.2,
540011801,partner_sound/huangzhong_web/huangzhong_voice24,5,1,0,0,1,0,70,1,0.2,
540011901,partner_sound/huangzhong_web/huangzhong_voice26,8,1,0,0,1,0,70,1,0.2,
540012001,partner_sound/huangzhong_web/huangzhong_voice27,5,1,0,0,1,0,70,1,0.2,
540012101,partner_sound/huangzhong_web/huangzhong_voice28,5,1,0,0,1,0,70,1,0.2,
540012201,partner_sound/huangzhong_web/huangzhong_voice29,11,1,0,0,1,0,70,1,0.2,
540012301,partner_sound/huangzhong_web/huangzhong_voice30,3,1,0,0,1,0,70,1,0.2,
540012401,partner_sound/huangzhong_web/huangzhong_voice31,2,1,0,0,1,0,70,1,0.2,
540012501,partner_sound/huangzhong_web/huangzhong_voice32,5,1,0,0,1,0,70,1,0.2,
540012601,partner_sound/huangzhong_web/huangzhong_voice33,5,1,0,0,1,0,70,1,0.2,
540012801,partner_sound/huangzhong_web/huangzhong_voice16,5,1,0,0,1,0,70,1,0.2,
540020201,partner_sound/xuchu_web/xuchu_voice1,3,1,0,0,1,0,70,1,0.1,
