id,name,fort_id,fort_finish,next,fort_final,lv,power,battle_id,monsterShow,monsterskin,battle_effect,battle_time,reward,gold,exp_partner,exp_player,dropbox_ids,dropbox_show,dropbox_id_activity,dropbox_show_activity,dropbox_id_activity2,dropbox_show_activity2,dropbox_id_activity3,dropbox_show_activity3,dropbox_id_activity4,dropbox_show_activity4,set_map,stage_img,tips_type,function_id
1,1,1,0,2,0,1,0,100001,14003|12002,,,5,3#55|1#2400|9#360|1011#1|930000#10,1#20,9#2,3#5,100001|100999,1011|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_26_1,stage_img,,
2,2,1,0,3,0,1,90,100002,13002|13002,,,5,3#69|1#2400|9#360|2011#1,1#20,9#2,3#5,100002|100999,2011|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_26_1,stage_img,,
3,3,1,0,4,0,1,90,100003,43007|43007|43007,,,10,3#86|1#2400|9#360|3011#1|930001#5,1#20,9#2,3#5,100003|100999,3011|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_26_1,stage_img_23,2,
4,4,1,0,5,0,1,90,100004,24001|24001|54002,,,10,3#107|1#2400|9#360|4011#1,1#20,9#2,3#5,100004|100999,4011|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_31_1,stage_img,2|1,
5,5,1,0,6,0,4,260,100005,52004|52004,7030|7030,,10,3#134|1#2400|9#360|33#1,1#20,9#2,3#5,100005|100999,940003|1011|2011|3011|4011|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_24_1,stage_img_11,1,
6,6,1,0,7,0,4,260,100006,53005|23001|23001|23001,7032|||,,10,3#168|1#2400|9#360|1012#1,1#20,9#2,3#6,100006|100999,1012|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_24_1,stage_img_12,2|1,
7,7,1,0,8,0,4,260,100007,56003|46001|46001|46002,7029|||,,10,3#210|1#2400|9#360|2012#1|930006#5,1#20,9#2,3#6,100007|100999,2012|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_24_1,stage_img_13,2,
8,8,1,0,9,0,4,260,100008,44004|44004|54008|54008,||7042|7042,,10,3#262|1#2400|9#360|3012#1,1#20,9#2,3#6,100008|100999,3012|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_24_1,stage_img_14,1,
9,9,1,0,10,0,4,260,100009,55005|35001|45003|45003|35001,7035||||,,10,3#320|1#2400|9#360|4012#1,1#20,9#2,3#6,100009|100999,4012|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_24_1,stage_img_15,1|2,
10,10,1,0,11,0,6,650,100010,31001|31001|51004,||7045,,10,3#325|1#2400|9#360|33#2,1#20,9#2,3#6,100010|100999,940003|1012|2012|3012|4012|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_24_1,stage_img_11,1,13
11,11,1,0,12,0,6,650,100011,42007|42007|22001|24001|24001|22001,,,10,3#330|1#2600|9#540|1021#1,1#21,9#3,3#7,100011|100999,1021|1011|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_27_1,stage_img_4,1,
12,12,1,1,13,1,6,650,100012,45001|45001|14003|14003|14003|14003,,,10,3#335|1#2600|9#540|2021#1,1#21,9#3,3#7,100012|100999,2021|2011|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_27_1,stage_img_5,1,41
