id,partner_id,name,group,job,qlt,lev,type,weight
1,11001,-1,1,1,1,1,1,750
2,11002,-1,1,2,2,1,1,500
3,11003,-1,1,4,3,1,1,250
4,12001,-1,2,1,1,1,1,750
5,12002,-1,2,1,2,1,1,500
6,12003,-1,2,3,3,1,1,250
7,13001,-1,3,1,3,1,1,250
8,13002,-1,3,2,4,1,1,100
9,13003,-1,3,1,5,1,1,10
10,14001,-1,4,4,3,1,1,250
11,14002,-1,4,3,4,1,1,100
12,14003,-1,4,1,5,1,1,10
13,42004,-1,2,2,4,1,1,100
14,43007,-1,3,5,4,1,1,100
15,53005,-1,3,3,5,1,1,10
16,11001,-1,1,1,1,1,2,0
17,11002,-1,1,2,2,1,2,0
18,11003,-1,1,4,3,1,2,250
19,12001,-1,2,1,1,1,2,0
20,12002,-1,2,1,2,1,2,0
21,12003,-1,2,3,3,1,2,250
22,13001,-1,3,1,3,1,2,250
23,13002,-1,3,2,4,1,2,100
24,13003,-1,3,1,5,1,2,10
25,14001,-1,4,4,3,1,2,250
26,14002,-1,4,3,4,1,2,100
27,14003,-1,4,1,5,1,2,10
28,42004,-1,2,2,4,1,2,100
29,43007,-1,3,5,4,1,2,100
30,53005,-1,3,3,5,1,2,10
31,11001,-1,1,1,1,1,3,0
32,11002,-1,1,2,2,1,3,0
33,11003,-1,1,4,3,1,3,250
34,12001,-1,2,1,1,1,3,0
35,12002,-1,2,1,2,1,3,0
36,12003,-1,2,3,3,1,3,250
37,13001,-1,3,1,3,1,3,250
38,13002,-1,3,2,4,1,3,100
39,13003,-1,3,1,5,1,3,10
40,14001,-1,4,4,3,1,3,250
41,14002,-1,4,3,4,1,3,100
42,14003,-1,4,1,5,1,3,10
43,42004,-1,2,2,4,1,3,100
44,43007,-1,3,5,4,1,3,100
45,53005,-1,3,3,5,1,3,10
