id,pos,type,num
1101,1,1,2
1102,1,2,2#1
1103,1,2,2#2
1104,1,2,2#3
1201,2,1,2
1202,2,2,2#1
1203,2,2,2#2
1204,2,2,2#3
1301,3,1,2
1302,3,2,2#1
1303,3,2,2#2
1304,3,2,2#3
1401,4,1,2
1402,4,2,2#1
1403,4,2,2#2
1404,4,2,2#3
1501,5,1,2
1502,5,2,2#1
1503,5,2,2#2
1504,5,2,2#3
1001,0,3,10#20
1002,0,4,10#20
1003,0,5,10#20
1004,0,6,40#50
2101,1,1,3
2102,1,1,4
2103,1,2,3#3
2104,1,2,3#4
2105,1,2,4#3
2106,1,2,4#4
2201,2,1,3
2202,2,1,4
2203,2,2,3#3
2204,2,2,3#4
2205,2,2,4#3
2206,2,2,4#4
2301,3,1,3
2302,3,1,4
2303,3,2,3#3
2304,3,2,3#4
2305,3,2,4#3
2306,3,2,4#4
2401,4,1,3
2402,4,1,4
2403,4,2,3#3
2404,4,2,3#4
2405,4,2,4#3
2406,4,2,4#4
2501,5,1,3
2502,5,1,4
2503,5,2,3#3
2504,5,2,3#4
2505,5,2,4#3
2506,5,2,4#4
2001,0,3,21#35
2002,0,3,36#45
2003,0,4,21#35
2004,0,4,36#45
2005,0,5,21#35
2006,0,5,36#45
2007,0,6,51#70
2008,0,6,71#100
3101,1,1,5
3102,1,1,6
3103,1,2,5#3
3104,1,2,5#4
3105,1,2,5#5
3106,1,2,5#6
3107,1,2,6#3
3108,1,2,6#4
3109,1,2,6#5
3110,1,2,6#6
3201,2,1,5
3202,2,1,6
3203,2,2,5#3
3204,2,2,5#4
3205,2,2,5#5
3206,2,2,5#6
3207,2,2,6#3
3208,2,2,6#4
3209,2,2,6#5
3210,2,2,6#6
3301,3,1,5
3302,3,1,6
3303,3,2,5#3
3304,3,2,5#4
3305,3,2,5#5
3306,3,2,5#6
3307,3,2,6#3
3308,3,2,6#4
3309,3,2,6#5
3310,3,2,6#6
3401,4,1,5
3402,4,1,6
3403,4,2,5#3
3404,4,2,5#4
3405,4,2,5#5
3406,4,2,5#6
3407,4,2,6#3
3408,4,2,6#4
3409,4,2,6#5
3410,4,2,6#6
3501,5,1,5
3502,5,1,6
3503,5,2,5#3
3504,5,2,5#4
3505,5,2,5#5
3506,5,2,5#6
3507,5,2,6#3
3508,5,2,6#4
3509,5,2,6#5
3510,5,2,6#6
3001,0,3,46#60
3002,0,3,61#85
3003,0,4,46#60
3004,0,4,61#85
3005,0,5,46#60
3006,0,5,61#85
3007,0,6,101#150
3008,0,6,151#198
