id,type,mark,obj_id,no_click,record,mask_type,offset,mask_icon,icon_offset,obj_scale,unknown_12,is_transition,is_black,dialog_type,position,flip_x,finger_flip,sound,is_dragonbones,window_name,delay_frame,hand_pos,hand_type
1,5,,-1,1,0,,,,,,,,,1,0|0,,,0,0,time_cloister_main_window,,,
2,5,,turnTable,1,0,2,,time_cloister_guide_1,10|10,,,,,1,100|100,1,,0,0,time_cloister_main_window,,,
3,5,,btnAch,1,0,2,,time_cloister_guide_2,9|7,,,,,1,200|100,1,,0,0,time_cloister_main_window,,,
4,5,,btnBattle,1,0,2,,time_cloister_guide_2,7|6,,,,,1,-200|100,,,0,0,time_cloister_main_window,,,
5,5,1,btnGo,0,0,2,,buttoncrop_5,0|0,,0|60,,,1,100|0,1,,0,0,time_cloister_main_window,,,
6,6,,-1,1,0,,,,,,,,,1,0|0,,,0,0,time_cloister_probe_window,,,
7,6,1,speedUpGroup,1,0,2,,time_cloister_guide_3,0|0,,0|60,,,1,200|-250,1,,0,0,time_cloister_probe_window,,,
8,7,,-1,0,0,,,,,,,,,1,0|0,,,0,0,time_cloister_probe_window,,,
9,7,,btnSupply,1,0,2,,time_cloister_guide_4,134|0,,,,,1,280|50,1,,0,0,time_cloister_probe_window,,,
10,7,,btnRecord,1,0,2,,time_cloister_guide_5,0|0,,,,,1,-120|50,,,0,0,time_cloister_probe_window,,,
11,7,,awradPreviewBtn,1,0,2,,time_cloister_guide_6,0|0,,,,,1,-150|-200,,,0,0,time_cloister_probe_window,,,
12,7,1,countDownGroup,1,0,2,,time_cloister_guide_7,-18|-38,,,,,1,0|-250,1,,0,0,time_cloister_probe_window,,,
13,8,,-1,0,0,,,,,,,,,1,0|0,,,0,0,time_cloister_probe_window,,,
14,8,,btnTech,0,0,2,,time_cloister_guide_8,0|0,,,,,1,200|50,1,,0,0,time_cloister_probe_window,,,
15,8,1,techItem1,0,0,2,,time_cloister_guide_9,0|0,,,,,1,-50|-300,1,,0,0,time_cloister_tech_window,,,
16,9,,-1,1,0,,,,,,,,,1,-50|-300,,,0,0,arctic_expedition_main_window,,,
17,9,,-1,1,,,,,,,,,,,0|0,,,0,0,arctic_expedition_main_window,,,
18,9,,centerCellBg,1,0,2,,cell_crop,,1.2|1.2,,,,1,50|200,,,0,0,arctic_expedition_main_window,,,
19,9,,centerEnterBtn,0,0,,,buttoncrop_19,,,,,,1,50|200,,,0,0,arctic_expedition_main_window,,,
20,9,,guidePos,1,0,0,0|200,,,6.8|2,,,,1,-50|-300,,,0,0,arctic_expedition_cell_window,,,
21,9,,guidePos,1,0,0,0|5,,,6.8|4,,,,1,-50|-300,,,0,0,arctic_expedition_cell_window,,,
22,9,,closeBtn_,0,0,2,,friend_team_boss_crop5,,,,,,1,-200|-300,,,0,0,arctic_expedition_cell_window,,-100|-35,1
23,9,,-1,1,0,,,,,,,,,1,0|0,,,0,0,arctic_expedition_main_window,,,
24,9,,targetBg,1,0,2,,cell_crop,,,,,,1,80|-300,1,,0,0,arctic_expedition_main_window,,,
25,9,,targetEnterBtn,0,0,2,,enter_btn,,,,,,1,-50|-200,1,,0,0,arctic_expedition_main_window,,,
26,9,,guidePos,1,0,0,0|-30,,,6.8|2,,,,1,-50|-350,,,0,0,arctic_expedition_cell_window,,,
27,9,,guidePos,1,0,0,0|-30,,,6.8|2,,,,1,-50|-350,,,0,0,arctic_expedition_cell_window,,,
28,9,,guidePos,1,0,0,0|-30,,,6.8|2,,,,1,-50|-350,,,0,0,arctic_expedition_cell_window,,,
29,9,,guidePos,1,0,0,0|-30,,,6.8|2,,,,1,-50|-350,,,0,0,arctic_expedition_cell_window,,,
30,9,,cellInfoBtn_,0,0,2,,friend_team_boss_crop5,,,,,,1,50|-300,,,0,0,arctic_expedition_cell_window,,-10|-25,
31,9,,guidePos,1,0,0,0|1000,,,100|100,,,,1,-50|-650,,,0,0,arctic_expedition_cell_detail_window,,,
32,9,,guidePos,1,0,0,0|1000,,,100|100,,,,1,-50|-650,,,0,0,arctic_expedition_cell_detail_window,,,
33,9,,btnAward,0,0,,,buttoncrop_19,,,,,,1,-50|200,,,0,0,arctic_expedition_main_window,,0|63,
34,9,,guidePos,1,0,0,0|-290,,,1|0.5,,,,1,-50|-450,,,0,0,arctic_expedition_award_window,,,
35,9,1,guidePos,1,0,0,0|-290,,,1|0.5,,,,1,-50|-450,,,0,0,arctic_expedition_award_window,,,
36,10,,closeBtn_,0,0,2,,friend_team_boss_crop5,,,,,,1,-200|-300,,,0,0,arctic_expedition_cell_window,,-100|-35,1
37,10,,-1,1,0,,,,,,,,,1,0|0,,,0,0,arctic_expedition_main_window,,,
38,10,1,targetBg,1,0,2,,time_cloister_guide_1,,,,,,1,-50|-300,,,0,0,arctic_expedition_main_window,,,
39,11,1,targetBg,1,0,2,,time_cloister_guide_1,,,,,,1,-50|-300,,,0,0,arctic_expedition_main_window,,,
40,12,,targetBg,1,0,2,,time_cloister_guide_1,,,,,,1,-50|-300,,,0,0,arctic_expedition_main_window,,,
41,12,,otherCellBg,0,0,2,,cell_crop,,,,,,1,-50|-300,,,0,0,arctic_expedition_main_window,,,
42,12,,otherCellBtn,0,0,2,,enter_btn,,,,,,1,-50|-300,,,0,0,arctic_expedition_main_window,,,
43,12,1,guidePos,1,0,0,0|30,,,6.8|0.6,,,,1,-50|-300,,,0,0,arctic_expedition_cell_window,,,
