id,out_put,stay_max,update
1,2#25,18,1#50000|204#50
2,2#26,18,1#200000|204#200
3,2#27,19,1#350000|204#350
4,2#28,19,1#500000|204#500
5,2#29,20,1#650000|204#650
6,2#30,20,1#800000|204#800
7,2#31,21,1#950000|204#950
8,2#32,21,1#1100000|204#1100
9,2#33,22,1#1250000|204#1250
10,2#34,22,1#1400000|204#1400
11,2#35,23,1#1550000|204#1550
12,2#36,23,1#1700000|204#1700
13,2#37,24,1#1850000|204#1850
14,2#38,24,1#2000000|204#2000
15,2#39,25,1#2150000|204#2150
16,2#40,25,1#2300000|204#2300
17,2#41,26,1#2450000|204#2450
18,2#42,26,1#2600000|204#2600
19,2#43,27,1#2750000|204#2750
20,2#44,27,1#2900000|204#2900
21,2#45,28,1#3050000|204#3050
22,2#46,28,1#3200000|204#3200
23,2#47,29,1#3350000|204#3350
24,2#48,29,1#3500000|204#3500
25,2#49,30,1#3650000|204#3650
26,2#50,30,1#3800000|204#3800
27,2#51,31,1#3950000|204#3950
28,2#52,31,1#4100000|204#4100
29,2#53,32,1#4250000|204#4250
30,2#54,32,1#4400000|204#4400
31,2#55,33,1#4550000|204#4550
32,2#56,33,1#4700000|204#4700
33,2#57,34,1#4850000|204#4850
34,2#58,34,1#5000000|204#5000
35,2#59,35,1#5150000|204#5150
36,2#60,35,1#5300000|204#5300
37,2#61,36,1#5450000|204#5450
38,2#62,36,1#5600000|204#5600
39,2#63,37,1#5750000|204#5750
40,2#64,37,1#5900000|204#5900
41,2#65,38,1#6050000|204#6050
42,2#66,38,1#6200000|204#6200
43,2#67,39,1#6350000|204#6350
44,2#68,39,1#6500000|204#6500
45,2#69,40,1#6650000|204#6650
46,2#70,40,1#6800000|204#6800
47,2#71,41,1#6950000|204#6950
48,2#72,41,1#7100000|204#7100
49,2#73,42,1#7250000|204#7250
50,2#74,42,1#7400000|204#7400
