id,name,desc
101,生命,己方全體戰姬[c][e28002]生命[-][/c]增加[c][01a310]4%[-][/c]
201,攻擊,己方全體戰姬[c][e28002]攻擊[-][/c]增加[c][01a310]3%[-][/c]
301,護甲,己方全體戰姬[c][e28002]護甲[-][/c]增加[c][01a310]60[-][/c]
401,暴擊,己方全體戰姬[c][e28002]暴擊[-][/c]增加[c][01a310]3%[-][/c]
501,速度,己方全體戰姬[c][e28002]速度[-][/c]增加[c][01a310]10[-][/c]
601,技能傷害率,己方全體戰姬[c][e28002]技能傷害[-][/c]增加[c][01a310]8%[-][/c]
701,減傷率,己方全體戰姬[c][e28002]減傷[-][/c]增加[c][01a310]2%[-][/c]
801,破甲,己方全體戰姬[c][e28002]破甲[-][/c]增加[c][01a310]6%[-][/c]
901,免控率,己方全體戰姬[c][e28002]免控[-][/c]增加[c][01a310]5%[-][/c]
1001,格擋,己方全體戰姬[c][e28002]格擋[-][/c]增加[c][01a310]5%[-][/c]
1101,神聖傷害,己方全體戰姬[c][e28002]神聖傷害[-][/c]增加[c][01a310]4%[-][/c]
1201,增控率,己方全體戰姬[c][e28002]增控[-][/c]增加[c][01a310]5%[-][/c]
1301,精準,己方全體戰姬[c][e28002]精準[-][/c]增加[c][01a310]5%[-][/c]
102,生命,己方全體戰姬[c][e28002]生命[-][/c]增加[c][01a310]4%[-][/c]
202,攻擊,己方全體戰姬[c][e28002]攻擊[-][/c]增加[c][01a310]3%[-][/c]
302,護甲,己方全體戰姬[c][e28002]護甲[-][/c]增加[c][01a310]60[-][/c]
402,暴擊,己方全體戰姬[c][e28002]暴擊[-][/c]增加[c][01a310]3%[-][/c]
502,速度,己方全體戰姬[c][e28002]速度[-][/c]增加[c][01a310]10[-][/c]
602,技能傷害率,己方全體戰姬[c][e28002]技能傷害[-][/c]增加[c][01a310]8%[-][/c]
702,減傷率,己方全體戰姬[c][e28002]減傷[-][/c]增加[c][01a310]2%[-][/c]
802,破甲,己方全體戰姬[c][e28002]破甲[-][/c]增加[c][01a310]6%[-][/c]
902,免控率,己方全體戰姬[c][e28002]免控[-][/c]增加[c][01a310]5%[-][/c]
1002,格擋,己方全體戰姬[c][e28002]格擋[-][/c]增加[c][01a310]5%[-][/c]
1102,神聖傷害,己方全體戰姬[c][e28002]神聖傷害[-][/c]增加[c][01a310]4%[-][/c]
1202,增控率,己方全體戰姬[c][e28002]增控[-][/c]增加[c][01a310]5%[-][/c]
1302,精準,己方全體戰姬[c][e28002]精準[-][/c]增加[c][01a310]5%[-][/c]
103,生命,己方全體戰姬[c][e28002]生命[-][/c]增加[c][01a310]4%[-][/c]
203,攻擊,己方全體戰姬[c][e28002]攻擊[-][/c]增加[c][01a310]3%[-][/c]
303,護甲,己方全體戰姬[c][e28002]護甲[-][/c]增加[c][01a310]60[-][/c]
403,暴擊,己方全體戰姬[c][e28002]暴擊[-][/c]增加[c][01a310]3%[-][/c]
503,速度,己方全體戰姬[c][e28002]速度[-][/c]增加[c][01a310]10[-][/c]
603,技能傷害率,己方全體戰姬[c][e28002]技能傷害[-][/c]增加[c][01a310]8%[-][/c]
703,減傷率,己方全體戰姬[c][e28002]減傷[-][/c]增加[c][01a310]2%[-][/c]
803,破甲,己方全體戰姬[c][e28002]破甲[-][/c]增加[c][01a310]6%[-][/c]
903,免控率,己方全體戰姬[c][e28002]免控[-][/c]增加[c][01a310]5%[-][/c]
1003,格擋,己方全體戰姬[c][e28002]格擋[-][/c]增加[c][01a310]5%[-][/c]
1103,神聖傷害,己方全體戰姬[c][e28002]神聖傷害[-][/c]增加[c][01a310]4%[-][/c]
1203,增控率,己方全體戰姬[c][e28002]增控[-][/c]增加[c][01a310]5%[-][/c]
1303,精準,己方全體戰姬[c][e28002]精準[-][/c]增加[c][01a310]5%[-][/c]
104,生命,己方全體戰姬[c][e28002]生命[-][/c]增加[c][01a310]4%[-][/c]
204,攻擊,己方全體戰姬[c][e28002]攻擊[-][/c]增加[c][01a310]3%[-][/c]
304,護甲,己方全體戰姬[c][e28002]護甲[-][/c]增加[c][01a310]60[-][/c]
404,暴擊,己方全體戰姬[c][e28002]暴擊[-][/c]增加[c][01a310]3%[-][/c]
504,速度,己方全體戰姬[c][e28002]速度[-][/c]增加[c][01a310]10[-][/c]
604,技能傷害率,己方全體戰姬[c][e28002]技能傷害[-][/c]增加[c][01a310]8%[-][/c]
704,減傷率,己方全體戰姬[c][e28002]減傷[-][/c]增加[c][01a310]2%[-][/c]
804,破甲,己方全體戰姬[c][e28002]破甲[-][/c]增加[c][01a310]6%[-][/c]
904,免控率,己方全體戰姬[c][e28002]免控[-][/c]增加[c][01a310]5%[-][/c]
1004,格擋,己方全體戰姬[c][e28002]格擋[-][/c]增加[c][01a310]5%[-][/c]
1104,神聖傷害,己方全體戰姬[c][e28002]神聖傷害[-][/c]增加[c][01a310]4%[-][/c]
1204,增控率,己方全體戰姬[c][e28002]增控[-][/c]增加[c][01a310]5%[-][/c]
1304,精準,己方全體戰姬[c][e28002]精準[-][/c]增加[c][01a310]5%[-][/c]
