id,map_id,cell_type,name,desc,num
1,5,0,,,
2,5,0,,,
3,5,0,,,
4,5,0,,,
5,5,4,宅邸01,觸發不同的事件，做出你的選擇~根據事件和選擇結果，獲得道具獎勵。,01
6,5,5,宅邸02,氣派的宅邸的BOSS挑戰，拼盡全力擊敗敵人，打破這處童話幻境吧！\n主線挑戰：進行該格的挑戰，獲得的道具獎勵數量增加。,02
7,5,0,,,
8,5,0,,,
9,5,0,,,
10,5,0,,,
11,5,0,,,
12,5,0,,,
13,5,0,,,
14,5,0,,,
15,5,3,宅邸03,選擇戰姬參與支援挑戰，獲得道具獎勵。若挑選「擁有獸耳的學妹」參與此處挑戰，能獲得更豐厚的獎勵！\n主線挑戰：進行該格的挑戰，獲得的道具獎勵數量增加。,03
16,5,2,宅邸04,使用自己的戰姬或助戰NPC與敵人戰鬥，獲得道具獎勵，造成的傷害越高，獎勵越豐厚。\n特殊挑戰：己方造成的持續傷害降低80%\n主線挑戰：進行該格的挑戰，獲得的道具獎勵數量增加。,04
17,5,4,宅邸05,觸發不同的事件，做出你的選擇~根據事件和選擇結果，獲得道具獎勵。,05
18,5,0,,,
19,5,0,,,
20,5,0,,,
21,5,0,,,
22,5,4,宅邸06,觸發不同的事件，做出你的選擇~根據事件和選擇結果，獲得道具獎勵。,06
23,5,2,宅邸07,使用自己的戰姬或助戰NPC與敵人戰鬥，獲得道具獎勵，造成的傷害越高，獎勵越豐厚。\n特殊挑戰：己方戰姬暴擊時，當次傷害降低80%,07
24,5,2,宅邸08,使用自己的戰姬或助戰NPC與敵人戰鬥，獲得道具獎勵，造成的傷害越高，獎勵越豐厚。\n特殊挑戰：無\n主線挑戰：進行該格的挑戰，獲得的道具獎勵數量增加。,08
25,5,0,,,
26,5,0,,,
27,5,2,宅邸09,使用自己的戰姬或助戰NPC與敵人戰鬥，獲得道具獎勵，造成的傷害越高，獎勵越豐厚。\n特殊挑戰：每有1名敵人被控制（石化、眩暈、冰凍），隨機2名己方戰姬受到自身生命上限10%的傷害,09
28,5,3,宅邸10,選擇戰姬參與支援挑戰，獲得道具獎勵。若挑選「喜歡量子玫瑰或櫻花扇的學妹」參與此處挑戰，能獲得更豐厚的獎勵！,10
29,5,2,宅邸11,使用自己的戰姬或助戰NPC與敵人戰鬥，獲得道具獎勵，造成的傷害越高，獎勵越豐厚。\n特殊挑戰：敵人每受到4次傷害，免疫下一次傷害,11
