id,event_name,desc
1,每日事件·祝福,戰鬥挑戰中，己方修羅、辰星學院戰姬的攻擊增加18%
2,每日事件·祝福,戰鬥挑戰中，己方修羅、辰星學院戰姬的攻擊增加18%
3,每日事件·祝福,戰鬥挑戰中，己方修羅、辰星學院戰姬的攻擊增加18%
4,每日事件·祝福,戰鬥挑戰中，己方修羅、辰星學院戰姬的攻擊增加18%
5,每日事件·祝福,戰鬥挑戰中，己方修羅、辰星學院戰姬的攻擊增加18%
6,每日事件·祝福,戰鬥挑戰中，己方修羅、辰星學院戰姬的攻擊增加18%
7,每日事件·祝福,戰鬥挑戰中，己方隱蹤學院戰姬的攻擊增加18%
8,每日事件·祝福,戰鬥挑戰中，己方隱蹤學院戰姬的攻擊增加18%
9,每日事件·祝福,戰鬥挑戰中，己方隱蹤學院戰姬的攻擊增加18%
10,每日事件·祝福,戰鬥挑戰中，己方隱蹤學院戰姬的攻擊增加18%
11,每日事件·祝福,戰鬥挑戰中，己方隱蹤學院戰姬的攻擊增加18%
12,每日事件·祝福,戰鬥挑戰中，己方修羅、辰星學院戰姬的攻擊增加18%
13,每日事件·祝福|每日事件·躍遷,戰鬥挑戰中，己方神威學院戰姬的攻擊增加18%|地圖格「森林08」的挑戰已自動完成
14,每日事件·祝福|每日事件·躍遷,戰鬥挑戰中，己方神威學院戰姬的攻擊增加18%|地圖格「城堡02」的挑戰已自動完成
15,每日事件·祝福|每日事件·躍遷,戰鬥挑戰中，己方神威學院戰姬的攻擊增加18%|地圖格「小鎮45」的挑戰已自動完成
16,每日事件·祝福|每日事件·躍遷,戰鬥挑戰中，己方神威學院戰姬的攻擊增加18%|地圖格「湖泊24」的挑戰已自動完成
17,每日事件·祝福|每日事件·躍遷,戰鬥挑戰中，己方神威學院戰姬的攻擊增加18%|地圖格「宅邸09」的挑戰已自動完成
18,每日事件·祝福,戰鬥挑戰中，己方修羅、辰星學院戰姬的攻擊增加18%
19,每日事件·祝福|每日事件·躍遷,戰鬥挑戰中，己方風見學院戰姬的攻擊增加18%|地圖格「森林03」的挑戰已自動完成
20,每日事件·祝福|每日事件·躍遷,戰鬥挑戰中，己方風見學院戰姬的攻擊增加18%|地圖格「城堡05」的挑戰已自動完成
21,每日事件·祝福|每日事件·躍遷,戰鬥挑戰中，己方風見學院戰姬的攻擊增加18%|地圖格「小鎮52」的挑戰已自動完成
22,每日事件·祝福|每日事件·躍遷,戰鬥挑戰中，己方風見學院戰姬的攻擊增加18%|地圖格「湖泊25」的挑戰已自動完成
23,每日事件·祝福|每日事件·躍遷,戰鬥挑戰中，己方風見學院戰姬的攻擊增加18%|地圖格「宅邸05」的挑戰已自動完成
24,每日事件·祝福,戰鬥挑戰中，己方隱蹤學院戰姬的攻擊增加18%
25,每日事件·祝福|每日事件·祝福,戰鬥挑戰中，己方曇華學院戰姬的攻擊增加18%|戰鬥挑戰中，己方戰姬的血量增加18%
26,每日事件·祝福|每日事件·祝福,戰鬥挑戰中，己方曇華學院戰姬的攻擊增加18%|戰鬥挑戰中，己方戰姬的血量增加18%
27,每日事件·祝福|每日事件·祝福,戰鬥挑戰中，己方曇華學院戰姬的攻擊增加18%|戰鬥挑戰中，己方戰姬的血量增加18%
28,每日事件·祝福|每日事件·祝福,戰鬥挑戰中，己方曇華學院戰姬的攻擊增加18%|戰鬥挑戰中，己方戰姬的血量增加18%
29,每日事件·祝福|每日事件·祝福,戰鬥挑戰中，己方曇華學院戰姬的攻擊增加18%|戰鬥挑戰中，己方戰姬的血量增加18%
30,每日事件·祝福,戰鬥挑戰中，己方神威學院戰姬的攻擊增加18%
31,每日事件·祝福|每日事件·祝福,戰鬥挑戰中，己方修羅、辰星學院戰姬的攻擊增加18%|戰鬥挑戰中，己方戰姬的血量增加18%
32,每日事件·祝福|每日事件·祝福,戰鬥挑戰中，己方修羅、辰星學院戰姬的攻擊增加18%|戰鬥挑戰中，己方戰姬的血量增加18%
33,每日事件·祝福|每日事件·祝福,戰鬥挑戰中，己方修羅、辰星學院戰姬的攻擊增加18%|戰鬥挑戰中，己方戰姬的血量增加18%
34,每日事件·祝福|每日事件·祝福,戰鬥挑戰中，己方修羅、辰星學院戰姬的攻擊增加18%|戰鬥挑戰中，己方戰姬的血量增加18%
35,每日事件·祝福|每日事件·祝福,戰鬥挑戰中，己方修羅、辰星學院戰姬的攻擊增加18%|戰鬥挑戰中，己方戰姬的血量增加18%
36,每日事件·祝福,戰鬥挑戰中，己方風見學院戰姬的攻擊增加18%
37,每日事件·祝福|每日事件·祝福,戰鬥挑戰中，己方隱蹤學院戰姬的攻擊增加18%|戰鬥挑戰中，己方戰姬的血量增加18%
38,每日事件·祝福|每日事件·祝福,戰鬥挑戰中，己方隱蹤學院戰姬的攻擊增加18%|戰鬥挑戰中，己方戰姬的血量增加18%
39,每日事件·祝福|每日事件·祝福,戰鬥挑戰中，己方隱蹤學院戰姬的攻擊增加18%|戰鬥挑戰中，己方戰姬的血量增加18%
40,每日事件·祝福|每日事件·祝福,戰鬥挑戰中，己方隱蹤學院戰姬的攻擊增加18%|戰鬥挑戰中，己方戰姬的血量增加18%
41,每日事件·祝福|每日事件·祝福,戰鬥挑戰中，己方隱蹤學院戰姬的攻擊增加18%|戰鬥挑戰中，己方戰姬的血量增加18%
42,每日事件·祝福,戰鬥挑戰中，己方曇華學院戰姬的攻擊增加18%
43,每日事件·祝福|每日事件·祝福,戰鬥挑戰中，己方神威學院戰姬的攻擊增加18%|戰鬥挑戰中，己方戰姬的血量增加18%
44,每日事件·祝福|每日事件·祝福,戰鬥挑戰中，己方神威學院戰姬的攻擊增加18%|戰鬥挑戰中，己方戰姬的血量增加18%
45,每日事件·祝福|每日事件·祝福,戰鬥挑戰中，己方神威學院戰姬的攻擊增加18%|戰鬥挑戰中，己方戰姬的血量增加18%
46,每日事件·祝福|每日事件·祝福,戰鬥挑戰中，己方神威學院戰姬的攻擊增加18%|戰鬥挑戰中，己方戰姬的血量增加18%
47,每日事件·祝福|每日事件·祝福,戰鬥挑戰中，己方神威學院戰姬的攻擊增加18%|戰鬥挑戰中，己方戰姬的血量增加18%
48,每日事件·祝福,戰鬥挑戰中，己方修羅、辰星學院戰姬的攻擊增加18%
49,每日事件·回溯|每日事件·祝福,地圖格「森林58」的挑戰已重置進度|戰鬥挑戰中，己方風見學院戰姬的攻擊增加18%
50,每日事件·回溯|每日事件·祝福,地圖格「城堡48」的挑戰已重置進度|戰鬥挑戰中，己方風見學院戰姬的攻擊增加18%
51,每日事件·回溯|每日事件·祝福,地圖格「小鎮13」的挑戰已重置進度|戰鬥挑戰中，己方風見學院戰姬的攻擊增加18%
52,每日事件·回溯|每日事件·祝福,地圖格「湖泊19」的挑戰已重置進度|戰鬥挑戰中，己方風見學院戰姬的攻擊增加18%
53,每日事件·回溯|每日事件·祝福,地圖格「宅邸42」的挑戰已重置進度|戰鬥挑戰中，己方風見學院戰姬的攻擊增加18%
54,每日事件·祝福,戰鬥挑戰中，己方隱蹤學院戰姬的攻擊增加18%
55,每日事件·回溯|每日事件·祝福,地圖格「森林26」的挑戰已重置進度|戰鬥挑戰中，己方曇華學院戰姬的攻擊增加18%
