id,title,name,dialog,select_text
1,,,夜晚，靜謐無聲。\n此時的學園似乎尚未興起萬聖節的習俗。,
2,,,孤僻的吸血鬼少女漫無目的地在學園里閒逛。,
3,,德古拉,新鮮的血包也要休息。。。\n那這又是一個無聊的夜晚了。。。,
4,,XXX,哈！無聊？\n今天可是萬聖夜呢，小吸血鬼~,
5,,XXX,不過可惜喔，\n學園裡的大家似乎都不知道這個節日。,
6,,德古拉,你是誰，\n送上門來的食物嗎？\n誰允許你向我搭話了。。。,
7,,德古拉,嗯，萬聖夜？\n似乎聽說過，但我從沒在意就是了。\n節日什麽的，對於我漫長的生命來說毫無意義。,
8,,萬聖女巫,我叫萬聖女巫，小吸血鬼~\n聽你剛才的話，似乎對你的新鮮血包有點意見喔？,
9,,德古拉,你這是在覬覦我的獵物嗎？\n休想！而且這事和你說的萬聖節應該沒什麽聯繫吧？,
10,,萬聖女巫,別誤會，我只是想邀請你去看看我的雜貨鋪而已~,
11,,德古拉,雜貨鋪？沒興趣。。。,
12,,萬聖女巫,聽著哦，小吸血鬼，\n節日並非一定要有什麼意義，\n重要的是要留下和他人共同的回憶。,
13,,萬聖女巫,難得的萬聖節，\n要是你來幫我在學園里宣傳這個節日，\n我就送你一個禮物，幫助你去吸引你的血包哦~,
14,,德古拉,似乎，有點意思。。。\n那我就勉為其難的去看看吧~,
15,,曹操,喂~喂~快醒醒，\n睡在這裡有違秩序！,
16,,孟獲,哇，德古拉！\n這是你的新衣服嗎？\n好像南瓜啊，能吃嗎？,
17,,,德古拉睜開了眼睛，\n現在似乎還是晚上，\n之前自己一直睡在路中央。,
18,,德古拉,（似乎記起來了失去意識之前和萬聖女巫的談話）\n我。。。我沒事。。。,
19,,曹操,沒事就好，\n早點回宿舍休息吧，\n夜不歸宿是違規的！,
20,,萬聖女巫,大家，\n晚上好~ 萬聖節快樂！,
21,,孟獲,哇，陌生的面孔誒，\n你身旁的南瓜好像很好吃的樣子？,
22,,曹操,你是。。。\n好像叫萬聖女巫來著，\n這麼晚了還在外面幹什麼？,
23,,德古拉,喂，我這身衣服是怎麼回事？\n我只記得跟著你去了雜貨鋪。。。,
24,,萬聖女巫,哈哈，\n別這麼懷疑的看著我，\n這是我給你的一點小獎勵啦~,
