id,skill_desc
1001,探險小隊護甲增加[c][DE512B]{1}[-][/c]
1002,探險小隊生命增加[c][DE512B]{1}[-][/c]，護甲增加[c][DE512B]{2}[-][/c]，並預見異度空間中獎勵位置
1003,探險小隊生命增加[c][DE512B]{1}[-][/c]
1004,探險小隊攻擊增加[c][DE512B]{1}[-][/c]
1005,探險小隊護甲增加[c][DE512B]{1}[-][/c]
1006,探險小隊生命增加[c][DE512B]{1}[-][/c]，護甲增加[c][DE512B]{2}[-][/c]
1007,探險小隊生命增加[c][DE512B]{1}[-][/c]，攻擊增加[c][DE512B]{2}[-][/c]
1008,探險小隊生命增加[c][DE512B]{1}[-][/c]，攻擊增加[c][DE512B]{2}[-][/c]，並預見異度空間中敵人位置
1009,探險小隊護甲增加[c][DE512B]{1}[-][/c]，攻擊增加[c][DE512B]{2}[-][/c]
1010,探險小隊生命增加[c][DE512B]{1}[-][/c]，攻擊增加[c][DE512B]{2}[-][/c]，護甲增加[c][DE512B]{3}[-][/c]
2001,1. 探險小隊攻擊增加[c][DE512B]{1}[-][/c]
2002,2. 探險小隊護甲增加[c][DE512B]{1}[-][/c]
2003,3. 探險小隊生命增加[c][DE512B]{1}[-][/c]
2004,4. 可以預見每層異度空間中所有獎勵的位置
2005,5. 可以預見每層異度空間中所有敵人的位置
3001,1. 探險小隊攻擊增加
3002,2. 探險小隊護甲增加
3003,3. 探險小隊生命增加
