id,title,name,dialog,select_text
1,借物賽跑,巴尼拉,發令槍，在，吹令哨，在……好，準備完畢。,
2,,巴尼拉,那麼，第一場比賽是……借物賽跑。,
3,,巴尼拉,好的，巴尼拉，向著成為偉大裁判的道路前進吧。,
4,,巴尼拉,大家請看這邊，現在將由我來宣佈借物賽跑的規則。,
5,,巴尼拉,首先，參賽選手將按照號碼牌依次前來抽取一枚徽章，徽章上方的圖案就是需要各位借取到的物品。,
6,,巴尼拉,尋找到相應的物品，並攜帶著穿過終點線即會被視為成功完成比賽，最終將會根據各位的耗時來評定成績。,
7,,呂蒙,前輩，請問可以透露一下需要借取到的物品都有哪些嗎？,
8,,巴尼拉,不可以哦，不過可以告訴大家，物品種類的覆蓋範圍非常廣泛。,
9,,巴尼拉,如果不做好覺悟的話……抽取到徽章後很有可能會手足無措哦。,
10,,呂蒙,誒！前輩竟然說出了這種話，看起來是場大危機。,
11,,魏延,嗯，看起來需要打起精神認真對待了呢。,
12,,巴尼拉,那麼先請各位來這裡排隊抽取徽章吧，等到大家都抽取完成後還擁有2分鐘的準備時間。,
13,,呂蒙,誒誒？怎麼……怎麼會這樣，是上天在捉弄呂蒙嗎？,
14,,,呂蒙在看到抽到的徽章圖案時就發出了一聲哀嚎。,
15,,魏延,呂蒙？怎麼了嗎？,
16,,呂蒙,呂蒙……已經無法完成這次比賽了，魏延同學，祝你好運。,
17,,貂蟬,小呂蒙真是lucky呢，抽到的是很容易拿到的東西。,
18,,呂蒙,貂蟬老師……這徽章上畫的可是劉備代理會長的雙劍，這哪裡算得上是lucky啊。,
19,,呂蒙,想到平常劉備代理會長的態度……雙腿已經僵住了呢。,
20,,貂蟬,雖然劉備平常工作很嚴肅，但是這雙劍……可是確實存在的哦。,
21,,呂蒙,貂蟬老師這麼說的意思是……難道有些徽章上的圖案在現實裡不存在嗎？,
22,,貂蟬,沒有那麼嚴重啦，只不過是有些難度，相信大家臉上的神情馬上就會告訴你們答案的。,
23,,,果然，抽完徽章的參賽者臉上都開始浮現出了欲哭無淚的神色。,
24,,無所事事的學妹,誒？這畫的是……銀月前輩眼睛上的遮罩……這種東西，沒有辦法拿到的吧……,
25,,消息靈通的學妹,這個才真的難辦呢，要從怪人許褚手裡拿到她最珍愛的鹿玲花……,
26,,呂蒙,果然如貂蟬老師所說，呂蒙碰到的難題不是最棘手的呢……,
27,,呂蒙,魏延同學，你抽到的是什麼？,
28,,魏延,看起來比較簡單的樣子，是亮學姐手中的摺扇。,
29,,呂蒙,這也太幸運了吧，完全可以不費一點功夫就能拿到！,
30,,魏延,嗯……現在的亮學姐……應該就在那邊的主席臺。,
31,,呂蒙,唔，看起來這場借物賽跑的冠軍非魏延同學莫屬了……,
32,,巴尼拉,好，大家都已經抽到相應的徽章了，那麼，借物賽跑開始！,
33,,,隨著一聲槍響，參賽學妹們各自出發向已想好的方向奔去，除了……懷抱著自己的小狐狸的周瑜。,
34,,,周瑜看起來並沒有去借物的打算，在發令槍響後，立即就沖向了終點線。,
35,,巴尼拉,周瑜，58秒。,
36,,無所事事的學妹,不會吧，她根本沒有去借東西啊……這根本不算完成了比賽吧。,
37,,巴尼拉,周瑜的成績完全符合規則，她手中的阿狸就是需要借取的物品。,
38,,消息靈通的學妹,誒？？這也太幸運了吧？？,
39,,消息靈通的學妹,巴尼拉裁判，這根本就是作弊吧……,
40,,周瑜,我是在所有裁判的認可下抽取到的徽章……哪裡有什麼作弊的空間？,
41,,無所事事的學妹,周瑜和巴尼拉裁判一樣，本來就是隱蹤學園的，說不定她們之間早就串通了呢。,
42,,周瑜,我不會做這樣的事，另外，請不要質疑巴尼拉前輩的公正性，她是一名值得尊敬的前輩。,
43,,銀月,徽章是我放進去的，你們，還有什麼疑問嗎？,
44,,消息靈通的學妹,誒？銀月前輩？,
45,,呂蒙,怎麼感覺，氣溫突然間就下降了20度。,
46,,銀月,周瑜同學拿到的徽章和諸位手裡的並沒有什麼區別，徽章上的圖案確實是她身邊的阿狸。,
47,,銀月,只不過周瑜同學足夠幸運，竟然自己先抽取到了。,
48,,銀月,試問，如果換做是你們當中的任何一人抽取到這枚徽章，還會這麼容易就達成嗎？,
49,,銀月,所以，這枚徽章並沒有什麼問題，也不存在作弊的可能。,
50,,銀月,相比於整日將目光放在其他人身上，還不如抓緊時間完成比賽。,
51,,,仿佛在印證著銀月的教誨，魏延也在此刻懷抱著諸葛亮的摺扇穿過了終點。,
52,,巴尼拉,小銀……謝謝你幫我解圍。,
53,,銀月,如果連這樣的問題都無法解決的話，還怎麼成為偉大的裁判？,
54,,巴尼拉,嗯！我一定會繼續加油的。,
55,,周瑜,前輩，對不起，是因為我才讓你蒙受這樣的指責。,
56,,巴尼拉,不必道歉，我應該祝賀周瑜同學，竟然這麼快完成了這場比賽~為我們學園爭取到了榮譽~,
57,,周瑜,那麼，這枚畫著阿狸的徽章請前輩收下，當做是我對前輩的恭祝回禮吧。,
58,,巴尼拉,誒？只是一句祝賀，周瑜就要送我這枚徽章嗎？,
59,,周瑜,因為很有紀念意義，所以想請前輩好好保管……,
60,,周瑜,另外，是因為我覺得前輩的耳朵和阿狸的耳朵，實在是很像呢~,
61,,銀月,呵，因為……巴尼拉本來就是……,
62,,巴尼拉,小銀！這種事情不要說出來啦！,
63,棒球比賽,巴尼拉,棒球場果然如小呂蒙所說的一樣，熱鬧非凡~,
64,,巴尼拉,相比於其他比賽，這裡的觀眾足足有2倍，不，3倍之多！,
65,,呂蒙,呂蒙沒有欺騙前輩哦，大家都是因為關羽學姐來觀賽的。,
66,,巴尼拉,是被稱為「武聖」的學妹呢，好像擁有不俗的人氣。,
67,,呂蒙,因為擁有著超強戰鬥力與精湛的戰鬥技巧，關羽學姐被無數人仰慕著。,
68,,巴尼拉,小呂蒙也應該是其中的一員吧。,
69,,呂蒙,那當然，學園裡的每個人都愛著她。,
70,,呂蒙,聽說棒球賽結束後，學姐會在排球場額外停留一下，向大家教授棒球技巧。,
71,,呂蒙,可以近距離地靠近關羽，甚至還有可能與她合照！大家都是因為這個才這麼興奮的吧。,
72,,巴尼拉,到時候場館裡一定會人山人海特別擁擠，結束裁判工作後還是抓緊時間回去吧。,
73,,呂蒙,這可是見到關羽學姐的絕好機會，到時候呂蒙一定要拿到學姐的親筆簽名照。,
74,,巴尼拉,沒想到小呂蒙竟然是這麼狂熱的粉絲……,
75,,巴尼拉,讓我清點一下裁判資料……選手名單，成績記錄表，嗯嗯，好，一切準備就緒。,
76,,巴尼拉,棒球比賽馬上開始！,
77,,,棒球比賽就在全場觀眾一陣又一陣的歡呼叫好聲中進行了下去，關羽果然不負眾望帶領著神威代表隊順利地晉級到了決賽。,
78,,,隨著巴尼拉裁判一聲「全壘打」的宣告以及全場觀眾的震天歡呼，棒球賽順利落下了帷幕。,
79,,,關羽與隊友們悠閒地跑完了四壘後，返回後場開始著手準備接下來的棒球教導賽。,
80,,巴尼拉,果然如小呂蒙說的一樣，關羽同學完全主導了比賽，輕輕鬆鬆就獲得了勝利。,
81,,巴尼拉,看起來今天的工作馬上就要完成了呢，呼呼，回圖書館後要好好記下來。,
82,,,棒球場上的喧鬧聲愈發大聲了起來，大家都想更靠近自己的偶像一點。,
83,,無所事事的學妹,學姐！看這邊！,
84,,消息靈通的學妹,學姐今天的表現真是太棒了，簡直是神威學院的驕傲！,
85,,巴尼拉,教導賽看起來馬上就要開始了呢，還是趁現在趕緊離開這裡吧。,
86,,巴尼拉,等等，好像忘記了什麼……,
87,,巴尼拉,糟糕！成績記錄表！得找所有選手簽字認可……,
88,,巴尼拉,可惡啊，怎麼會把這麼重要的事情忘記了，現在的關羽……要怎麼樣才能去她身邊啊？,
89,,,巴尼拉看著關羽身邊黑壓壓的人群愈發覺得頭大了。,
90,,巴尼拉,記錄表必須在比賽結束1小時內找選手確認完畢。,
91,,巴尼拉,看起來已經沒有別的方法了……加油！巴尼拉，你可以的！,
92,,,在自我鼓勵後，巴尼拉裁判義無反顧地將自己瘦小的身軀撞向了那團黑壓壓的人群。,
93,,巴尼拉,麻煩讓一讓……呼，呼，讓一讓……我有很重要的東西……要交給關羽。,
94,,無所事事的學妹,誒，感覺有什麼東西從腿邊擠過去了？毛絨絨的，不會是誰家的寵物吧……,
95,,消息靈通的學妹,不要管奇怪的東西了！剛剛學姐可是看這邊了哦~,
96,,無所事事的學妹,誒誒，我竟然錯過了嗎？,
97,,巴尼拉,呼呼……終於……看見了一絲亮光……,
98,,巴尼拉,馬上就可以到關羽的身邊了……,
99,,巴尼拉,關羽同學，麻煩請在這上面簽下名字，這是成績……,
100,,,巴尼拉邊說邊將手中的資料夾遞了過去，裡面是早已填寫好的記錄表。,
101,,,只要關羽簽下自己的名字，就馬上逃離這個修羅場，巴尼拉已經默默在心中規劃好了逃跑路線。,
102,,關羽,前輩，作為裁判，若是想要拿到我的簽名照不用這麼大費周章。,
103,,巴尼拉,誒誒？簽名照？那是什麼？我只是想要你在……,
104,,,巴尼拉話還沒說完，就看見關羽從資料夾裡輕輕取出了一張薄紙，赫然是關羽的寫真。,
105,,無所事事的學妹,沒想到巴尼拉裁判也是關羽學姐的粉絲啊！學姐的魅力真是無窮大呢！,
106,,巴尼拉,怎麼會？我放在資料夾裡的是成績記錄表啊……怎麼變成了寫真……,
107,,,話還未說完，巴尼拉已經想起了棒球賽開始前呂蒙和她的對話。,
108,,呂蒙,前輩！這是關羽學姐的高清寫真，呂蒙特意帶來想要請她簽名的，能否寄存在前輩的資料夾裡？,
109,,巴尼拉,是那個時候……,
110,,巴尼拉,關羽同學，我……我是來找你為成績記錄表簽字的，不是……,
111,,關羽,不是什麼？,
112,,關羽,寫真與記錄表都已經簽好字了，請裁判收好哦~,
113,,巴尼拉,沒什麼……謝謝關羽同學。,
114,,巴尼拉,哼，小呂蒙，簽名照我就先替你保管了。,
115,排球比賽,巴尼拉,排球賽馬上就要開始了……,
116,,巴尼拉,呼……呼……得快一點趕到場館。,
117,,巴尼拉,呼哈……還好，看起來趕上了呢，裁判要是遲到的話也太不像話了。,
118,,巴尼拉,嗯嗯，看起來運動員們都已經到齊了呢，那我們馬上就開始點名入場吧~,
119,,學妹們,是！,
120,,巴尼拉,首先是隱蹤代表隊，周瑜、司馬懿……嗯嗯，看起來我們學院的同學們都已經準備完畢了~,
121,,周瑜,雖然現在說這話可能為時過早，不過巴尼拉前輩可以好好期待一下我們的表現~,
122,,張郃,為了這場比賽，周瑜學姐可是拉著我們在下課後訓練了很久……,
123,,周瑜,這種事情，沒有必要告訴巴尼拉前輩啦……,
124,,巴尼拉,相信大家一定會取得好成績的，加油哦~,
125,,銀月,自己都覺得為時尚早的話，還是不要說了吧。,
126,,巴尼拉,誒，小銀是來為神威代表隊加油的嗎？,
127,,巴尼拉,不過小銀的撲克臉……光站在那裡就會讓學妹們不寒而慄吧……,
128,,巴尼拉,誒，奇怪，小銀你身上怎麼穿著……隊服！！,
129,,銀月,哼，身為神威學院院長，這種場合當然需要以身作則，親自樹立榜樣。,
130,,巴尼拉,小銀你這樣做，對其他學院的學妹們實在是太不公平了！,
131,,銀月,那……被稱為前輩的巴尼拉也可以下場參加哦~,
132,,巴尼拉,不可以，巴尼拉是以裁判的身份來到這裡的！是來主持比賽裁定勝負的！,
133,,銀月,是你自己選擇放棄的~況且，如果由巴尼拉擔任裁判的比賽都不公平的話，那這場運動會還有什麼舉辦意義？,
134,,巴尼拉,可惡，小銀明明知道我不是這個意思。,
135,,銀月,那麼，巴尼拉裁判，請問點名完畢了嗎？,
136,,巴尼拉,是……請神威代表隊進場吧。,
137,,,眼看著銀月帶領著神威學院的學妹們進入比賽場地，巴尼拉重重地歎了口氣，臉上的表情越發凝重了起來。,
138,,周瑜,前輩？巴尼拉前輩？還好嗎？,
139,,巴尼拉,啊……不用擔心我，你們也趕快進場吧，比賽馬上就要開始了。,
140,,巴尼拉,相信你們一定會取得好成績的~只要……不要撞上小銀她們。,
141,,張郃,真的有那麼恐怖嗎？,
142,,張郃,只聽說過銀月前輩擅長射飛刀，論球類運動的話應該還是周瑜學姐比較上手吧。,
143,,巴尼拉,恐不恐怖馬上就可以見識到了……,
144,,巴尼拉,總之，如果是小銀發來的球一定不要強接！請多多注意安全！,
145,,周瑜,好，請前輩放心。,
146,,,不知道是不是巴尼拉的祈願生效了，隱蹤和神威兩支代表隊直到決賽前都未曾碰面。,
147,,,隱蹤代表隊在周瑜的帶領下一路過關斬將，非常順利地晉級到了決賽。,
148,,,而另一頭的神威代表隊，其實更應該被稱為「銀月」代表隊……,
149,,張郃,可惡，只差一點就可以接到了……,
150,,周瑜,銀月前輩確實像巴尼拉前輩說的那樣強悍，不過如果下次再快點，相信就能接到了。,
151,,銀月,勸你們打消這個念頭，因為我的球可不是一般人可以接住的。,
152,,,話音剛落，銀月將球高高拋起，隨後右腳用力躍起，揮動右掌將球重重擊出。,
153,,巴尼拉,糟糕，如果周瑜接下這記「死亡排球」的話，一定會受傷的！,
154,,巴尼拉,必須得保護她！,
155,,,尖銳的口哨聲響起。,
156,,,因為被口哨聲吸引了注意力，周瑜與這顆被全力發出的「死亡排球」擦身而過。,
157,,,等到重新反應過來的時候，才發現這顆排球因為強力摩擦而破裂洩氣了，早已軟趴趴地滑出了排球場。,
158,,張郃,如果……剛剛沒有巴尼拉前輩的口哨聲，周瑜同學的手臂估計已經折斷了吧……,
159,,巴尼拉,時間到，比賽結束。,
160,,巴尼拉,我宣佈神威代表隊以25:0的比分獲勝，成為本屆排球賽冠軍。,
161,,銀月,呼，還是太輕鬆了。下次運動會希望看到巴尼拉裁判出現在賽場上哦~,
162,,巴尼拉,巴尼拉還是比較適合當裁判啦……,
163,,巴尼拉,而且就算我作為運動員參賽，也一定會輸給小銀的。,
164,,銀月,不試試怎麼知道呢？如果對手是你的話，這顆球說不定就不會破了哦~,
165,,巴尼拉,誒？？,
166,足球比賽,,「滴滴滴」，刺耳的鬧鐘剛響過3聲就被無情地關掉了。,
167,,巴尼拉,唔，這個痛苦的日子終於還是到來了……,
168,,巴尼拉,巴尼拉加油！你一定可以撐過今天的！加油加油！,
169,,以掃,奇怪……巴尼拉前輩還不準備出發去足球場嗎？足球賽馬上就要開始了哦~,
170,,巴尼拉,啊！為什麼要讓我聽到這個恐怖的詞語……,
171,,巴尼拉,果然，擔任足球裁判對巴尼拉而言還是太勉為其難了吧。,
172,,以掃,誒？足球比賽有什麼與眾不同嗎？,
173,,雅各,硬要說特別之處的話，就是足球場比起其他的賽場要大上許多倍吧~,
174,,巴尼拉,一想起巨大的足球場，雙腿就開始打顫了……,
175,,巴尼拉,參加足球賽的學妹們各個都體力充沛，就算是繞著足球場跑上五圈都不會大喘氣吧。,
176,,巴尼拉,要讓擁有這樣一雙腿的我緊緊跟隨著她們奔跑……,
177,,巴尼拉,啊啊！做不到的啦！,
178,,雅各,說起來，無論過了多少年，巴尼拉前輩的個子依舊是這樣……,
179,,巴尼拉,真要這麼殘忍地直擊痛處嗎？雅各真是太狠心了……,
180,,以掃,巴尼拉前輩請放寬心，我和雅各正是因為這個理由才來這裡的。,
181,,以掃,裁判協會考慮到巴尼拉前輩一個人主持足球比賽可能力有不逮，所以才派我們來擔任副裁判。,
182,,以掃,前輩體力不足的時候，就可以換我們上場。,
183,,巴尼拉,真的嗎？呼，頓時壓力就減輕了一半~,
184,,巴尼拉,不過，足球賽真的很耗費體力哦，以掃雅各到時候不要喊辛苦哦~,
185,,雅各,有翅膀……而且，之前給張飛老板刷了三天盤子都沒有喊累……,
186,,巴尼拉,唔唔，不要以為我沒聽見！有翅膀真的是讓人羡慕……,
187,,以掃,不要在意這些細節啦，我們趕快出發吧，足球賽離開賽只有半個小時了……,
188,,,球賽的上半場進行得異常順利，參賽學妹們的狀態都非常良好。,
189,,,除了……個子嬌小的巴尼拉裁判。,
190,,巴尼拉,呼……呼……終於，半場休息了……,
191,,巴尼拉,以掃雅各……呼……這裁判權，交給你們了，請一定要成為公正的裁判哦！,
192,,以掃&雅各,放心吧~,
193,,,儘管作出了慎重的承諾，但是事態卻逐漸往糟糕的方向發展。,
194,,雅各,姐姐，剛剛藍隊11號從口袋裡拿出了木槌吧……,
195,,以掃,木槌這種東西不可能藏到口袋裡的啦，雅各一定是因為太緊張所以才看錯了。,
196,,雅各,姐姐，現在藍隊11號正準備拿著木槌敲紅隊7號……,
197,,以掃,都說了不可能啦……,
198,,雅各,姐姐，紅隊7號馬上就要被木槌砸暈了……,
199,,以掃,誒誒？那是犯規行為吧……等一下，讓我查一查裁判手冊上是怎麼說明的。,
200,,雅各,裁判手冊第8章第6條規定，足球場上惡意傷害他人需要判罰下場。,
201,,以掃,！！藍隊11號，請馬上停止你的犯規行為，否則……否則就要……,
202,,以掃,就要……雅各，請把剛剛的話再說一遍……,
203,,,正當以掃一籌莫展時，一聲響亮的哨聲響徹足球場，巴尼拉回到了賽場上，高高舉起了手中的紅牌。,
204,,巴尼拉,藍隊11，下場。,
205,,以掃,唔唔，前輩……,
206,,雅各,姐姐，裁判一場比賽看來沒有想像中那麼容易呢。,
207,,巴尼拉,呼，總結的話，呼，先留到比賽結束後吧。,
208,,巴尼拉,能……麻煩你們稍微拉一下我嘛？真的，呼，快沒有力氣了……,
209,,以掃&雅各,沒問題，這一次就讓前輩體驗一下專屬雙翼吧~,
210,,,就這樣，借助著以掃與雅各的翅膀，巴尼拉終於不用再辛苦地在巨大的球場上東奔西跑了。,
211,,巴尼拉,幸好有你們在，比賽才能順利結束。,
212,,巴尼拉,不過……看起來我真的不太適合擔任足球賽的裁判呢……,
213,,以掃,如果連前輩都不適合的話，恐怕以後的運動會都不能順利舉行了呢。,
214,,雅各,姐姐……那個東西，要交給前輩……,
215,,以掃,差點忘記了！請巴尼拉前輩快收下，這是裁判委員會叮囑要轉交給你的。,
216,,巴尼拉,誒？是……高級裁判證，是為我準備的嗎？,
217,,雅各,裁判委員會認為巴尼拉前輩公平公正，認真負責，因此立即擢升為高級裁判，特頒發此證。,
218,,巴尼拉,唔唔，有種努力終於被別人承認的興奮感！,
219,,以掃&雅各,那就請巴尼拉裁判繼續加油吧！,
220,,巴尼拉,是！,
221,跳水比賽,呂蒙,呀嚯！巴尼拉前輩早上好啊！,
222,,巴尼拉,小呂蒙早啊！不過我記得你參加了好幾個項目啊，怎麼有空來我這裡？,
223,,巴尼拉,難道……是想修改昨天的借物賽跑成績？！,
224,,呂蒙,嗚嗚，呂蒙到底是做錯了什麼才會給巴尼拉前輩留有這種印象啊？,
225,,呂蒙,呂蒙來這裡的原因，只是因為……,
226,,巴尼拉,因為什麼？,
