id,title,text
1,免費鑽石,競技場|完成打工任務|完成每日任務|提升玩家等級獲得鑽石獎勵|達成成就|提升宿舍舒適度|參與退治小隊|達成時間迴廊成就|終極聯賽|校外遠足-許願樹日產
2,獲得金幣,掛機掉落|日常測驗-金幣測驗|點金手|上頂樓掉落|完成每日任務|在販賣機抽獎|參與課外實踐|提升宿舍舒適度|參與退治小隊|時間迴廊-觀測掉落|探索書靈秘境|校外遠足-市集日產
3,獲得戰姬碎片,掛機掉落|日常測驗-戰姬測驗|完成打工任務|上頂樓指定層掉落|轉學商店出售|在販賣機抽獎|福利社出售|招生召喚|參與學院考核|學院考核商店|校外遠足-探险-部分階級寶箱機率掉落
4,獲得經驗飲料,掛機掉落|日常測驗-經驗測驗|完成每日任務|在販賣機抽獎|福利社出售|校外遠足-探险-部分階級寶箱機率掉落
5,獲得便當,掛機掉落|上頂樓掉落|日常測驗-經驗測驗|在販賣機抽獎(60級以前)|福利社出售|戰姬轉學|校外遠足-探险-部分階級寶箱機率掉落
6,獲得裝備,掛機掉落|上頂樓掉落|在販賣機抽獎
7,獲得水晶刻刀,掛機掉落（5-3關卡開始掉落）|在販賣機抽獎|參與課外實踐|參與退治小隊|時間迴廊-觀測|終極聯賽|校外遠足-探险-部分階級寶箱機率掉落
8,獲得魂器,掛機掉落（9-9關卡開始掉落）|在販賣機抽獎|專屬魂器商店
9,獲得印章,不定期節日活動玩具兌換|完成打工任務6-7星有機率獲得|節日贈送＆活動禮包|福利社出售
10,提升戰姬,戰姬升級&進階|戰姬升學|召喚戰姬
11,提升裝備,裝備合成|收集套裝，啟動套裝屬性
12,獲得使魔餅乾,掛機掉落|參與課外實踐|書靈秘境商店
13,獲得使魔精華餅乾,掛機掉落|參與課外實踐|書靈秘境商店|校外遠足-探险-部分階級寶箱機率掉落
14,獲得絲綢,福利社出售|參與時間迴廊
15,獲得高級絲綢,福利社出售|參與時間迴廊
16,獲得入門課程資料,探索舊校舍|校外遠足-探险-部分階級寶箱掉落
17,獲得絕密課程資料,探索舊校舍|校外遠足-探险-部分階級寶箱掉落
