id,get_chapter,get_url,get_url_h5
1,第1話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_001_zh_tw_unity.jpg?width=720&height=1728,https://mhome.carolgames.com/assets/img/upload/115/manga_001_zh_tw.png?width=720&height=1728
2,第2話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_002_zh_tw_unity.jpg?width=720&height=1728,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_002g2_zh_tw.png?width=720&height=1728
3,第3話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_003_zh_tw_unity.jpg?width=720&height=1728,https://pfres.carolgames.com/common/assets/upload/img/115/manga_003g1_zh_tw.png?width=720&height=1728
4,第4話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_004_zh_tw_unity.jpg?width=720&height=1728,https://pfres.carolgames.com/common/assets/upload/img/115/manga_004g1_zh_tw.png?width=720&height=1728
5,第5話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_005_zh_tw_unity.jpg?width=720&height=1728,https://pfres.carolgames.com/common/assets/upload/img/115/manga_005g1_zh_tw.png?width=720&height=1728
6,第6話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_006_zh_tw_unity.jpg?width=720&height=1728,https://mhome.carolgames.com/assets/img/upload/115/manga_g006_zh_tw.png?width=720&height=1728
7,第7話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_007_zh_tw_unity.jpg?width=720&height=1728,https://mhome.carolgames.com/assets/img/upload/115/manga_g007_zh_tw.png?width=720&height=1728
8,第8話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_008_zh_tw_unity.jpg?width=720&height=1728,https://pfres.carolgames.com/common/assets/upload/img/115/manga_008g1_zh_tw.png?width=720&height=1728
9,第9話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_009_zh_tw_unity.jpg?width=720&height=1728,https://mhome.carolgames.com/assets/img/upload/115/manga_g009_zh_tw.png?width=720&height=1728
10,第10話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_010_zh_tw_unity.jpg?width=720&height=1728,https://mhome.carolgames.com/assets/img/upload/115/manga_g010_zh_tw.png?width=720&height=1728
11,第11話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_011_zh_tw_unity.jpg?width=720&height=1728,https://pfres.carolgames.com/common/assets/upload/img/115/manga_011g2_zh_tw.png?width=720&height=1728
12,第12話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_012_zh_tw_unity.jpg?width=720&height=1728,https://mhome.carolgames.com/assets/img/upload/115/manga_012g1_zh_tw.png?width=720&height=1728
13,第13話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_013_zh_tw_unity.jpg?width=720&height=1728,https://mhome.carolgames.com/assets/img/upload/115/manga_013_zh_tw.png?width=720&height=1728
14,第14話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_014_zh_tw_unity.jpg?width=720&height=1728,https://pfres.carolgames.com/common/assets/upload/img/115/manga_014_zh_tw.png?width=720&height=1728
15,第15話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_015_zh_tw_unity.jpg?width=720&height=1728,https://pfres.carolgames.com/common/assets/upload/img/115/manga_015_zh_tw.png?width=720&height=1728
16,第16話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_016_zh_tw_unity.jpg?width=720&height=1728,https://pfres.carolgames.com/common/assets/upload/img/115/manga_016_zh_tw.png?width=720&height=1728
17,第17話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_017_zh_tw_unity.jpg?width=720&height=1728,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_017_zh_tw.png?width=720&height=1728
18,第18話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_018_zh_tw_unity.jpg?width=720&height=1728,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_018_zh_tw.png?width=720&height=1728
19,第19話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_019_zh_tw_unity.jpg?width=720&height=1728,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_019_zh_tw.png?width=720&height=1728
20,第20話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_020_zh_tw_unity.jpg?width=720&height=1728,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_020_zh_tw.png?width=720&height=1728
