id,desc
1,
2,
3,
101,
102,
103,
201,點擊這裡，可以設置穿戴的個性裝扮，部分裝扮還可以切換款式
202,個性裝扮獲得後無需穿戴即可提供屬性。點擊這裡，可查看屬性的詳細說明
203,收集個性裝扮還能解鎖各種特色加成。點擊這裡，可查看已激活的加成
204,點擊這裡，可查看擁有的個性裝扮并升級裝扮
205,點擊這裡，可以查看詳細的規則，學長的疑問在這應該都能找到答案！
301,歡迎來到鶴華神宮，先去神隙試煉看看吧~
302,每期有3個不同的試煉，分別有不同的環境
303,居然有新人試煉呢，感謝神明的仁慈吧~
304,每次進入試煉時需要選擇難度
305,就先從零開始吧~
401,學長可在獎勵層選擇增益
402,學長可在獎勵層選擇增益
501,前往下一層吧
601,試煉中只能上陣10星以上戰姬，並且在戰鬥勝利後將保留生命和能量
701,學長可在商店層購買或升級增益，但沒有足夠的試煉金幣呢，先離開吧~
702,前往下一層吧
801,學長可在回複層恢復戰姬的血量或復活戰姬
802,學長可在回複層恢復戰姬的血量或復活戰姬
901,已經達到最後一層啦，繼續戰鬥吧！
1001,成功通過試煉啦，先離開吧~
