id,name,desc,skill_desc1,skill_desc2,skill_desc3,skill_desc4
851001,周瑜,1.隱蹤學院中獨特的輸出型補師，傷害不俗；\n2.主動技能釋放後對敵方後排目標造成石化控制效果並為隊友提升精準，同時普通攻擊還會減少目標格擋值，為團隊提供了非常優秀的輸出環境；\n3.速度偏低，建議提升速度來搶佔先手，上頂樓或PVP中打控制型學妹少的隊伍會有不錯的表現。,主動技能對敵方後排學妹造成傷害並附帶一定機率石化控制效果；\n周瑜自身基礎攻擊力較高，若能先手釋放該技能則傷害效果不俗。,強化技能，普通攻擊更改為攻擊前排學妹，在面對關羽、趙雲、織田信長等高格擋學妹時有較好效果。,強化技能，提升精准與攻擊力。,強化技能，殘血時持續3回合大幅提升攻擊力。
851002,張郃,1.隱蹤學院中傷害不低的刺客型學妹，擁有一定的回復能力，對附帶流血狀態的敵人能造成更多傷害；\n2.前期在PVE中有不錯的傷害表現；\n3.由於自身生命值較低，害怕控制，建議提升免控率與生命值來增加輸出與生存空間。,主動技能對敵方隨機2名學妹產生傷害，並附帶流血傷害，若敵方為遊俠型學妹則能大幅提高傷害；\n6星後，目標數增加至3名；\n10星後，額外附加回復效果。,強化技能，每次攻擊提升破甲並為敵方附加持續性流血傷害。,強化技能，提升精准與輸出能力。,回復技能，敵方學妹死亡後回復一定生命值，自身攻擊力越高回復值越高。
851003,董卓,1.隱蹤學院中的戰士型學妹，常擔任1號位；\n2.10星前，生存能力與基礎攻擊都偏低，10星後技能發生質變，同時開始帶有一定控制能力。,主動技能對敵方後排造成傷害並附帶回復效果；\n10星後，增加冰凍控制效果；\n回復值與攻擊力相關，該技能10星後產生質變。,強化技能，提高精准與生存能力。,回復技能，敵方觸發格擋後回復一定生命值。,回復技能，每次攻擊後回復一定生命值，10星後發生質變，回復效果較佳。
851004,德古拉,"
1.隱蹤學院中的輸出型學妹；
2.主動技能非常針對法師型學妹，上頂樓時可針對法師職業較多的隊伍；
3.因為優先攻擊血量最低的角色，所以能夠快速殺死敵方殘血學妹，形成戰場人數優勢；
4.被動技能有一定的回復效果，6或10星後可擔任1號位。",主動技能對隨機3名敵方學妹產生傷害，針對法師目標附帶暈眩控制效果與額外傷害，傷害不俗且能法師型學妹產生極強克制；\n6星後，目標增加至4名。,強化技能，提高輸出與生存能力。,強化技能，強化普通攻擊使其針對敵方最低生命值學妹。,強化技能，生命值低於80%時，不僅大幅提升輸出能力還能持續回復生命值。
851005,孫悟空,1.隱蹤學院中的輸出型學妹；\n2.主動技能非常針對刺客型學妹，可直接暈眩刺客型學妹並對暈眩目標造成更多傷害，上頂樓時可針對刺客職業較多的隊伍；\n3.速度較慢，建議裝備提升速度的水晶與神器以獲得先手機會。,"
主動技能對隨機3名敵方學妹產生傷害，針對刺客型學妹附帶暈眩控制效果與額外傷害；
6星後，目標增加至4名；
10星後，對刺客型學妹額外增加毒傷效果；
該技能傷害不俗且對刺客型學妹產生極強克制。",控制技能，較大機率使攻擊目標暈眩。,強化技能，針對暈眩目標產生額外傷害，可搭配被動1及其他暈眩控制型學妹。,強化技能，減弱敵方護甲，提升輸出能力。
851006,鄧艾,"
1.隱蹤學院中擁有非常強大冰凍控制能力的戰士型學妹；
2.主動技能對敵方前排造成傷害的同時附帶極高機率的冰凍控制效果，對前排限制很強；
3.受到攻擊時則有一定機率冰凍攻擊方，同時能夠恢復生命值，增加護甲，因此具有較強的續航與控制能力；
4.無論是低星、高星都是值得培養的主力學妹。",主動技能對敵方前排學妹產生傷害並附帶高機率冰凍控制效果，同時回復自身生命值，提升生存能力。,控制技能，受到攻擊時有一定機率對攻擊目標產生冰凍控制效果，該機率面對戰士型目標時會有額外提升。,強化技能，提高攻擊與生存能力，免疫冰凍控制。,回復技能，殘血時能夠大幅回復自身生命值。
851007,孟獲,1.隱蹤學院中的輸出型學妹；\n2.本身擁有不錯的輸出效果，10星後，主動技能降低敵方30%攻擊同時有較大機率造成高額流血傷害，可為團隊提供良好的輸出空間。,主動技能針對敵方最低生命值學妹，並附帶減攻效果；\n10星後若能觸發效果，則會有不俗的額外傷害。,強化技能，提高輸出與生存能力。,強化技能，每次攻擊均能提升輸出能力。,強化技能，殘血時能夠大幅提升輸出能力。
851008,千本櫻,"
1.隱蹤學院中控制型學妹，能夠石化敵人並對石化目標造成更多傷害；
2.控制能力突出，針對敵方後排造成石化控制效果並且能削弱護甲，在PVP中可作為控制型主力；
3.擁有較高的減傷率並免疫石化，續航能力不俗；
4.缺乏控制型學妹時，推薦培養。",主動技能對敵方後排學妹產生傷害並附帶一定機率石化控制效果，同時對目標添加減甲效果。,強化技能，提高攻擊力與生存能力，免疫石化控制。,強化技能，普通攻擊針對後排並附帶石化控制效果，同時針對石化目標產生額外傷害加成。,強化技能，殘血時增加減傷率，提高生存能力。
851009,甘夫人,1.隱蹤學院中的輸出型學妹；\n2.自身存活期間的輸出能力較為一般，但死亡後可造成大量輸出；\n3.可配合其他因死亡而獲取增益效果的學妹，如曹操、以掃&雅各等造成更多傷害。,主動技能對敵方全體學妹造成傷害，針對戰士型學妹附帶沉默控制效果；\n10星後則可持續增加攻擊力，提升輸出能力。,強化技能，我方學妹死亡後，提高暴擊率與攻擊力，大幅提升輸出能力。,強化技能，提高生存與輸出能力。,核心技能，自身死亡後對敵方全體產生可觀傷害。
851010,司馬懿,"
1.隱蹤學院中擁有集中輸出能力的刺客型學妹；
2.普攻攻擊隨機1名後排敵方學妹；
3.由於自身擁有較高的攻擊力、速度，毒傷害加成以及暈眩控制效果，所以成為了一名高傷害輸出角色；
4.「束縛一擊」升至3級後，普通攻擊附帶100%暈眩效果，在對陣單體敵方時擁有極佳表現，另外主動技能中附帶的免傷效果彌補了自身較脆的弱點。","
主動技能對隨機1名敵方後排學妹造成傷害，並額外附帶持續中毒傷害，同時有一定機率造成暈眩控制效果；
6星後，目標增加至2名；
10星後，該技能獲得增強，增加減傷，提高生存能力；
由於中毒效果的存在，司馬懿可與其他毒傷學妹搭配上陣產生更高傷害。",強化技能，提高輸出與生存能力，並增加對中毒目標傷害。,強化技能，攻擊附帶一定機率暈眩控制效果。,強化技能，殘血時針對敵方隨機2名後排學妹產生額外中毒傷害；\n10星後，針對敵方後排全體學妹。
