id,text,comment
8032,名稱已存在！,
1101,存在非法字元,
9001,伺服器服務出錯，請重試！,
6001,,
6003,對方的好友數量已滿,
6004,該玩家不存在,
6005,,
6006,該玩家已是您的好友,
6007,該玩家尚未在該伺服器創建角色,
6008,競技場中還沒有隊伍,
6101,此玩家已經加入其他社團,
6102,此社團名稱已被使用,
6103,社團已不存在,
6010,含有非法字符,
9002,該帳號在其他地方登入啦！,
9003,該帳號已被禁止登入！,
6011,戰隊名稱重複！,
6012,該隊伍不存在,
6013,該隊伍已沒有空位,
6014,該玩家已有隊伍,
6015,BOSS已經不見了！,
6016,沒有能匹配的社團,
6017,該社團已報名,
6018,已在其他社團設置過陣容,
6019,社團戰報名人數已達上限,
6020,已被禁止評論,
6021,已被禁止發言,
6022,掛機隊伍戰力不足,
6023,兌換碼不存在，請確認是否輸入有誤。,
6024,兌換碼已被使用，請學長不要重複使用。,
6025,您已使用過該類型的兌換碼。,
6026,隊伍已解散,
6027,退治期間無法退出小隊,
6028,退治期間無法邀請新成員,
6029,退治期間無法踢出隊員,
6030,本週踢出隊員次數已達到上限，無法操作,
6031,本週加入隊伍次數已用完，無法操作,
6032,該好友本週已超過加入隊伍限制,
6033,退治小隊成員已滿,
6034,該好友已加入其他小隊,
6035,退治期間新成員無法加入,
6036,該好友暫時無法加入你的小隊,
6037,檢測到您可能使用了第三方軟件，請與客服聯繫！,
6038,家具組合保存失敗,
6039,該好友為您退治小隊的隊友，無法刪除,
6040,退出社團後1天內無法挑戰社團BOSS,
6041,短時間內無法重複挑戰該玩家,
6042,請先購買能量卡,
6043,該玩家收到申請已達上限，暫無法申請,
6044,該玩家目前已與他人結為相伴好友，無法綁定,
6045,該玩家未參與舊友新知，暫無法申請,
6046,該玩家非活躍玩家，暫無法申請,
6047,該格挑戰已完成，無法繼續挑戰。,
6048,賬號創建時間不滿足該兌換碼的使用條件,
6049,陣容保存失敗,
6050,當前處於結算期，無法挑戰！,
6051,通關關卡1-11後可以使用該兌換碼,
6052,今日挑戰次數已達到上限,
6053,BOSS被挑戰次數已達到上限,
6054,當前戰力不符合社團戰力限制！,
6055,該玩家好友申請數量已達上限，無法進行申請,
