id,name,enter_dialog,click_dialog1,click_dialog2,click_dialog3,click_dialog4,click_dialog5,click_dialog6,chosen_dialog1
1,分解商店1,如果你給錢，我可以考慮一下你說的話。,沒有做不到的事情，只要你有錢。,客人你想要點什麼？嗯？不是客人啊……那快走吧。,沒有做不到的事情，只要你有錢。,客人你想要點什麼？嗯？不是客人啊……那快走吧。,為了工資！奮鬥！,,為了工資！奮鬥！
2,販賣機商店,你要來點什麼嗎？,小朋友~要來和我交易嗎？我這裏只有你想不到的，沒有我不賣的哦~,打折券？我可不記得我發售過這東西~無效無效~,小朋友~要來和我交易嗎？我這裏只有你想不到的，沒有我不賣的哦~,打折券？我可不記得我發售過這東西~無效無效~,小朋友~要來和我交易嗎？我這裏只有你想不到的，沒有我不賣的哦~,,只要有利潤，我就無處不在，也無所不賣哦~
3,普通販賣機,好運氣可是最大的實力呢~不信？,不要扯我的耳朵！走開啦討厭。,好運氣可是最大的實力呢~不信？,不要扯我的耳朵！走開啦討厭。,IT's show time~,好運氣可是最大的實力呢~不信？,,It's show time~
4,高級販賣機,我精心準備了份禮物，主人，來交換吧！,睡覺前別忘了把襪子掛在床頭，我會悄悄的來給主人發禮物的~,壞孩子拿不到禮物哦~,我精心準備了份禮物，主人，來交換吧！,睡覺前別忘了把襪子掛在床頭，我會悄悄的來給主人發禮物的~,壞孩子拿不到禮物哦~,,許個願吧~
5,招生,對我來說，知識就是人生,肅靜！上課的時間不能說話！,等下我來驗收考試成果，沒有進步的話就等著接受懲罰吧。,你現在煩悶背下的知識，是別人的一輩子的成果。,等下我來驗收考試成果，沒有進步的話就等著接受懲罰吧。,你現在煩悶背下的知識，是別人的一輩子的成果。,,關鍵的時候，要靠自己的智慧。
6,福利社,歡迎光臨，有什麼是我能為您效勞的嗎~,這是您的購物清單，請您核對喲~,我來幫幫您吧~,這是您的購物清單，請您核對喲~,我來幫幫您吧~,歡迎光臨，有什麼是我能為您效勞的嗎~,,這是您的購物清單，請您核對呦~
7,遠足商店,你要來點什麼嗎？,小朋友~要來和我交易嗎？這只有你想不到的，沒有不賣的哦,打折券？我可不記得我發售過這東西~無效無效~,小朋友~要來和我交易嗎？這只有你想不到的，沒有不賣的哦,打折券？我可不記得我發售過這東西~無效無效~,小朋友~要來和我交易嗎？這只有你想不到的，沒有不賣的哦,,只要有利潤，我就無處不在，也無所不賣哦~
8,新遠足入口,這次會是哪種秘境呢~,烏布羅斯大圖書館裏面居然有如此神秘的區域，我以前從未發現過！,目前已經可以使用書靈約十分之一的能力~,書靈現在的力量還不穩定，所以每次使用后都必須休息一段時間哦！,書靈現在的力量還不穩定，所以每次使用后都必須休息一段時間哦！,目前已經可以使用書靈約十分之一的能力~,,烏布羅斯大圖書館裏面居然有如此神秘的區域，我以前從未發現過！
9,社團商店（袁術）,好憂傷，我的財富，怎麼都花不掉~找幾個人來幫我花花吧~,好憂傷，我的財富，怎麼都花不掉~找幾個人來幫我花花吧~,好憂傷，我的財富，怎麼都花不掉~找幾個人來幫我花花吧~,錢的颶風~,錢的颶風~,錢的颶風~,,錢的颶風~
10,競技場商店（司馬昭）,歡迎光臨，有什麼是我能為您效勞的嗎~,這是您的購物清單，請您核對喲~,我來幫幫您吧~,這是您的購物清單，請您核對喲~,我來幫幫您吧~,歡迎光臨，有什麼是我能為您效勞的嗎~,,這是您的購物清單，請您核對呦~
31,兑换商店用张郃,哎呀，看來你贏了不少獎券呢。怎麼樣，要兌換點什麼嗎？,哈……曹操用錢真是太快了，要是沒有我，真不知道她靠什麼來維持組織運作……你問什麼組織？秘·密~,怎麼了？光盯著別人看？想來一局牌？當然可以，要是能贏過我就給你打折吧。呵呵，開個玩笑。無論是贏過我還是打折都是不可能的。,真羡慕你還能從販賣機裡獲得快樂呢。我？我每次都能拿到特等獎，已經完全感覺不到有什麼稀奇的了。,比起從機器裡贏得獎品，還是從別人那裡贏來戰利品更能讓我興奮。學長，要賭點什麼嗎？,說起來，我的確是輸過一次……不過誰能知道那次失敗不是一次幸運呢？,,呵呵，眼光不錯。這下就離目標更進一步了……
32,兑换商店用郭嬛,啊，是學長~我這裡有許多在旅途中發現的奇妙東西哦。來跟我交換吧~,旅行之後的休息也是必不可少的呢！當然休息結束後就該繼續旅行啦！,嗯~旅途上的驚險刺激讓人欲罷不能，但是回到學園的安心感也讓人無比幸福呢！,不知道小褚褚在幹什麼呢？啊，不用說也知道，肯定又在花房裡了吧？這邊忙完後就去找她玩吧~,旅途和歸途同樣重要！如果沒有旅行之後的一句“歡迎回來”的話，旅行也稱不上是旅行了！學長一定也有等著自己的人吧！,諸葛亮學姐說得果然沒錯。把收集到的東西拿來跟大家交換，一定會很受歡迎！能幫到大家的忙我也很開心！,,啊！那個可是我的寶物，學長可要好好珍惜哦！
40,兑换商店用高顺,啊！歡、歡迎光臨！請問學長要買些什麼呢？,這是進風紀委以來第一次被委託的單獨任務……我一定不會辜負學姐們的期待的！,我加入風紀委還沒有多長時間。如果有什麼做得不好的地方，還請多多指教！,學姐們似乎有更重要的工作，於是把看店的任務交給了我……咦？學姐們在咖啡廳聊天？肯、肯定是有重要的事商討吧……,學長在這次特別學院考核的表現非常出彩呢！不知道我以後會不會也有參加的機會……甚至當上考核官……,呼……啊！報、報告，這裡沒有異常！咦，原來不是米迦勒會長……嚇我一跳，要是走神被她發現的話超恐怖的……,,這是學長要的東西，請收好！今後也請多多支持我們哦！
44,兑换商店用诸葛亮,歡迎光臨~這裡有許多學生會特供的商品，請隨意挑選~,身為學生會長卻要親自看店……我最近是不是工作得太多了啊？,原則上學生會是鼓勵學生們在商店街隨意開店的。但總覺得最近一些店似乎有些可疑……,有什麼中意的東西嗎？慢慢挑選也沒關係哦。客人滿意才是最重要的嘛。,學生會所屬店鋪的利潤會用於學園的建設。學長到時候也要幫忙哦。啊，你現在想出去已經晚了，我已經把你算上了。,嗯……這次的議題應該這樣就沒問題了。下次的應該也……啊！不好意思，學長，你選好了嗎？,多謝你陪我聊天~,來，這是學長要的東西，已經包好了哦。畢竟我已經猜到你會選這個了。
45,兑换商店用曹操,歡迎光臨，讓我看看你取得了怎樣的戰果吧。,勝利本身的確令人喜悅，不過勝利之後的事才更加重要。,學生之間的競賽終究不過是幼稚的遊戲。真正的戰鬥可沒這麼簡單。,還在猶豫什麼？萬一到了關鍵時刻，可沒有這麼多時間給你做選擇。,要我幫你拿那邊的商品？唔唔……雖然這也是店員的職責，但被人命令真是不爽。,可惡……要不是資金緊張，我可沒時間花在這種打工上……,,拿去吧，享受勝利的果實也是勝者的責任。
47,战姬商店用曹洪,歡迎回來，主人~要來杯咖啡嗎？,聽說幽夢學園歷史上有一位身穿女僕裝的傳奇戰姬……不知道有朝一日能不能親眼見到她呢？,這裡是咖啡廳，為大家提供片刻休憩的地方。在這裡就把戰鬥什麼的暫時忘掉吧~,主人，你還不點單嗎？該不會要說想點我吧……嗯，不行哦，至少現在不行！,有不少學生空閒的時候都喜歡在這休息。學長也可以跟她們聊聊天哦。,咖啡廳要不要找個機會弄一些活動呢？比如全員女僕裝什麼的……啊，全員不包括主人你哦~當然如果主人想的話……,主人喜歡的……統統可以重複下單。新戰姬在來到學院後也會光顧咖啡廳喔，主人要經常來玩喔！,多謝惠顧~請主人慢慢休息~
62,魂器商店用司马昭,歡迎光臨，這裡有許多魂器，學長想挑選哪一個呢？,我只是碰巧接手了這家店而已，就請學長別再多問了。,學長有什麼想買的東西嗎？這些魂器一件比一件強大，但若是使用不當，可是會有性命之憂的唷~,我只是碰巧接手了這家店而已，就請學長別再多問了。,學長有什麼想買的東西嗎？這些魂器一件比一件強大，但若是使用不當，可是會有性命之憂的唷~,我只是碰巧接手了這家店而已，就請學長別再多問了。,,學長眼光不錯，這件東西很適合你~
86,学院考核（德古拉）,想要挑戰我們？等你找到我們再說吧！,鮮血的味道，你也要嚐嚐嗎？,蝙蝠？我更喜歡叫牠們使者~,要小心黑夜中隱藏的尖牙哦~,美味可不能被浪費哦~,（嗅嗅），你的味道聞起來也不錯嘛~,,
87,学院考核（曹操）,秩序與紀律產生力量！,請叫我實力的追求者！,不舒服？不，只是單純地想要鬆口氣。,在其位謀其政，穿著這身衣服就要肩負起自己的責任。,打起精神來！難道你想止步於此嗎？,真正的強者也會思考好自己的退路。,,
88,学院考核（织田）,風見學院歡迎所有追求自由的人！,我的刀？只能看不能摸哦~,啊，又到櫻花盛開的季節了。,如果是你的話，應該可以通過這裡的挑戰！,已經走到這一步了，請不要放棄前行！,如果感到疲倦的話，不如停下來欣賞一下櫻花吧~,,
89,学院考核（诸葛亮）,只有真正的紳士才能通過曇華學院的考核！,考核結果？我已經算到了哦，但是……不能告訴學長~,像這樣的扇子，我還有很多把。,也許換一種思路就是解法哦，比如……不行不行，考核官不能透露答案。,不行，我不允許你倒下。,清風來~是不是感覺疲憊已經消失了呢？,,
90,学院考核（路西法）,實力才是檢驗強者的唯一標準！,敢來挑戰我們？哼，勇氣可嘉！,你是第一個不會被我嚇跑的人。,休想逃過試煉，尤其是，我的！,決定來挑戰的那一刻起，你就已經沒有退路了！,哼，還差得遠呢！,,
91,学院考核（米迦勒）,不要害怕挑戰，聖光會治愈你的傷口！,光明與黑暗，只在一念之間。,願聖光照耀你！,學長請不要抱著僥倖心理，我是不會手下留情的！,鼓起勇氣，再嘗試一次！,沒關係，累了的話可以稍微休息一下~,,
122,魂器商店用司马昭,歡迎光臨，這裡有許多魂器，學長想挑選哪一個呢？,我只是碰巧接手了這家店而已，就請學長別再多問了。,學長有什麼想買的東西嗎？這些魂器一件比一件強大，但若是使用不當，可是會有性命之憂的唷~,我只是碰巧接手了這家店而已，就請學長別再多問了。,學長有什麼想買的東西嗎？這些魂器一件比一件強大，但若是使用不當，可是會有性命之憂的唷~,我只是碰巧接手了這家店而已，就請學長別再多問了。,,學長眼光不錯，這件東西很適合你~
