id,desc
31001,強敵說明：\n封印再一次解放，這一天，人們終於想起被混沌力量支配的恐懼。混沌力量是平衡差值突破臨界點的產物，擁有“理”的力量。
31002,魔焰洗禮
31003,混沌領主噴吐出魔焰，對所有敵人造成高額傷害并引爆所有敵人的增益效果，每有一個增益效果被引爆都會使該次爆炸傷害增加。
31004,碾壓
31005,混沌領主重擊地面，對所有敵人造成一定傷害，若該技能擊殺敵人，則獲得一個新的回合。
31006,湮滅
31007,混沌領主放逐血量最低的敵人，對其造成其生命上限並且無視護甲的傷害，并將溢出傷害平攤至剩餘的存活角色。
31008,混沌體甲
31009,回合效果：在自己的回合開始時獲得2層可以抵擋技能的護盾，持續2回合。
32001,強敵說明：\n遊蕩于混沌深淵的黑暗騎士卡斯納，被無盡的慾望所操縱，被糜爛的生活所腐化。他不知從何而來，也不知為何而去。
32002,恐懼形骸
32003,對敵方後排造成大量傷害，并控制其中一名戰姬的心智2回合；將己方血量最少的隊友轉化為自己的分身，分身繼承與死亡戰姬的屬性，造成2倍傷害且受到兩倍傷害。
32004,控心術
32005,普通攻擊有50%的幾率操控敵人心智2回合，被操控的戰姬在出手時會對一名己放戰姬造成傷害
32006,王之軍勢
32007,場上每有一個存活的黑騎士分身，黑騎士及其分身的攻擊力和破甲值都會得到提升
32008,指令
32009,黑騎士進行攻擊時，每個分身會隨機挑選一名敵方戰姬進行一次攻擊，分身每次攻擊時吸血
