id,name,brief,desc
1,金幣,貨幣,普通貨幣
2,鑽石,貨幣,最有價值的稀有貨幣
3,EXP,玩家經驗,用於提升玩家等級
4,社團幣,社團幣,用於購買社團商店中的物品
5,社團經驗,社團經驗,用於提升社團等級
6,兌獎券,兌獎券,用於在販賣機的幸運商店中購買物品
7,同學錄,購買戰姬貨幣,用於在轉學商店中購買戰姬
8,VIP經驗,VIP經驗,
9,經驗飲料,戰姬升級經驗,用於在戰姬介面中提升戰姬的等級
10,便當,戰姬進階經驗,用於在戰姬介面中提升戰姬的品階
11,愛心,友情扭蛋貨幣,通過好友獲贈獲得，用於在扭蛋進行友情召喚
12,抽卡保底能量,抽卡保底能量,
13,通行證,上頂樓參加憑證,用於上頂樓的戰鬥
14,水晶刻刀,材料,用於在戰姬介面中升級水晶
15,秘境幣,書靈秘境商店貨幣,用於在書靈秘境商店中兌換物品
16,競技獎章,競技商店貨幣,用於在競技中的校園聯賽和巔峰聯賽商店中購買物品
17,競技場寶箱,寶箱通過郵件自動打開,隨機獲得金幣、戰姬經驗、戰姬進階石、傳奇裝備，戰姬碎片等各種稀有物品
18,魔法麵包,體力物品,用於社團磨坊掠奪
19,檔案袋,戰姬交換材料,用於在教務處的招生處中交換戰姬
20,印章,招生物品,可從教務處中召喚至少4星品質的戰姬或戰姬碎片
22,紅色1星魂器寶箱,魂器寶箱,購買後可隨機獲得1件紅色1星魂器
23,綠色1星魂器寶箱,魂器寶箱,購買後可隨機獲得1件綠色1星魂器
24,基礎打工任務卷軸,打工任務卷軸,在打工場所中使用後隨機增加1個任務（1~4星），該任務若未執行，在打工任務重置後將會消失。
25,高級打工任務卷軸,打工任務卷軸,在打工場所中使用後隨機增加1個任務（4~7星），該任務若未執行，在打工任務重置後將會消失。
26,使魔餅乾,使魔材料,用於使魔馴養、升級以及進化
27,精華餅乾,使魔材料,用於使魔光環升級
28,實踐地圖,課外實踐參加憑證,參加課外實踐活動會消耗
29,高級摸彩券,高級販賣機摸彩憑證,每進行一次摸彩消耗一個高級摸彩券
30,頭像（無用）,特殊頭像,填充
31,修建材料,修建材料,修建所需材料
32,戰姬置換材料（無用）,戰姬置換材料,用於10星戰姬置換
33,普通扭蛋幣,普通扭蛋貨幣,用於在普通扭蛋獲得戰姬
34,競技場門票,競技場參賽憑證,參加競技場戰鬥會消耗門票
35,摸彩券,販賣機摸彩憑證,每進行一次摸彩消耗一個摸彩券
36,高級扭蛋幣,高級扭蛋貨幣,用於在高級扭蛋獲得戰姬
37,愛心曲奇,兌換材料,特殊材料，用於兌換道具
38,中秋月餅,兌換材料,特殊材料，用於兌換道具
39,手工電池,活動材料,戰姬們在手工課上製作的電池，做工似乎不太精細。使用可對BOSS造成大量傷害
40,移動能量,活動材料,用於在拼圖集活動中移動拼圖圖塊
41,小雪人,活動材料,節日兌換禮物專屬道具。活動結束後將無法再兌換，請務必在活動期間使用！
42,聖誕襪,活動材料,節日兌換禮物專屬道具。活動結束後將無法再兌換，請務必在活動期間使用！
43,禮物盒,禮物寶箱,神秘的盒子，開啟後能獲得1件隨機禮物和一些禮物碎片。
44,禮物碎片,禮物材料,神秘晶體的碎片，從禮物盒中獲得，用於合成各種禮物。
45,誓約之戒,誓約道具,在約會中使用，可與好感度達到100點的戰姬締結誓約。
46,春節鞭炮,活動材料,特殊材料，用於兌換道具
47,畢業證書,特殊材料,用於十星戰姬交換和回退功能
48,愛心氣球,兌換材料,特殊材料，用於兌換道具
49,骨頭餅乾,活動材料,可對神秘的生物使用，增加其親密度
50,復活節兔子,活動材料,特殊材料，用於兌換道具
51,投票券,活動材料,用於在愛與誓言之戰活動中為戰姬投票
52,佈置基金,活動材料,用於完成戰姬們佈置宿舍的任務，可兌換道具
53,禮品兌換券,活動材料,兌換開學禮物用的專屬道具。活動結束後將無法再兌換，請務必在活動期間使用！
54,裝備補給卡,活動材料,可在裝備補給活動中兌換稀有裝備
1001,首次決戰競技場限定頭像,特殊頭像,決戰競技場活動所有任務完成後獎勵的特殊頭像
1002,炎陽冠軍頭像,特殊頭像,組隊聯賽冠軍獎勵頭像
1003,星月交輝頭像,特殊頭像,組隊聯賽亞軍獎勵頭像
1004,六芒徽章頭像,特殊頭像,組隊聯賽季軍獎勵頭像
1005,銀牌徽章頭像,特殊頭像,組隊聯賽4~10排名獎勵頭像
1006,銅牌徽章頭像,特殊頭像,組隊聯賽11~20排名獎勵頭像
1007,萬聖節限定頭像,特殊頭像,萬聖節期間決戰競技場活動所有任務完成後獎勵的特殊頭像
1008,拼圖集限定頭像,特殊頭像,完成所有拼圖集活動的圖獎勵的特殊頭像
1009,新年限定頭像,特殊頭像,新年的特殊頭像
1010,雪花限定頭像,特殊頭像,決戰競技場活動所有任務完成後獎勵的特殊頭像
1013,限定頭像,特殊頭像,決戰競技場活動所有任務完成後獎勵的特殊頭像
1014,春節限定頭像,特殊頭像,春節的特殊限定頭像
1015,非洲酋長,特殊頭像,完成成就連續200次高級扭蛋沒有5星戰姬
1016,非洲大酋長,特殊頭像,完成成就連續300次高級扭蛋沒有5星戰姬
1017,真·非洲大酋長,特殊頭像,完成成就連續400次高級扭蛋沒有5星戰姬
1018,春暖花開限定頭像,特殊頭像,決戰競技場活動所有任務完成後獎勵的特殊頭像
1019,婚禮手捧花頭像,特殊頭像,決戰競技場活動所有任務完成後獎勵的特殊頭像
1020,復活節限定頭像,特殊頭像,復活節的限定頭像
1023,母親節限定頭像,特殊頭像,母親節的限定頭像
1024,入學式限定頭像,特殊頭像,入學式的限定頭像
1025,端午節限定頭像,特殊頭像,決戰競技場活動所有任務完成後獎勵的特殊頭像
2001,糯米飯糰,道具,回復戰姬生命上限20%的生命值
2002,紅棗飯糰,道具,回復戰姬生命上限50%的生命值並增加300點能量
2003,紫菜飯糰,道具,回復戰姬生命上限100%的生命值
2004,鉛筆,道具,增加攻擊1.5%
2005,橡皮擦,道具,增加暴擊傷害2%
2006,三角尺,道具,增加暴擊2%
930000,1星廖化碎片,召喚戰姬,湊齊5個碎片即可召喚該戰姬
930001,1星阮籍碎片,召喚戰姬,湊齊5個碎片即可召喚該戰姬
930002,1星王平碎片,召喚戰姬,湊齊5個碎片即可召喚該戰姬
930003,1星曹洪碎片,召喚戰姬,湊齊5個碎片即可召喚該戰姬
930004,1星紀靈碎片,召喚戰姬,湊齊5個碎片即可召喚該戰姬
930005,1星韓當碎片,召喚戰姬,湊齊5個碎片即可召喚該戰姬
930006,1星凌統碎片,召喚戰姬,湊齊5個碎片即可召喚該戰姬
930007,1星萬聖女巫碎片,召喚戰姬,湊齊5個碎片即可召喚該戰姬
930008,1星馬雲騄碎片,召喚戰姬,湊齊5個碎片即可召喚該戰姬
930009,1星管輅碎片,召喚戰姬,湊齊5個碎片即可召喚該戰姬
