id,name,from,content
1,競技場每日獎勵,競技場信件,恭喜您在{1}的競技場中取得了第{2}名的成績，獎勵見附件！
2,賽季結算獎勵,競技場信件,我謹代表幽夢學園祝賀您在校園聯賽中取得第{1}名的成績，為表彰您的技藝和勇猛，我們送予您以下獎勵！
3,開服獎勵,系統信件,活動期間，每日登入即可領取鑽石*50，摸彩券*2，競技場門票*2，獎勵見附件。
4,恭喜成為月卡用戶,月卡,恭喜您已經成為月卡用戶。從{1}起，系統將在每天的00:00 am(UTC/GMT 0)為您發送370鑽石。購買月卡的當天會立即向您發送屬於第一天的鑽石。
5,月卡獎勵,月卡,您是VIP{1}用戶，今日獲得以下獎勵，請及時領取。您的月卡還有{2}天到期。
6,月卡已到期,月卡,您的月卡已到期，現在前往商場再次購買月卡將重新成為月卡用戶！領取價值13倍花費的鑽石！
7,恭喜成為小月卡用戶,小月卡,恭喜您已經成為小月卡用戶。從{1}起，系統將在每天的00:00 am(UTC/GMT 0)為您發送85鑽石。購買小月卡的當天會立即向您發送屬於第一天的鑽石。
8,小月卡獎勵,小月卡,今日獲得以下獎勵，您的小月卡還有{1}天到期。
9,小月卡已到期,小月卡,您的小月卡付費已到期，現在前往商場再次購買小月卡將重新成為小月卡用戶！領取價值10倍花費的鑽石！
10,召喚戰姬獎勵,召喚獎勵,恭喜您在活動中抽到{1}戰姬，獲得豐厚獎勵，獎勵見附件。
11,每日獎勵,系統信件,活動期間，每日登入即可領取高級扭蛋幣*3，獎勵見附件。
12,扭蛋抽取獎勵,系統信件,恭喜您在扭蛋迎新活動中累計抽取高級扭蛋達到{1}次，獲得以下獎勵。
13,每日獎勵,系統信件,活動期間，每日登入即可領取印章*1、拉霸能量*10，獎勵見附件。
14,招生考核獎勵,系統信件,恭喜您在招生考核活動中達到{1}積分，獲得以下獎勵。
15,擊殺獎勵,系統信件,好友BOSS被您擊殺，恭喜您獲得以下獎勵。
16,好友助戰BOSS獎勵,系統信件,好友BOSS已被成功擊殺，恭喜您獲得以下獎勵。
17,好友助戰排行榜獎勵,系統信件,恭喜您在本週好友助戰中取得{1}名的成績，獎勵見附件。
18,戰姬集結獎勵,系統信件,恭喜您在戰姬集結活動中達成條件，獲得豐厚獎勵，獎勵見附件。
19,封測儲值返利,系統信件,感謝您在我們遊戲的封測階段購買了{1}，這是您的封測儲值返利獎勵，請查收！
20,摸彩積分獎勵,系統信件,恭喜您在販賣機摸彩贏積分活動中達到{1}積分，獲得以下獎勵。
21,每日獎勵,系統信件,活動期間，每日登入即可領取幻影水晶球*100、高級打工任務卷軸*1、許願幣*5，獎勵見附件。
22,打工任務達標獎勵,系統信件,恭喜您在打工任務達標活動中完成{1}星達標任務，獲得以下獎勵。
23,儲值通知,系統信件,感謝您在我們遊戲購買了{1}，獲得的物品已放入背包，請查看！
24,每日獎勵,系統信件,活動期間，每日登入即可領取船舵*4、鑽石*150，獎勵見附件。
25,決戰競技場獎勵,系統信件,恭喜您在決戰競技場活動中達成條件，獲得豐厚獎勵，獎勵見附件。
26,金幣週卡購買成功,金幣週卡,恭喜您已成為金幣週卡用戶。從現在開始之後的168個小時內的掛機金幣產出將增加100%，可以與VIP特權疊加生效喔！
27,金幣週卡到期提醒,金幣週卡,您的金幣週卡付費即將在今天到期，如需再次購買請前往商場再次購買金幣週卡重新成為金幣週卡用戶，即可獲得掛機金幣產出100%加成！
28,升學與覺醒,系統信件,恭喜您在活動期間成功升學5星{1}，獎勵見附件。
29,升學與覺醒,系統信件,恭喜您在活動期間成功升學6星{1}，獎勵見附件。
30,社團BOSS排行獎勵,社團信件,祝賀您在社團Boss戰鬥中取得的成功，獎勵見附件。
31,社團BOSS擊殺獎勵,社團信件,社團Boss已被成功擊殺，恭喜您獲得了以下獎勵。
32,社團BOSS,社團信件,您已多次擊殺該Boss，無法再獲得獎勵。
33,社長任命,社團信件,{1}不再是社長，{2}現在是{3}社團新的社長。
34,副社長任命,社團信件,您已被任命為{1}社團的副社長。
35,副社長罷免,社團信件,您現在不再擔任{1}社團的副社長。
36,被踢出社團,社團信件,您已被踢出社團，不再是{1}社團的一員。
37,社團解散,社團信件,{1}已經被解散，您現在沒有社團。
38,加入社團,社團信件,恭喜您加入{1}社團，每天記得來簽到哦！
39,每日獎勵,系統信件,活動期間，每日登入即可領取幻影水晶球*100、翻牌券*1，獎勵見附件。
40,賽季結算獎勵,競技場信件,我謹代表幽夢學園祝賀您在巔峰聯賽中取得第{1}名的成績，為表彰您的技藝和勇猛，我們送予您以下獎勵！
41,巔峰聯賽,系統信件,親愛的學長，競技場的巔峰聯賽已經開啟，我們送予您競技場門票*5，快去戰鬥吧！
42,課外實踐結算獎勵,系統信件,恭喜你在課外實踐中獲得了{1}名，獲得以下獎勵！
43,校外兼職獎勵,系統信件,課外實踐的校外兼職課題已完成，恭喜你獲得以下獎勵！
44,手工製作獎勵,系統信件,課外實踐的手工製作課題已完成，恭喜你獲得以下獎勵！
45,野外探險獎勵,系統信件,課外實踐的野外探險課題已完成，恭喜你獲得以下獎勵！
46,巔峰聯賽結束提醒,系統信件,親愛的學長，競技場的巔峰聯賽還剩不到24小時就要關閉了，請抓緊時間去戰鬥吧！
47,聲優活動分享獎勵,系統信件,感謝您對於聲優助陣活動的分享，我們送予您以下獎勵！
48,每日獎勵,系統信件,活動期間，每日登入即可領取高級摸彩券*1、實踐地圖*5，獎勵見附件。
49,課外實踐,系統信件,親愛的學長，課外實踐活動已經開啟，我們送予您實踐地圖*4，快去參加課外實踐吧！
50,組隊聯賽開啟,競技場信件,親愛的學長，競技場的組隊聯賽已經開啟，快去戰鬥吧！
51,組隊聯賽結束提醒,競技場信件,親愛的學長，競技場的組隊聯賽還剩不到24小時就要關閉了，請抓緊時間去戰鬥吧！
