id,fort_name,fort_name2,name,description,skill
1,競速·指引之月光,競速·指引之月光,指引前路的月光,在幽夢軍團主力與混沌軍團進行正面交鋒的同時。\n有一支在暗中活躍的部隊，深入最危險的地方，充當著幽夢軍團的耳目。\n而成為這支部隊靈魂的，更是一位特殊的人物。,每回合己方首次正常行動前\n敵人不會受到非持續傷害
2,競速·指引之月光,競速·指引之月光,溫暖的魔法,女僕裝宛如銀月的鎧甲，讓她在超常感知力帶來的噪音中保持自我。\n她從未對人表露過自己的困擾。她獨自默默承受的痛苦，卻在一天被一位少女輕易地察覺。,每回合己方首次正常行動前\n敵人不會受到非持續傷害
3,競速·指引之月光,競速·指引之月光,未來的打算,與混沌軍團之間的戰爭即將走向尾聲。雖然仍然有不少令人無法釋懷的事情。\n但銀月和巴妮拉還是不禁樂觀地展望起了戰爭結束後的未來。,每回合己方首次正常行動前\n敵人不會受到非持續傷害
4,競速·指引之月光,競速·指引之月光,異樣,雖然這是一次棘手的任務，但銀月早已經歷過無數次更加危險的場景。\n比起任務，另外一種異常的氣息更令銀月在意。,每回合己方首次正常行動前\n敵人不會受到非持續傷害
5,競速·指引之月光,競速·指引之月光,不安的種子,銀月得知了異常氣息的真相，但或許是出於同情，或許是出於敬意，\n銀月選擇了手下留情。但這也在她的心中埋下了不安的種子。,每回合己方首次正常行動前\n敵人不會受到非持續傷害
6,競速·指引之月光,競速·指引之月光,戰爭結束？,最後一場戰鬥即將結束，整場戰爭也迎來了結局。\n銀月認為自己終於可以休息一下了，然而……,每回合己方首次正常行動前\n敵人不會受到非持續傷害
7,競速·指引之月光,競速·指引之月光,螢火,付出了慘重的代價，銀月終於趕回了陣地。\n而等待她的只是一片慘狀。,每回合己方首次正常行動前\n敵人不會受到非持續傷害
8,競速·指引之月光,競速·指引之月光,新時代,現實容不得銀月有時間去反思和悔恨。在這個時候，最應該做的便是站起身來繼續前行。銀月選擇接受那個神秘聲音的條件，成為新時代中的月光。,每回合己方首次正常行動前\n敵人不會受到非持續傷害
9,競速·指引之月光,競速·指引之月光,旅行,幽夢學園已經步入正軌，而銀月心中的不安始終沒有散去。自覺幽夢學園如今已經無需自己，銀月做出了一個決定。,每回合己方首次正常行動前\n敵人不會受到非持續傷害
10,競速·指引之月光,競速·指引之月光,月光下的螢火,百餘年後，幽夢學園處於危機之中，一個身影在黑暗中悄然現身。,每回合己方首次正常行動前\n敵人不會受到非持續傷害
