id,name,skill_name,ex_skill_desc
751001011,董卓,生命吸取,攻擊傷害提升為{1}，恢復效果提升為{2}。
751001012,董卓,生命吸取,攻擊傷害提升為{1}，恢復效果提升為{2}。
751001013,董卓,生命吸取,攻擊傷害提升為{1}，恢復效果提升為{2}。
751001014,董卓,生命吸取,攻擊傷害提升為{1}，恢復效果提升為{2}。
751001015,董卓,生命吸取,攻擊傷害提升為{1}，[c][01a310]冰凍[-][/c]機率提升為{2}，恢復效果提升為{3}。
751001021,董卓,霸王之心,生命加成提升為{1}。
751001022,董卓,霸王之心,生命加成提升為{1}，精準加成提升為{2}。
751001023,董卓,霸王之心,生命加成提升為{1}，精準加成提升為{2}。
751001024,董卓,霸王之心,生命加成提升為{1}，精準加成提升為{2}。
751001025,董卓,霸王之心,生命加成提升為{1}，精準加成提升為{2}。
751001031,董卓,靈魂儀式,恢復效果提升為{1}。
751001032,董卓,靈魂儀式,恢復效果提升為{1}。
751001033,董卓,靈魂儀式,恢復效果提升為{1}。
751001034,董卓,靈魂儀式,恢復效果提升為{1}。
751001035,董卓,靈魂儀式,恢復效果提升為{1}。
751001041,董卓,吸取,恢復效果提升為{1}。
751001042,董卓,吸取,恢復效果提升為{1}。
751001043,董卓,吸取,恢復效果提升為{1}。
751001044,董卓,吸取,恢復效果提升為{1}。
751001045,董卓,吸取,恢復效果提升為{1}。
751002011,德古拉,蝙蝠爆破,攻擊傷害提升為{1}，對法師類目標的[c][01a310]流血[-][/c]傷害提升為{2}。
751002012,德古拉,蝙蝠爆破,攻擊傷害提升為{1}，對法師類目標的[c][01a310]流血[-][/c]傷害提升為{2}。
751002013,德古拉,蝙蝠爆破,攻擊傷害提升為{1}，對法師類目標的[c][01a310]流血[-][/c]傷害提升為{2}。
751002014,德古拉,蝙蝠爆破,攻擊傷害提升為{1}，對法師類目標的[c][01a310]流血[-][/c]傷害提升為{2}。
751002015,德古拉,蝙蝠爆破,攻擊傷害提升為{1}，對法師類目標的[c][01a310]流血[-][/c]傷害提升為{2}。
751002021,德古拉,破綻,攻擊加成提升為{1}。
751002022,德古拉,破綻,攻擊加成提升為{1}，生命加成提升為{2}。
751002023,德古拉,破綻,攻擊加成提升為{1}，生命加成提升為{2}。
