id,title,name,dialog,select_text
1,學園爭霸,,在牌桌上，張郃相信自己的強運，,
2,,,就算是處於再大的劣勢，面對技藝多麼高超的對手，\n或者面對那些聯手作局，甚至出老千的對手……,
3,,,張郃也總能在最關鍵的時機，抽到最關鍵的牌……\n……一發逆轉。,
4,,,勝利、權利、交易、甚至手下……牌局給張郃帶來了一切。\n在牌局裡，張郃就是當之無愧的國王。,
5,,,就像今天一樣：\n這個新加入卡牌社的挑戰者，\n只會是張郃稱霸牌局之路上的另一個墊腳石——,
6,,張郃,出牌，「綠遊俠」、「紅遊俠」一對。,
7,,張郃,（現在，從「紅騎士」到「紅賢龍」都齊了，只要再摸到一張「紅王」，我就能湊出一組「血腥宮廷」！）,
8,,張郃,（新來的小鬼，不知道你要憑什麼挑戰我……）,
9,,曹操,那麼，該我摸牌了，對吧？,
10,,曹操,好～我摸————\n哦，這張是…………這就是「紅王」對吧？,
11,,張郃,（什麼！？）,
12,,曹操,那麼，我出牌……「紅王」、「黃王」、「綠王」，我有一套「三王裁決」！,
13,,曹操,張郃學姐，你有更大的組合嗎？,
14,,,張郃，成為被曹操正面擊敗的第11個社團團長，成為這個新學員稱霸學園之路上的另一步——,
15,,張郃,我…………我認輸。\n曹操同學，我會聽候你的發落。請不要為難社團裡的同學。,
16,,曹操,……還挺有氣度的。,
17,,曹操,怎麼樣，有沒有興趣跟著我？\n還有那麼多社團要征服，我一個人，實在是有點忙不過來啊……,
18,,張郃,你是說，一統學園，結束這亂世？,
19,,曹操,哈哈哈哈……你非要這麼說，也可以啦！,
20,,,曾幾何時，幽夢學園是一片紛爭之地。,
21,,,社團割據、豪強並起，彼此之間劍拔弩張，征伐不休。\n紛爭和混亂連年不斷，直到一個新學員的到來。,
22,,,雖然帶著一片空白走進這座學園，\n但是既來之，則安之，,
23,,,曹操決心在這裡大展拳腳，成就一番偉業！,
24,風紀委員會,,隨著越來越多的社團前輩向曹操低頭，\n校園風氣也一改過去劍拔弩張的緊張氛圍，,
25,,,社團紛爭漸漸變成良性的對抗，\n久違的朝氣又出現在學員們的臉上，,
26,,,而這些變化，也引起一個龐大勢力的注意：\n風紀委員會——,
27,,米迦勒,委員會的資源和許可權都會賦予給你，\n為了儘早整頓學園的混亂局勢，這和你的目標也是相符的。,
28,,曹操,武裝到牙齒，卻還是要被戴上枷鎖嗎……,
29,,曹操,我的目標是成為霸王，你們卻只是想找個打手？,
30,,米迦勒,你！,
31,,米迦勒,就算你這樣走下去，和現在的這些社團幫派有什麼區別？\n不過是另一個董卓罷了！！,
32,,曹操,你…好…大…膽……,
33,,劉備,我說，曹操同學……,
34,,劉備,風紀委員會主動釋出善意招攬……這樣的機會可不多啊。董卓幫可不會有這樣的機會。,
35,,曹操,！？,
36,,曹操,……你是誰？,
37,,劉備,我是劉備，不過是一個普通的風紀委員罷了。,
38,,曹操,……,
39,,曹操,……可以考慮哦。,
40,,張郃,會長？,
41,,米迦勒,不愧是曹操同學！那麼，合作的方式，我們可以明天再談，,
42,,米迦勒,曹操同學，我期待著你未來的表現哦。,
43,,米迦勒,風紀委員，收隊！,
44,,劉備,是！,
45,,劉備,曹操同學，再見囉～,
46,,曹操,……,
47,,張郃,會長，剛才是……？,
48,,曹操,（我在看到她的時候，為什麼，這種複雜的心情……）,
49,,曹操,（這個劉備，到底是什麼人？）,
50,行動代號：炒麵麵包,,加入風紀委員會的曹操如虎添翼。,
51,,,雖然前輩們對她打破傳統的行事手段頗有議論，\n但是事實勝於雄辯：大多數社團亂象都得到有效的管理和控制，,
52,,,現在只剩下最後一個，也是最難處理的秘密社團：\n董卓幫——,
53,,曹操,都準備好了嗎？\n不用我再說一次了吧，這個福利社對於董卓幫的意義？,
54,,張郃,學園內超過30%的炒麵麵包地下交易都是透過這裡進行，,
55,,張郃,透過這裡的送餐網路，學園內的作息、自習、社團方面的人員流動，都暴露在董卓幫的眼皮子底下。,
56,,曹操,所以這次行動的重要程度，不用我再說一次了吧？,
57,,風紀委員,是！,
58,,劉備,等一下，曹操同學，米迦勒那邊的行動信號還沒有……,
59,,曹操,沒有這個時間了……風紀委員們，拿下這個福利社！\n動作快，董卓幫可不會等著我們！,
60,,劉備,風紀委員辦案，所有人蹲下！,
61,,董卓幫,可惡，怎麼會……！！,
62,,風紀委員,動起來，衝衝衝！,
63,,董卓幫,啊！！,
64,,曹操,風紀委員們，拿下這群小賊！,
65,,,當天稍晚的時候。,
66,,米迦勒,曹！操！同！學！,
67,,米迦勒,我們還沒有就位，為什麼你就急著直接正面突破！！,
68,,米迦勒,你這樣！你這樣……！！！,
69,,曹操,米迦勒學姐……這都是小場面啦，沒有什麼你應付不了的。,
70,,曹操,突襲行動很成功，下一步就可以直指董卓的老巢哦。,
71,,曹操,你……還有什麼不滿意的嗎？,
72,,米迦勒,……曹操同學，聯合突襲的章程和交戰規則是你提出的主張。,
73,,米迦勒,你這樣臨時改變行動方案，會讓配合你作戰的其他分隊陷入險境！,
74,,曹操,規則、制度，這些都只是工具啦，現場的時機才是最重要的。,
75,,曹操,工具應該是達到目標的捷徑，而不是絆腳石。,
76,,米迦勒,你……,
77,決戰董卓,,炒麵麵包行動取得了巨大成功。,
78,,,董卓幫的秘密據點和重要成員一個個被曝光、拔除。很快，這次作戰到達最後階段，,
79,,,出現在曹操等人面前的，是仍在負隅頑抗的社團頭目——董卓！,
80,,董卓,嗚——哈哈哈哈哈哈哈哈！！！,
81,,曹操,喂喂，典型的反派發言啊。\n這麼有自覺的嗎？,
82,,董卓,少囉嗦！囂張個頭啊！！,
83,,董卓,能找到這裡來，算你厲害。可你又能把我怎麼樣呢？,
84,,董卓,你也不是第一個找到這裡來的風紀委員。,
85,,張郃,什麼？,
86,,董卓,只要把你們收拾了，學園那麼大——,
87,,董卓,再找個據點我就能東山再起！再簡單不過了～,
88,,董卓,但是這一次，風紀委員會就會乖乖當我的看門狗啦，哈哈哈哈！！,
89,,曹操,差不多就行了，快點完事了，還要回去寫報告呢。,
90,,曹操,今天食堂可是有醬汁豬肉定食，晚了就吃不到囉～,
91,,董卓,你！？,
92,,董卓,你這傢夥！欺人太甚啊啊啊啊！！,
93,,董卓,我的玩具，都動起來啊！,
94,,漢獻帝,（疼痛）呀！,
95,,,這一天，煙火聲、曹操的怒吼、建築倒塌的轟鳴響徹天際——整個學園都見證了董卓幫的最終覆滅。,
96,,,這次行動中，風紀委員曹操顯露出從未有過的一面：專斷、兇暴、咄咄逼人……,
97,,,盛怒之下的曹操就像變了一個人，,
98,,,不光是在場的風紀委員，就連張郃都感到不寒而慄。,
99,,,直到行動結束後許久，曹操都保持著平日未見的專注……,
100,,曹操,怎麼樣了？,
101,,張郃,是，查獲的大部分財物和物品都和之前的記錄對得上。,
102,,張郃,董卓幫的核心庫房，應該就在這裡了。,
103,,曹操,嗯，還有呢？,
104,,張郃,……我們找到了，那個小姑娘。,
105,,張郃,嚴重脫水和營養不良，還有免疫系統紊亂，,
106,,張郃,看來是因為長期的囚禁和虐待造成的……,
107,,曹操,如果我們能再早一些……,
108,,張郃,我們已經盡力了，沒有你，風紀委員會自己是做不到的……,
109,,曹操,噓。,
110,,漢獻帝,……,
111,,曹操,嗨，沒事了，沒事了……都過去了。,
112,,曹操,以後你可以和我們一樣，自由自在地走在校園裡，不用怕，不會再有人欺負你了……,
113,,漢獻帝,……救，救，,
114,,漢獻帝,（哭泣）救救我……,
115,,曹操,沒事，以後我會保護妳的。,
116,新的威脅,,董卓幫倒臺，身為最大功臣的曹操，獲得風紀委員會的名譽頭銜，成為委員會，乃至整個學園的風雲人物。,
117,,,新曆 121年，新的學年開始……,
118,,,隨著新一批學員走進校門，曹操敏銳地察覺到，\n一股新的威脅正在醞釀——,
119,,風紀委員,風紀委員會在此巡查，所有人都過來，接受巡查登記！,
120,,漢獻帝,曹操……,
121,,曹操,沒事的，不過是臨檢而已，不會有事啦～,
122,,張郃,曹操，有點不對勁……,
123,,漢獻帝,（大口喘氣）,
124,,曹操,漢獻帝，你怎麼了……什麼？,
125,,被感染的學員,啊啊啊啊啊啊啊啊！！！,
126,,曹操,嘖，偏偏在這個時候……,
127,,張郃,風紀委員，準備退治！,
128,,,戰鬥進行得高效又迅速。,
129,,,這個時候的混沌體徵感染，還沒有造成太大的威脅。,
130,,,因此，曹操也忽略了，身邊人正遭受的影響……,
131,,漢獻帝,（痛苦）哈……哈……,
132,,曹操,漢獻帝，你到底是……怎，怎麼了？,
133,,漢獻帝,（痛苦）亂臣……賊子……,
134,,曹操,什麼？,
135,,漢獻帝,（瘋狂）去死吧——,
136,,曹操,啊————哼！！,
137,,曹操,你這小鬼，搞什麼！！,
138,,漢獻帝,哼！！,
139,,曹操,這，這到底……,
140,惶惑,,名為「混沌體徵」的感染事件不斷爆發，卻沒有人對此有清楚印象，,
141,,,一時之間，學員們惶惶不安，人人自危。,
142,,,而在風紀委員會乃至整個學園都最需要她的時候，\n曹操卻在執著地尋找著漢獻帝的下落，,
143,,曹操,（漢獻帝，你會不會，也變成這樣了，甚至更……）,
144,,曹操,（你是我的責任，我的……我一定要，找到你……）,
145,,曹操,（……希望，還來得及……）,
146,,,為了遏止曹操的一意孤行，米迦勒派出手下陪同並監督曹操的工作，,
147,,,劉備，那個沒有人能看透的風紀委員，\n也是曹操，最為忌憚的人——,
148,,劉備,曹操同學，等等。,
149,,張郃,劉備學姐，讓曹操同學休息一下。,
150,,劉備,可是我們還要查清楚被感染者的身份作登記，\n這是會長明確要求的。,
151,,曹操,（疲憊）哼～呵呵呵呵……,
152,,劉備,曹操同學，你……你笑什麼？,
153,,曹操,（疲憊）我笑什麼？,
154,,曹操,我是沒想到米迦勒會長是個耿直的笨蛋，劉備同學也在這裡裝傻？,
155,,曹操,混沌體徵的爆發……呈現出群體傳染的特徵……這和她們的名字、性格、血型，還有……星座，都沒關係，,
156,,曹操,他們去了哪，有什麼交集，共同的分院、班級，或者宿舍……這才是關鍵……,
157,,劉備,嗯……,
158,,曹操,（疲憊）你們接著查，我，還有事……,
159,,劉備,但是曹操同學，萬一……,
160,,曹操,（狂暴）啊啊啊啊啊啊啊啊！！！,
161,,張郃,（驚訝）曹操同學……,
162,,劉備,……,
163,,,日以繼夜的戰鬥搜索，和越來越多的負面情緒。,
164,,,這一刻，少女清楚，自己已經是強弩之末……,
165,,曹操,（疲憊）……我失態了。,
166,,曹操,劉備……\n管好你自己的事情，也不要擋著我的路。,
167,,曹操,我對你們風紀委員會的小把戲，\n沒有興趣……,
168,歸於灰燼,,不眠不休的追尋，終於有了結果。\n但是看著眼前的一切，曹操明白，已經太遲了。,
169,,,此時的漢獻帝已經陷入徹底的瘋狂。,
170,,,在混沌體徵的影響下，她瘋狂地傷害著、破壞著一切，甚至包括自己——,
171,,漢獻帝,破滅吧！燃燒吧！一切，一切都——不\n一切早就結束啦！哈哈哈哈哈！！,
172,,曹操,漢獻帝——,
173,,曹操,我知道你現在不會理解……\n但是我，我會拯救你的！\n再一次……,
174,,漢獻帝,咦，這不是……？,
175,,漢獻帝,看呐，曹操來救我啦！,
176,,漢獻帝,來啊，再一次奪走我，多美好的戰利品啊～,
177,,曹操,你在說什麼，這是混沌體徵的影響……,
178,,漢獻帝,我從沒這麼清醒過！我看到了一切……還看到了你……你！！,
179,,漢獻帝,你！怎！麼！敢！再出現在，我面前……,
180,,曹操,……我一定會拯救你的！,
181,,漢獻帝,拯救？？就是你……！！,
182,,漢獻帝,……奪走了……我的一切……,
183,,曹操,（震驚）……,
184,,,鮮明的畫面出現在曹操眼前：\n遙遠的江面上，燃起一團團熊熊大火。\n無數人的哭喊聲縈繞於耳。,
185,,曹操,（震驚）這……這究竟……,
186,,曹操,這是……我嗎？,
187,階下之囚,,鐐銬晃動的聲音傳來……,
188,,風紀委員,按住她！就趁現在！！,
189,,曹操,（驚醒）！？,
190,,風紀委員,停下！曹操同學！,
191,,風紀委員,停下！,
192,,曹操,（震驚）……怎麼回事？,
193,,劉備,……,
194,,張郃,……,
195,,曹操,怎麼回事……說啊！！,
196,,劉備,……你被感染了。,
197,,曹操,我被……這，這怎麼可能？,
198,,曹操,我找到了漢獻帝，我要救她！我當時在……,
199,,劉備,擊倒漢獻帝以後，你就崩潰了。,
200,,張郃,（悲傷）你開始大叫，還攻擊……所有人，,
201,,曹操,（震驚）！？,
202,,曹操,是……,
203,,曹操,……是嗎。,
204,,劉備,大家一起制伏了你，多虧了張郃同學，她最瞭解你了。,
205,,張郃,……,
206,,劉備,既然你醒了，我也要回去彙報了。,
207,,劉備,好好想想吧，名譽委員曹操，\n我們的大明星～,
208,,曹操,……,
209,脫逃,,隨著混沌體徵的加深，曹操看到了不一樣的自己。,
210,,,身處皇城之巔，不可一世的自己；\n手刃一戶善良百姓，異常歹毒的自己；\n為了兌現自己的承諾，斬去一頭長髮的自己；,
211,,,以及在江邊的沖天大火中倖存，狼狽地流著淚逃回故鄉的自己……,
212,,曹操,這是……,
213,,曹操,這是……這是我……我，是我？,
214,,曹操,我是誰，我是曹操？曹操是誰？我？不，不是……是的！,
215,,曹操,不是的，這不對……是的，是我，是我……,
216,,曹操,曹操，我是曹操？曹操又是誰……曹操，曹操，曹操……,
217,,張郃,曹操，曹操……曹操同學！,
218,,曹操,（震驚）！？,
219,,張郃,曹操同學……你還好嗎？,
220,,曹操,（震驚）我是曹操……對，我……,
221,,曹操,張郃。,
222,,風紀委員,張郃同學，不要和羈押者接觸太久！,
223,,張郃,總要吃飯嘛，真是的～,
224,,張郃,（低聲）你現在怎麼樣，能動了嗎？,
