id,title,name,dialog,select_text
1,新學妹,學妹們,聽說馬上要有新學妹入學了！,
2,,學妹們,會是什麼樣的人呢，真好奇啊~,
3,,貂蟬,未來的事情等到未來不就知道了~但是現在~,
4,,貂蟬,趕緊回教室去！你們……不會不想上我的課吧！,
5,,學妹們,好……好可怕……,
6,,,喧鬧的走廊瞬間安靜了下來。,
7,,貂蟬,請等一下。,
8,,*,誒？是在叫我嗎？,
9,,貂蟬,不要裝傻了，現在的走廊上除了你還有誰嗎？,
10,,*,貂……貂蟬老師，請問有什麼事嗎？,
11,,貂蟬,這麼害怕？是擔心我會……吃、掉、你嗎？,
12,,*,誒！！！,
13,,貂蟬,想必你也聽說了，馬上就有新學妹入學了，可是我太忙了……,
14,,貂蟬,還沒準備好給她們的學習用品……,
15,,貂蟬,真令人發愁啊，能不能拜託給你呢~,
16,,*,只是……這樣嗎？,
17,,貂蟬,嗯？所以你想在哪裡被我吃掉呢~,
18,,貂蟬,還真是期待呢~,
19,,*,！！我馬上去辦！,
20,,貂蟬,哎呀哎呀，人家話還沒說完呢~真討厭~,
21,,,離商店街還有些距離時，就聽見了嘈雜的吵鬧聲。,
22,,,遠遠望去，有個嬌小的黑色身影身處人群中心。,
23,,老闆,小妹妹，你這是準備走了嗎？買東西是需要付錢的哦~,
24,,雅各,對不起，我……我不瞭解……,
25,,老闆,霸王餐可吃不得哦，不如……來我店裡當女僕吧~,
26,,老闆,看看這翅膀和惡魔角，連道具錢都省下來了呢~,
27,,老闆,不過可惜，只有一半翅膀，得給你補上一邊呢。,
28,,*,惡魔角、一半的翅膀……是雅各？！,
29,,*,借過，借過，麻煩讓一下。,
30,,*,老闆，我是她的哥哥。請問要付多少錢，我來買單。,
31,,老闆,嘖！哪裡來的不識趣的路人……,
32,,*,誒！難道不是沒有立繪的你更路人嗎？？我可是*！,
33,,老闆,哼，在這商店街上，還沒有人敢在我面前稱*。,
34,,老闆,給我上！讓他嘗嘗被揍的滋味！他現在，可沒帶一個學妹~,
35,,雅各,誰說的！「哥哥」，我來幫忙！,
36,,老闆,可惡！竟然這麼強！如果……如果她是我店裡的女僕……,
37,,*,別想了！你這個惡臭的癡漢！,
38,,*,又見面了，漆黑的反叛者——,
39,,老闆,住口啊！你串戲了啊喂！,
40,,*,對不起！這段重來……漆黑的少女——雅各~,
41,,雅各,誒誒！你知道我的名字嗎？？,
42,,雅各,剛剛還以我的哥哥自居……果然你是真的癡……,
43,,*,不要把那個詞說出口啊！我們曾經見過面的啊！,
44,,雅各,是嗎？？我……不記得了呢。,
45,,*,就是在風紀委員會啊！你曾經對呂布……這樣那樣，還對真知水晶……,
46,,雅各,呂布？對不起……我可能不理解你說的是誰……但是真知水晶……,
47,,雅各,啊！是姐姐！,
48,,,應聲向前方看去，視野裡出現了一個純白的身影。,
49,,,白色的長髮、裙擺、翅膀，還有……和雅各鏡面倒映一般的臉……,
50,,*,果然出現了！純白的少女——以掃~,
51,姐姐？,以掃,雅各，我回來了！,
