id,name_type,text
1,1,永遠
2,1,樂園
3,1,快晴
4,1,魔法
5,1,西洋
6,1,星幽
7,1,科學
8,1,信者
9,1,夢幻
10,1,妖怪
11,1,吸血
12,1,鮮血
13,1,宵闇
14,1,惡魔
15,1,黑色
16,1,白色
17,1,魔界
18,1,湖上
19,1,不明
20,1,瀟灑
21,1,危險
22,1,箱庭
23,1,凶兆
24,1,七色
25,1,幽人
26,1,蒼天
27,1,白雪
28,1,熾焰
29,1,幸運
30,1,狂氣
31,1,漆黑
32,1,業火
33,1,幻象
34,1,滿月
35,1,蓬萊
36,1,須臾
37,1,赤目
38,1,風暴
39,1,幻惑
40,1,嫉妒
41,1,貪婪
42,1,暴怒
43,1,暴食
44,1,破滅
45,1,地獄
46,1,天堂
47,1,神社
48,1,地底
49,1,忠誠
50,1,太古
51,1,閃耀
52,1,黑衣
53,1,白髮
54,1,假面
55,1,紅髮
56,1,秩序
57,1,黑白
58,1,幼小
59,1,夢見
60,1,不死
61,1,永生
62,1,終末
63,1,叛逆
64,1,異界
65,1,教團
66,1,孤高
67,1,鷹眼
68,1,冥靈
69,1,普通
70,1,冰冷
71,1,鮮紅
72,1,魔咒
73,1,迷途
74,1,死
75,1,冰
76,1,火
77,1,赤
78,1,青
79,2,鈴木
80,2,佐藤
81,2,高橋
82,2,中村
83,2,渡辺
84,2,伊藤
85,2,小林
86,2,山本
87,2,加藤
88,2,吉田
89,2,山田
90,2,井上
91,2,斎藤
92,2,木村
93,2,松本
94,2,山口
95,2,池田
96,2,岡田
97,2,橋本
98,2,小川
99,2,石川
100,2,近藤
101,2,石井
102,2,阿部
103,2,中島
104,2,山崎
105,2,青木
106,2,藤田
107,2,太田
108,2,後藤
109,2,藤井
110,2,前田
111,2,村上
112,2,岡本
113,2,原田
114,2,小野
115,2,中川
116,2,西村
117,2,竹內
118,2,福田
119,2,松田
120,2,田村
121,2,山下
122,2,中野
123,2,石田
124,2,金子
125,2,高木
126,2,中山
127,2,遠藤
128,2,三浦
129,2,柴田
130,2,上田
131,2,野村
132,2,酒井
133,2,今井
134,2,安藤
135,2,阪本
136,2,橫山
137,2,內田
138,2,大野
139,2,宮崎
140,2,森田
141,2,市川
142,2,藤原
143,2,斉藤
144,2,小島
145,2,松井
146,2,桜井
147,2,村田
148,2,水野
149,2,平野
150,2,島田
151,2,服部
152,2,宮本
153,2,上野
154,2,北村
155,2,河野
156,2,永井
157,2,杉山
158,2,野口
159,2,大塚
160,2,木下
161,2,丸山
162,2,松尾
163,2,小山
164,2,高田
165,2,岩崎
166,2,工藤
167,2,秋山
168,2,大島
169,2,藤本
170,2,內藤
171,2,増田
172,2,菊池
173,2,飯田
174,2,吉村
175,2,西川
176,2,黒田
177,2,穀口
178,2,大橋
179,2,広瀬
180,2,大西
181,2,淺野
182,2,石原
183,2,松村
184,2,安田
185,2,沢田
186,2,吉川
187,2,三宅
188,2,土屋
189,2,矢野
190,2,川崎
191,2,中西
192,2,岩田
193,2,西田
194,2,浜田
195,2,福島
196,2,小松
197,2,荒木
198,2,田辺
199,2,古川
200,2,杉本
201,2,小沢
202,2,川村
203,2,片山
204,2,平井
205,2,星野
206,2,千葉
207,2,大穀
208,2,川上
209,2,松岡
210,2,高野
211,2,樋口
212,2,大森
213,2,菅原
214,2,平田
215,2,小池
216,2,田口
217,2,松浦
218,2,本田
219,2,奧田
220,2,永田
221,2,青山
222,2,山內
223,2,河合
224,2,菊地
225,2,早川
226,2,牧野
227,2,八木
228,2,岡崎
229,2,吉岡
230,2,片岡
231,2,橫田
232,2,北川
233,2,尾崎
234,2,川口
235,2,馬場
236,2,川島
237,2,荒井
238,2,大沢
239,2,松原
240,2,本間
241,2,宮田
242,2,山中
243,2,岡村
244,2,小西
245,2,森本
246,2,內山
247,2,今村
248,2,奧村
249,2,津田
250,2,富田
251,2,佐伯
252,2,石橋
253,2,林
254,2,森
255,2,田
256,2,関
257,2,野
258,2,堀
259,2,辻
260,2,保
261,2,岡
262,2,穀
263,2,南
264,4,巫女
265,4,少女
266,4,女僕
267,4,劍士
