id,desc,tips
1,"每進行{2}次裝扮採購（包含裝扮限時採購），勇氣、魅力、知識都+{3}（此效果觸發上限{1}次,已進行{4}次裝扮採購）",
2,升級或轉換水晶時，水晶刻刀的消耗量減少{1}%%,
3,在商店街-福利社中購買商品時，有{1}%%機率返還{2}%%的消耗,觸發個性裝扮特殊加成，已返還部分此次購買商品所消耗的道具
4,在招生中每次進行10連招生時，有{1}%%機率返還1個印章,觸發個性裝扮特殊加成，已返還1個印章
5,在高級扭蛋或心願扭蛋中每次使用高級扭蛋幣進行10連扭蛋時，有{1}%%機率返還1個高級扭蛋幣,觸發個性裝扮特殊加成，已返還1個高級扭蛋幣
6,在約會-禮物製作中，每製作1個禮物就有{1}%%機率額外製作1個,觸發個性裝扮特殊加成，製作了額外的禮物
7,在領取宿舍舒適度獎勵時，有{1}%%機率額外獲得{2}%%的道具獎勵,觸發個性裝扮特殊加成，獲得了額外的道具獎勵
8,在領取每日簽到獎勵時，有{1}%%機率額外獲得{2}%%的道具獎勵,觸發個性裝扮特殊加成，獲得了額外的道具獎勵
9,在普通販賣機中進行摸彩時，有{1}%%機率額外獲得{2}%%的兌獎券,觸發個性裝扮特殊加成，獲得了額外的兌獎券
10,在領取掛機獎勵時，有{1}%%機率額外獲得{2}%%的金幣產出,觸發個性裝扮特殊加成，獲得了額外的金幣產出
11,在領取掛機獎勵時，有{1}%%機率額外獲得{2}%%的經驗飲料產出,觸發個性裝扮特殊加成，獲得了額外的經驗飲料產出
12,在收取好友愛心時，每收取1個愛心就有{1}%%機率額外收取1個,觸發個性裝扮特殊加成，獲得了額外的愛心
13,在領取每日免費1次的點金手獎勵時，有{1}%%機率額外獲得1次點金手免費領取機會（每日最多觸發1次）,觸發個性裝扮特殊加成，獲得了額外的1次點金手免費領取機會
14,在綺幻手冊中領取任務獎勵時，有{1}%%機率額外獲得{2}%%的殘頁,觸發個性裝扮特殊加成，獲得了額外的殘頁
15,在進行離線掛機時，在超過12小時的{1}分鐘內，仍可獲得掛機收益,
16,戰姬攜帶數量上限增加{1}個,
17,在終極聯賽中每次進行挑戰時，有{1}%%機率返還1張競技場門票,觸發個性裝扮特殊加成，已返還1張競技場門票
18,在進行社團每日簽到時，額外獲得{1}個社團幣,觸發個性裝扮特殊加成，獲得了額外的社團幣
19,在進行日常測驗·金幣測驗時，獲得金幣的數量增加{1}%%,
20,在進行日常測驗·經驗測驗時，獲得經驗飲料的數量增加{1}%%,
21,在時間迴廊中進行觀測結算時，獲得對應迴廊星空碎片的數量提升{1}%%,觸發個性裝扮特殊加成，獲得了額外的星空碎片
22,在時間迴廊中進行觀測結算時，有{1}%%機率額外獲得{2}%%的補給獎勵,觸發個性裝扮特殊加成，獲得了額外的補給獎勵
23,成功挑戰書靈秘境關卡時，有{1}%%機率額外獲得{2}%%的秘境幣,觸發個性裝扮特殊加成，獲得了額外的秘境幣
24,在守護校園商人處購買商品時，有{1}%%機率返還{2}%%的消耗,觸發個性裝扮特殊加成，已返還部分此次購買商品所消耗的道具
25,領取探秘舊校舍的樓層獎勵時，有{1}%%機率額外獲得{2}%%的入門課程資料,觸發個性裝扮特殊加成，獲得了額外的入門課程資料
26,在退治小隊結算獎勵時，額外獲得{1}%%的水晶刻刀,
27,成功擊殺好友BOSS時，有{1}%%機率額外獲得{2}%%的擊殺獎勵,觸發個性裝扮特殊加成，獲得了額外的擊殺獎勵
28,在精美禮包中領取日禮包的免費檔位獎勵時，有{1}%%機率獲得雙倍獎勵,觸發個性裝扮特殊加成，獲得了雙倍道具獎勵
29,在進行戰姬轉學時，有{1}%%機率額外獲得{2}%%的同學錄,觸發個性裝扮特殊加成，獲得了額外的同學錄
30,領取日常測驗·金幣測驗的獎勵時，有{1}%%機率獲得雙倍獎勵,觸發個性裝扮特殊加成，獲得了額外的金幣測驗獎勵
31,領取日常測驗·經驗測驗的獎勵時，有{1}%%機率獲得雙倍獎勵,觸發個性裝扮特殊加成，獲得了額外的經驗測驗獎勵
32,領取日常測驗·戰姬測驗的獎勵時，有{1}%%機率獲得雙倍獎勵,觸發個性裝扮特殊加成，獲得了額外的戰姬測驗獎勵
33,在學院考核中購買考核憑證時，有{1}%%機率返還{2}%%的鑽石消耗,觸發個性裝扮特殊加成，已返還部分此次購買商品所消耗的道具
34,在展示櫥窗中領取評分獎勵時，有{1}%%機率額外獲得{2}%%的金屬吊牌,觸發個性裝扮特殊加成，獲得了額外的金屬吊牌
35,在招生中每次進行招生時，有{1}%%機率額外獲得{2}%%的檔案袋,觸發個性裝扮特殊加成，獲得了額外的檔案袋
36,在高級扭蛋中每次進行扭蛋時，有{1}%%機率獲得雙倍金蛋能量,觸發個性裝扮特殊加成，獲得了額外的金蛋能量
