id,desc
1000101,每進行20次裝扮採購（包含裝扮限時採購），勇氣、魅力、知識都+1（此效果觸發上限25次）
1000102,每進行20次裝扮採購（包含裝扮限時採購），勇氣、魅力、知識都+1（此效果觸發上限30次）
1000103,每進行20次裝扮採購（包含裝扮限時採購），勇氣、魅力、知識都+1（此效果觸發上限40次）
1000104,每進行20次裝扮採購（包含裝扮限時採購），勇氣、魅力、知識都+1（此效果觸發上限55次）
1000105,每進行20次裝扮採購（包含裝扮限時採購），勇氣、魅力、知識都+1（此效果觸發上限75次）
1000106,每進行20次裝扮採購（包含裝扮限時採購），勇氣、魅力、知識都+1（此效果觸發上限100次）
1000201,升級或轉換水晶時，水晶刻刀的消耗量減少1%
1000202,升級或轉換水晶時，水晶刻刀的消耗量減少2%
1000203,升級或轉換水晶時，水晶刻刀的消耗量減少3%
1000204,升級或轉換水晶時，水晶刻刀的消耗量減少4%
1000205,升級或轉換水晶時，水晶刻刀的消耗量減少5%
1000206,升級或轉換水晶時，水晶刻刀的消耗量減少7%
1000207,升級或轉換水晶時，水晶刻刀的消耗量減少0.2%
1000208,升級或轉換水晶時，水晶刻刀的消耗量減少0.2%
1000209,升級或轉換水晶時，水晶刻刀的消耗量減少0.2%
1000210,升級或轉換水晶時，水晶刻刀的消耗量減少0.2%
1000211,升級或轉換水晶時，水晶刻刀的消耗量減少0.2%
1000301,在商店街-福利社中購買商品時，有4%機率返還20%的消耗（同類效果機率累加）
1000302,在商店街-福利社中購買商品時，有7%機率返還20%的消耗（同類效果機率累加）
1000303,在商店街-福利社中購買商品時，有10%機率返還20%的消耗（同類效果機率累加）
1000304,在商店街-福利社中購買商品時，有14%機率返還20%的消耗（同類效果機率累加）
1000305,在商店街-福利社中購買商品時，有18%機率返還20%的消耗（同類效果機率累加）
1000306,在商店街-福利社中購買商品時，有25%機率返還20%的消耗（同類效果機率累加）
1000307,在商店街-福利社中購買商品時，有1%機率返還20%的消耗（同類效果機率累加）
1000308,在商店街-福利社中購買商品時，有1%機率返還20%的消耗（同類效果機率累加）
1000309,在商店街-福利社中購買商品時，有1%機率返還20%的消耗（同類效果機率累加）
1000310,在商店街-福利社中購買商品時，有1%機率返還20%的消耗（同類效果機率累加）
1000311,在商店街-福利社中購買商品時，有1%機率返還20%的消耗（同類效果機率累加）
1000401,在招生中每次進行10連招生時，有2%機率返還1個印章（同類效果機率累加）
1000402,在招生中每次進行10連招生時，有3%機率返還1個印章（同類效果機率累加）
1000403,在招生中每次進行10連招生時，有4%機率返還1個印章（同類效果機率累加）
1000404,在招生中每次進行10連招生時，有5.5%機率返還1個印章（同類效果機率累加）
1000405,在招生中每次進行10連招生時，有7%機率返還1個印章（同類效果機率累加）
1000406,在招生中每次進行10連招生時，有10%機率返還1個印章（同類效果機率累加）
1000407,在招生中每次進行10連招生時，有0.5%機率返還1個印章（同類效果機率累加）
1000408,在招生中每次進行10連招生時，有0.5%機率返還1個印章（同類效果機率累加）
1000409,在招生中每次進行10連招生時，有0.5%機率返還1個印章（同類效果機率累加）
1000410,在招生中每次進行10連招生時，有0.5%機率返還1個印章（同類效果機率累加）
1000411,在招生中每次進行10連招生時，有0.5%機率返還1個印章（同類效果機率累加）
1000501,在高級扭蛋或心願扭蛋中每次使用高級扭蛋幣進行10連扭蛋時，有2%機率返還1個高級扭蛋幣（同類效果機率累加）
1000502,在高級扭蛋或心願扭蛋中每次使用高級扭蛋幣進行10連扭蛋時，有3%機率返還1個高級扭蛋幣（同類效果機率累加）
1000503,在高級扭蛋或心願扭蛋中每次使用高級扭蛋幣進行10連扭蛋時，有4%機率返還1個高級扭蛋幣（同類效果機率累加）
1000504,在高級扭蛋或心願扭蛋中每次使用高級扭蛋幣進行10連扭蛋時，有5.5%機率返還1個高級扭蛋幣（同類效果機率累加）
1000505,在高級扭蛋或心願扭蛋中每次使用高級扭蛋幣進行10連扭蛋時，有7%機率返還1個高級扭蛋幣（同類效果機率累加）
1000506,在高級扭蛋或心願扭蛋中每次使用高級扭蛋幣進行10連扭蛋時，有10%機率返還1個高級扭蛋幣（同類效果機率累加）
1000507,在高級扭蛋或心願扭蛋中每次使用高級扭蛋幣進行10連扭蛋時，有0.5%機率返還1個高級扭蛋幣（同類效果機率累加）
1000508,在高級扭蛋或心願扭蛋中每次使用高級扭蛋幣進行10連扭蛋時，有0.5%機率返還1個高級扭蛋幣（同類效果機率累加）
1000509,在高級扭蛋或心願扭蛋中每次使用高級扭蛋幣進行10連扭蛋時，有0.5%機率返還1個高級扭蛋幣（同類效果機率累加）
1000510,在高級扭蛋或心願扭蛋中每次使用高級扭蛋幣進行10連扭蛋時，有0.5%機率返還1個高級扭蛋幣（同類效果機率累加）
1000511,在高級扭蛋或心願扭蛋中每次使用高級扭蛋幣進行10連扭蛋時，有0.5%機率返還1個高級扭蛋幣（同類效果機率累加）
1000601,在約會-禮物製作中，每製作1個禮物就有2%機率額外製作1個（同類效果機率累加）
