id,title,text
1,功能說明,戰役|派遣戰姬小隊進入戰役，進行掛機和完成戰鬥事件。在戰役中您可以獲得學長經驗、經驗飲料、金幣、裝備等獎勵。||上頂樓|上頂樓由層層敵人看管，戰勝他們後您將獲得大量戰姬便當和強力裝備。達到一定的樓層後還能夠獲得5星的戰姬。層數越多，挑戰越多。||競技場|挑戰競技場中其他的學長！獲得勝利後將增加積分，並贏得大量免費鑽石！||扭蛋|獲取新戰姬的最快途徑。大量累積的扭蛋幣就可以免費進行戰姬召喚。召喚能量達到滿級，即可隨機召喚一名五星戰姬。||升學|戰姬升星的必經之路。在升學中提升星戰姬的星級，最高可提升到6星。集滿所需要的材料戰姬，就能在升學中為戰姬升星，升星後被使用的材料戰姬將退還對應價值的經驗飲料和戰姬便當，其所穿戴的裝備將返回背包。擁有的戰姬越多，提升戰姬星級的機會越多！||轉學|當您擁有閒置無用的戰姬時，可以去轉學將他們轉學走。轉學走的戰姬可獲得一定價值的經驗飲料、戰姬便當、水晶刻刀、同學錄等材料，被轉學走戰姬的裝備、水晶和魂器將返回背包。轉學戰姬得到的同學錄能夠在轉學商店兌換戰姬，同學錄有時候也可以透過活動出售的禮包獲得！||裝備合成|透過裝備合成把低級裝備合成為高級裝備。穿戴完整套裝將啟動套裝屬性！注意：已穿戴的裝備將不會在裝備合成顯示。||販賣機|在販賣機中使用販賣幣將有機會獲取戰姬碎片、裝備、魂器以及大量的金幣、經驗飲料等道具，祝您好運常伴，大獎不斷！||福利社|在福利社中會定時刷新出經驗飲料、戰姬便當、戰姬碎片、裝備、扭蛋幣、競技場門票、印章、水晶刻刀等道具。||招生|在招生中可以進行指定陣營的召喚！使用印章可以在指定的陣營進行召喚，有機率獲得該陣營4星、5星戰姬以及4星、5星戰姬碎片（印章可以透過打工任務獲得；還可以透過活動兌換獲取；不定期的活動禮包也會出售印章）。每次召喚後會額外獲得檔案袋。您可以使用一定檔案袋將一個陣營的戰姬置換成同陣營的其他戰姬。注意：只有4星、5星非辰星修羅陣營的戰姬才能進行置換。||打工|打工會每隔24小時定時刷新出不同星級的戰姬任務。完成戰姬任務將獲得豐厚的獎勵！您可以透過花費鑽石刷新改變任務星級，也可以花費鑽石加速完成任務。使用打工任務卷軸可增加戰姬任務(刷新後，未執行的使用卷軸增加的打工任務會被重置)。打工任務卷軸在掛機中有機率獲得。||使魔|使魔是戰姬們戰鬥時的好夥伴，馴養的使魔可在出戰時進行上陣。上陣的使魔不僅會給予戰姬屬性加成，還可以在戰鬥中釋放獨特的主動技能。收集使魔餅乾和精華餅乾可以餵養使魔，使牠成長甚至進化。
2,關卡說明,總覽|戰役的地圖分為普通、困難、極限、幻境四種難度，每種難度下包含多個關卡。四個難度需要依次解鎖。||解鎖關卡|來到新關卡等待足夠的探索時間後會觸發戰鬥事件。完成戰鬥事件和自身等級達到進入下一關卡條件時，可點擊前往下一關。||解鎖地區&地圖|當您通關一個地區的所有關卡後，解鎖下一個地區;當您通關一種難度模式的所有關卡後，解鎖下一種難度模式。||戰鬥事件|進入一個新的關卡會觸發該關卡對應的戰鬥事件，通關戰鬥事件後可獲取豐厚的獎勵。||掛機|掛機產生的收益隨時間遞增。您最長可以掛機10個小時，超過10小時將不再獲取掛機收益。所以請記得在10小時內回來領取你的掛機收益哦！||產出&獲取|關卡固定產出學長經驗、金幣和經驗飲料，您可以透過掛機來獲取這三種收益，關卡難度模式越高和進度越往後，所獲得的這三種收益越高。VIP等級會對應的增加這三個資源的掉落。||掉落&戰利品|你可以在物品掉落資訊裡查詢當前關卡可能掉落的物品，當您前往某個關卡進行掛機時，將有機率獲得該關卡掉落的道具，已獲得的掉落道具在戰利品裡查看。
3,戰鬥,戰前站位|通常站在前排的戰姬比站在後排的戰姬更容易受到攻擊，您需要根據戰姬的職業合理的調整戰姬的站位，才能使戰姬在戰鬥中存活的時間更長。||陣營克制|戰姬之間存在陣營的克制關係。在戰前根據敵人上陣的戰姬來調整己方隊伍來盡可能發揮出優勢。||陣營光環|上陣6名相同陣營的戰姬或是6個完全不同陣營的戰姬都將啟動強大的光環效果。||戰鬥勝負判定|戰鬥回合超過15回合將判定進攻方戰鬥失敗。在限定回合內擊敗所有敵方戰姬判定戰鬥勝利，己方所有戰姬被敵人擊敗判定戰鬥失敗。||攻擊|戰姬的攻擊越高，進行攻擊時對敵人造成的傷害越高。||血量|戰姬的血量越多，在戰鬥中存活時間越長。||護甲值|戰姬的護甲值越高，敵方對戰姬造成的傷害越低。||速度|速度決定每回合戰姬的出手順序，戰姬的速度越高，每回合出手的順序越靠前，同方速度相同，站位（上陣排序）靠前的戰姬先出手。||額外技能傷害率|額外技能傷害率是對技能傷害的額外加成，額外技能傷害率越高，技能造成的傷害越大，僅對基於攻擊者自身攻擊力計算的傷害有效，且僅對攻擊者主動技能生效。||格擋|決定格擋機率，格擋成功減少30%傷害，如果是暴擊傷害額外減少20%，減傷僅對基於攻擊者自身攻擊力計算的傷害有效。||精準|降低格擋機率，同時每1%精準增加0.3%傷害，最高增加45%傷害，增傷僅基於攻擊者自身攻擊力計算的傷害有效。||暴擊|決定暴擊率的機率，戰姬暴擊越高，觸發暴擊的機率越大；暴擊成功，基礎暴擊造成150%傷害。被動技能無法暴擊。||暴擊抵抗|減少被觸發暴擊的機率，戰姬暴擊抵抗越高，被攻擊觸發暴擊的機率越小。||暴擊傷害|觸發暴擊時造成的傷害，戰姬暴擊傷害越高，暴擊成功後造成的傷害越多，最高累加上限為150%。||破甲值|抵消攻擊目標的固定護甲值，戰姬的破甲值越高，抵消敵人的護甲值越多，上限為100%。||免控率|免於被敵人控制的機率，和控制率為分別計算，因此比如50%的控制率對70%的免控率也是有可能控制的。||增控率|增加敵人被控制的機率，同時可抵消敵人的免控率。||減傷率|降低受到的傷害，上限為70%，減傷僅對基於攻擊者自身攻擊力計算的傷害有效。||神聖傷害|額外造成無視護甲的傷害，但會被減傷率降低傷害。||全傷害減免|降低受到的所有種類的傷害，獨立於免傷率進行計算，上限為70%。||閃避|決定閃避機率，閃避成功時，可免於受到敵人主動技能和普通攻擊的攻擊效果和傷害（使魔的技能效果和傷害無法閃避）||能量|初始為50點，普通攻擊增加50點，被攻擊增加10點，被暴擊增加20點，滿100點時可釋放主動技能，超過100時，每溢出1點按1%技能傷害率對主動技能進行加成||能量扣除抵抗|減少來源於敵人的能量扣除效果，按照百分比減少被扣除的能量數值||戰鬥中的數字顏色|白色數字表示未暴擊並且陣營未克制時的傷害數值。黃色數字表示陣營克制但未暴擊時的傷害數值。紅色數字表示暴擊時的傷害數值（無論陣營克制與否）。綠色數字表示受到的恢復效果數值。||技能特效|標註「技能特效」的技能無法被擁有「清除負面效果」和「清除增益效果」的潜能或技能清除。
4,戰姬的獲取方法,戰鬥掉落|在戰役中掛機、通關戰鬥事件、每日參與活動副本--戰姬挑戰以及挑戰上頂樓會有機率掉落戰姬碎片。||商店購買|在福利社、販賣機商店、轉學商店中會出售戰姬碎片。||扭蛋|在扭蛋中透過使用愛心、扭蛋幣、鑽石等道具進行召喚能快速獲取新的戰姬。||招生|在招生中可以使用印章召喚獲得戰姬碎片。||販賣機|在販賣機使用販賣幣進行許願有機率獲得戰姬碎片。||打工任務|在打工中有機率出現獎勵為戰姬碎片的戰姬任務，完成戰姬任務後將獲得一定數量的戰姬碎片。||好友BOSS|戰勝好友BOSS會獲得一定數量的戰姬碎片。
5,戰姬訓練方式,"戰姬升級|使用經驗飲料來提升戰姬的等級。||戰姬進階|當戰姬等級達到上限，可使用戰姬便當來提升戰姬的位階。||戰姬升星|當戰姬等級和位階升滿後,可在升學為其升星，升星後將提升戰姬的屬性，並且戰姬等級、裝備和位階都將保留。||戰姬覺醒|使用材料戰姬使6星戰姬以上的覺醒，覺醒將提升戰姬的星級、屬性以及強化戰姬被動技能，被使用的戰姬將退還一定數量的經驗飲料。||穿戴裝備和魂器|給戰姬穿戴裝備和魂器來提升戰姬的戰鬥力，裝備和魂器的星級和品質越高，給戰姬增加的戰鬥力越多。||升級水晶|透過升級和轉化戰姬身上的水晶，來提高戰姬的能力，升級和轉化需要使用一定數量的水晶刻刀和金幣。||精英技能|達到10星的戰姬，透過升級精英技能，可以提高戰姬的戰鬥力；升級精英技能需要消耗一定數量的「入門課程資料」和「絕密課程資料」。"
6,戰姬的分類,"職業|戰姬根據其職業分為戰士、法師、遊俠、刺客、牧師5種職業。戰士職業血高防厚但攻擊較低，適合在前排承受傷害；法師職業和遊俠職業血量和防禦較低但攻擊較高，多為群體攻擊，適合在後排輸出傷害;刺客職業血量和防禦較低但攻擊很高，多為單體攻擊,適合在後排輸出傷害；牧師職業血量、攻擊、防禦較低，但多有加血和控制技能,適合在後排輔助。||星級|戰姬有初始星級。最高為5星。戰姬的星級越高，基礎屬性越高，技能越強力。戰姬升學和覺醒可以提升戰姬的星級。||陣營|戰姬陣營一共劃分為修羅、辰星、曇華、隱蹤、神威、風見6種陣營。陣營間克制關係：曇華克制隱蹤，隱蹤克制神威，神威克制風見，風見克制曇華，修羅與辰星相互克制。對被克制的戰姬將多造成30%傷害和增加15%精準。"
7,裝備和魂器,"裝備和魂器的品質|裝備和魂器根據顏色劃分為藍色、金色、紫色、綠色、紅色、橙色和粉色7種品質，裝備和魂器品質越高，增加屬性越多。||裝備和魂器的星級|藍色、金色品質的裝備有1-2星兩種星級，紫色品質的裝備有1-3星三種星級，綠色、紅色品質的裝備有1-4星4種星級，橙色品質的裝備有1-6星6種星級，粉色品質的裝備有1-3星3種星級；藍色、橙色品質的魂器有1-4星4種星級，紫色、綠色品質的魂器有1-5星5種星級,紅色、橙色品質的魂器有1-6星6種星級，粉色品質的魂器有1-3星3種星級；同品質的裝備&魂器星級越高，增加屬性越多。||合成裝備、魂器|在裝備合成中可以使用低品質的裝備來合成高品質的裝備；籌齊一定數量魂器碎片可合成對應品質的魂器。||獲取裝備|掛機、上頂樓、通關戰鬥事件會掉落裝備，在福利社、書靈秘境商店、社團商店以及販賣機商店會出售裝備，在販賣機許願有機率獲得裝備。||裝備套裝|星級達到3星的綠色品質以上的裝備將附帶套裝效果，穿戴指定數目的套裝即可啟動套裝效果。||升級魂器|透過吞噬多餘的魂器來給您當前穿戴的魂器升級，魂器升級將提升魂器的星級。||獲取魂器|可以透過掛機獲取魂器碎片來合成魂器、社團商店購買魂器碎片來合成魂器、販賣機抽獎機率獲得魂器。"
8,好友,添加好友|在好友介面提交搜索id提交申請；選擇推薦好友提交申請；在聊天頻道點擊學長頭像提交好友申請；在社團點擊社團成員頭像提交好友申請。||好友申請|在申請列表查看收到的好友申請，點擊同意申請將該學長加為好友。||愛心|好友之間可相互贈送愛心，愛心用於在友情扭蛋機進行友情抽取。||刪除好友|您可以在好友介面點擊好友頭像查看好友資訊，在好友資訊框點擊刪除按鈕刪除好友。||好友助戰|每日都能挑戰好友BOSS，挑戰時可使用好友借出的助戰戰姬，挑戰成功會獲得鑽石、金幣、戰姬碎片等獎勵。每週根據自己借出的助戰戰姬成功幫助好友戰勝好友BOSS的次數，發放對應獎勵。
9,社團,加入社團|在社團介面輸入社團id或社團名字搜索出社團後，點擊“申請”即可向社團發送申請消息。社團申請被允許後即可加入社團。||創建社團|在社團介面中創建社團，創建社團消耗一定數量鑽石並且需要您達到一定的等級，創建成功後您就可以接受其他學長的申請，使其成為社團成員。||社團會長任命|社團會長可以在社團成員菜單中點擊會長任命按鈕，把會長職位委任給其他的社團成員。||解散社團|社團會長可以在社團辦公室菜單中點擊解散社團按鈕，解散當前的社團。確定解散後社團將於2小時後解散。||社團等級|社團所有成員每日簽到能夠提升社團的等級。||社團商店|社團商店中可使用社團幣購買戰姬碎片、裝備、魂器碎片等道具。||實驗室|在實驗室中使用社團幣以及金幣來升級社團技能，對應職業社團技能的提升能夠增強您擁有的對應職業的戰姬。||社團功能|社團所有成員每天可透過簽到來提升社團的等級，每天簽到增加社團經驗的次數不能超過社團成員人數；社團成員可以參與到體育館，餐廳，大操場等玩法中，獲得社團幣以及其他的獎勵，在社團商店使用社團幣購買商品，在實驗室使用社團幣來提升社團技能。
10,常見遊戲問題,1.問：換了裝置後，怎樣才能繼續遊戲？|答：您下載好並進入遊戲後，在遊戲首頁介面點擊右上角的帳號按鈕，選擇切換帳號輸入您的帳號和密碼來登入進入遊戲。|2.問：帳號忘記或被盜，密碼被更改該怎麼辦？|答：當您的帳號密碼被更改請及時與我們的客服人員聯繫。|3.問：出現網路超時，無法登入怎麼辦？|答：如果你無法登入遊戲。請繼續嘗試連接，或者退出遊戲程式重新啟動遊戲。|4.問：當遊戲一直在更新中（check updates）無法進入遊戲怎麼辦？|答：當您進入遊戲遇到一直在更新中無法進入遊戲時，請嘗試退出遊戲程式後重新進入遊戲或更換網路連接再次嘗試，如依然無法解決請與我們的客服人員聯繫。|5.問：當數據或者帳號丟失了該怎麼辦？|答：如果遇到數據丟失的情況，首先確認您所登入伺服器是否正確，因為不同伺服器之間數據不共用，如果確認伺服器正確但依然存在問題請及時跟我們聯繫，聯繫時請儘量提供遊戲ID，註冊信箱等資訊，我們將給予您最大的幫助。|6.問：在玩遊戲的過程中總是斷線該怎麼辦？|答：您在玩遊戲的過程中出現頻繁斷線時請先確認您裝置連接的網路狀態並在更換網路連接方式後再次嘗試，如依然無法解決請與我們的客服人員聯繫。|7.問：當遊戲出現閃退怎麼辦？|答：當您遇到遊戲閃退時，請先退出正在使用的所有程式後再嘗試重新進入遊戲，依然出現閃退請嘗試重啟裝置(再次嘗試)或者可向客服人員提供您的裝置型號反應閃退問題。|8.問：發現作弊的學長該怎麼辦？|答：我們致力於為學長創造一個公平的遊戲環境，禁止任何學長使用遊戲中的BUG來惡意破壞遊戲平衡。當您發現有學長作弊，請及時給我們回饋，我們將對作弊學長予以處理。
