id,title,desc
1,寒芒乍現,普通攻擊傷害增加{1}%
2,弱點偵查,普通攻擊的暴擊率增加{1}%
3,二重擊打,{1}%概率額外進行一次普攻
4,煌火淬刃,能量獲取效率降低50%，攻擊力增加{1}%
5,黎明法典,技能傷害率增加{1}%
6,聖者祝福,能量獲取效率提升{1}%
7,吸能水晶,我方戰姬釋放技能後，所有戰姬回復{1}能量
8,士氣鼓舞,我方戰姬釋放技能後，己方全體戰姬增加5%攻擊力持續2回合，上限{1}層
9,能量餅乾,使魔獲取能量效率提升{1}%
10,合獵追襲,使魔釋放技能後，己方全體戰姬造成的全傷害增加{1}%，所有敵方增加5%受到的全傷害，持續2回合
11,守護姿態,使魔釋放技能後，己方全體戰姬增加{1}全傷害減免、格擋、免控率，持續2回合
12,核心增幅,使魔核心等級增加{1}級
13,雪上加霜,附加持續傷害時，將額外附加一份相同的效果，持續{1}回合
14,勢如破竹,持續傷害造成的傷害增加{1}%
15,落井下石,對攜帶持續傷害的敵人造成的全傷害增加{1}%
16,趁虛而入,普通攻擊後，目標身上每有1個持續傷害效果，追加1次自身{1}%攻擊力的傷害（最多5次）
17,過溢療法,治療量的{1}%轉化為屏障
18,屏障脈衝,擁有屏障時，戰姬造成的全傷害增加{1}%
19,強效針劑,生命值越低被治療量越高，每減少1%的生命值，被治療量增加{1}%
20,復蘇泉水,首名死亡的己方戰姬，下回合開始時復活並恢復自身{1}%的生命，一次戰鬥只觸發一次
21,鋼筋鐵骨,生命增加{1}%
22,反戈一擊,受到傷害時，對攻擊者造成100%自身攻擊力加上{1}%自身已損失生命值的傷害
23,浴血奮戰,受到傷害時，增加自身5%攻擊力持續2回合，上限{1}層
24,捨命相搏,生命值越低攻擊力越高，每減少1%的生命值，攻擊力增加{1}%
