id,unknown_2,name,desc
1100100,廖化,普攻,普攻
1100200,阮籍,普攻,普攻
1100300,王平,普攻,普攻
1200100,曹洪,普攻,普攻
1200200,紀靈,普攻,普攻
1200300,韓當,普攻,普攻
1300100,淩統,普攻,普攻
1300200,萬聖女巫,普攻,普攻
1300300,馬雲祿,普攻,普攻
1400100,管輅,普攻,普攻
1400200,盧植,普攻,普攻
1400300,田豐,普攻,普攻
2100100,夏侯玄,普攻,普攻
2100200,程普,普攻,普攻
2100300,韓遂,普攻,普攻
2100400,曹芳,普攻,普攻
2200100,馬良,普攻,普攻
2200200,龐會,普攻,普攻
2200300,黃蓋,普攻,普攻
2200400,胡車兒,普攻,普攻
2300100,張寶,普攻,普攻
2300200,張梁,普攻,普攻
2300300,猿飛佐助,普攻,普攻
2300400,沙摩柯,普攻,普攻
2400100,公孫瓚,普攻,普攻
2400200,丁奉,普攻,普攻
2400300,華雄,普攻,普攻
2400400,鐘繇,普攻,普攻
3100100,朱然,普攻,普攻
3100200,玉兔,普攻,普攻
3100300,孔融,普攻,普攻
3100400,王雙,普攻,普攻
3100500,孫堅,普攻,普攻
3200100,郭圖,普攻,普攻
3200200,愛德華,普攻,普攻
3200300,何進,普攻,普攻
3200400,陳登,普攻,普攻
3200500,織田信奈,普攻,普攻
3300100,鐘會,普攻,普攻
3300200,蔣幹,普攻,普攻
3300300,司馬師,普攻,普攻
3300400,夏侯霸,普攻,普攻
3300500,毛利元就,普攻,普攻
3400100,曹性,普攻,普攻
3400200,徐盛,普攻,普攻
3400300,蔣欽,普攻,普攻
3400400,高順,普攻,普攻
3400500,梅英毒,普攻,普攻
3500100,曹叡,普攻,普攻
3600100,嫦娥,普攻,普攻
4100100,周泰,普攻,普攻
4100200,赤兔,普攻,普攻
4100300,馬超,普攻,普攻
4100400,楊修,普攻,普攻
4100500,顏良,普攻,普攻
4100600,禰衡,普攻,普攻
4100700,文醜,普攻,普攻
4100800,張春華,普攻,普攻
4200100,小喬,普攻,普攻
4200200,典韋,普攻,普攻
4200300,孫策,普攻,普攻
4200400,甄姬,普攻,普攻
4200500,荀攸,普攻,普攻
4200600,曹沖,普攻,普攻
4200700,劉禪,普攻,普攻
4200800,徐晃,普攻,普攻
4300100,魯肅,普攻,普攻
4300200,曹休,普攻,普攻
4300300,王允,普攻,普攻
4300400,步練師,普攻,普攻
4300500,文聘,普攻,普攻
4300600,張角,普攻,普攻
4300700,魏延,普攻,普攻
4300800,諸葛瑾,普攻,普攻
4400100,袁術,普攻,普攻
4400200,潘鳳,普攻,普攻
4400300,步騭,普攻,普攻
4400400,王元姬,普攻,普攻
4400500,馬謖,普攻,普攻
4400600,李典,普攻,普攻
4400700,何太后,普攻,普攻
4400800,張仲景,普攻,普攻
4500100,賈詡,普攻,普攻
4500200,王朗,普攻,普攻
4500300,李儒,普攻,普攻
4600100,程昱,普攻,普攻
4600200,張昭,普攻,普攻
4600300,法正,普攻,普攻
5100100,周瑜,普攻,普攻
5100200,張合,普攻,普攻
