id,name,desc,unlock
1,觀測時長·一,在此迴廊進行觀測時，初始回溯懷錶的數量增加{1},
2,觀測時長·二,在此迴廊進行觀測時，初始回溯懷錶的數量增加{1},解鎖條件：「觀測時長·一」等級升至2級，且在此迴廊中勇氣達到500點後解鎖
3,觀測時長·三,在此迴廊進行觀測時，初始回溯懷錶的數量增加{1},解鎖條件：「觀測時長·二」等級升至3級，且在此迴廊中魅力達到1000點後解鎖
4,觀測時長·四,在此迴廊進行觀測時，初始回溯懷錶的數量增加{1},解鎖條件：「觀測時長·三」等級升至3級，且在此迴廊中知識達到1500點後解鎖
5,觀測時長·五,在此迴廊進行觀測時，初始回溯懷錶的數量增加{1},解鎖條件：在此迴廊中勇氣、魅力、知識均達到1700點後解鎖
6,基礎補給·一,在下一次以及再之後的迴廊觀測中觸發補給卡「基礎補給」時，卡牌的等級+1，可獲得更多獎勵,
7,基礎補給·二,在下一次以及再之後的迴廊觀測中觸發補給卡「基礎補給」時，卡牌的等級+1，可獲得更多獎勵,解鎖條件：此迴廊的觀測總進度達到10%後解鎖
8,基礎補給·三,在下一次以及再之後的迴廊觀測中觸發補給卡「基礎補給」時，卡牌的等級+1，可獲得更多獎勵,解鎖條件：此迴廊的觀測總進度達到20%後解鎖
9,基礎補給·四,在下一次以及再之後的迴廊觀測中觸發補給卡「基礎補給」時，卡牌的等級+1，可獲得更多獎勵,解鎖條件：此迴廊的觀測總進度達到30%後解鎖
10,基礎補給·五,在下一次以及再之後的迴廊觀測中觸發補給卡「基礎補給」時，卡牌的等級+1，可獲得更多獎勵,解鎖條件：此迴廊的觀測總進度達到40%後解鎖
11,普通鈕扣·一,在下一次以及再之後的迴廊觀測中觸發補給卡「普通鈕扣」時，卡牌的等級+1，可獲得更多獎勵,
12,普通鈕扣·二,在下一次以及再之後的迴廊觀測中觸發補給卡「普通鈕扣」時，卡牌的等級+1，可獲得更多獎勵,解鎖條件：此迴廊的觀測總進度達到20%後解鎖
13,普通鈕扣·三,在下一次以及再之後的迴廊觀測中觸發補給卡「普通鈕扣」時，卡牌的等級+1，可獲得更多獎勵,解鎖條件：此迴廊的觀測總進度達到40%後解鎖
